X,Y,Stop,Descrip,Place,District,CoordXdiv,CoordYdiv,Shelt,Bench,Public,COORDX,COORDY,OBJECTID
-76.108128,36.907548,1379,SHORE & SHADY OAKS, ,08,121821750,34987570,0,0,-1,12182175,3498757,1091
-76.113112,36.907034,1380,SHORE & BAYVILLE, ,08,121807230,34985330,0,0,-1,12180723,3498533,1092
-76.119631,36.905792,1381,SHORE & TREASURE ISLAND, ,08,121788290,34980330,0,0,-1,12178829,3498033,1093
-76.123935,36.904912,1382,SHORE & TREASURE ISLAND (mid-block), ,08,121775790,34976810,0,0,-1,12177579,3497681,1094
-76.126366,36.904431,1383,SHORE & VANTAGE, ,08,121768730,34974880,0,0,-1,12176873,3497488,1095
-76.125957,36.904255,1384,SHORE & GREENWELL, ,08,121769940,34974270,0,0,-1,12176994,3497427,1096
-76.119925,36.905482,1385,SHORE & TREASURE ISLAND, ,08,121787460,34979180,0,0,-1,12178746,3497918,1097
-76.107608,36.907334,1386,SHORE & SUNVISTA, ,08,121823290,34986830,0,0,-1,12182329,3498683,1098
-76.102662,36.90772,1387,SHORE & MYSTIC COVE, ,08,121837710,34988600,0,0,-1,12183771,3498860,1099
-76.10005,36.907889,1388,SHORE & ROCKBRIDGE, ,08,121845330,34989410,0,0,-1,12184533,3498941,1100
-76.097269,36.907763,1389,SHORE & STRATFORD, ,08,121853470,34989160,0,0,-1,12185347,3498916,1101
-76.077751,36.91019,1390,SHORE & STARFISH, ,08,121910290,34999450,0,0,-1,12191029,3499945,1102
-76.074575,36.910671,1391,SHORE & SEA SHELL, ,08,121919530,35001440,0,0,-1,12191953,3500144,1103
-76.072666,36.910959,1392,SHORE & EBB TIDE,SHDGN,08,121925080,35002630,0,0,-1,12192508,3500263,1104
-76.062552,36.89672,1395,GREAT NECK & THOMAS BISHOP, ,08,121955980,34951570,0,0,-1,12195598,3495157,1105
-76.055481,36.891829,1396,GREAT NECK & RIVER, ,08,121977110,34934300,0,0,-1,12197711,3493430,1106
-76.051412,36.88915,1397,GREAT NECK & FALCON, ,08,121989260,34924860,0,0,-1,12198926,3492486,1107
-76.049197,36.886343,1398,GREAT NECK & SHOREHAVEN, ,08,121996000,34914810,0,0,-1,12199600,3491481,1108
-76.043847,36.880357,1399,GREAT NECK & MILLWOOD, ,08,122012210,34893430,0,0,-1,12201221,3489343,1109
-76.029527,36.86628,1404,FIRST COLONIAL & BANCROFT HALL, ,08,122055420,34843290,0,0,-1,12205542,3484329,1110
-76.065145,36.838345,1406,LYNNHAVEN & SOUTHERN, ,08,121953880,34738910,0,0,-1,12195388,3473891,1111
-76.067392,36.828721,1407,LYNNHAVEN & VIKING, ,08,121948210,34703710,0,0,-1,12194821,3470371,1112
-76.072842,36.810414,1408,LYNNHAVEN & S LYNNHAVEN (FAR), ,08,121933979,34636671,0,0,-1,12193397.9,3463667.1,1113
-76.074005,36.809637,1409,LYNNHAVEN & MAPLETON, ,08,121930646,34633754,0,0,-1,12193064.6,3463375.4,1114
-76.080342,36.805689,1410,LYNNHAVEN & LAMPLIGHT, ,08,121912470,34618910,0,0,-1,12191247,3461891,1115
