FID,BNAME,BCAMPUS,BSIZE,BUNITS,BHOTEL,STORIES,YEARBLT,COMMENTS,BTYPE,BUSE,OWNERSHIP,GF_RETAIL
17796, , ,1116,1,0,2,1952, ,Townhouse or row house,Residential, , 
17797, , ,1116,1,0,2,1952, ,Townhouse or row house,Residential, , 
17798, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17799, , ,2630,1,0,3,1999, ,Townhouse or row house,Residential, , 
17800, , ,1116,1,0,2,1952, ,Townhouse or row house,Residential, , 
17801, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17802, , ,1116,1,0,2,1952, ,Townhouse or row house,Residential, , 
17803, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17804, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17805, , ,1476,1,0,2,1952, ,Townhouse or row house,Residential, , 
17806, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17807, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17808, , ,1116,1,0,2,1952, ,Townhouse or row house,Residential, , 
17809, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17810, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17811, , ,2594,1,0,3,1999, ,Townhouse or row house,Residential, , 
17812, , ,1116,1,0,2,1952, ,Townhouse or row house,Residential, , 
17813, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17814, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17815, , ,2726,1,0,3.5,1999, ,Townhouse or row house,Residential, , 
17816, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17817, , ,1116,1,0,2,1952, ,Townhouse or row house,Residential, , 
17818, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17819, , ,2380,1,0,3,1999, ,Townhouse or row house,Residential, , 
17820, , ,2116,1,0,3,1999, ,Townhouse or row house,Residential, , 
17821, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17822, , ,2116,1,0,3,1999, ,Townhouse or row house,Residential, , 
17823, , ,2116,1,0,3,1999, ,Townhouse or row house,Residential, , 
17824, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17825, , ,2116,1,0,3,1999, ,Townhouse or row house,Residential, , 
17826, , ,2116,1,0,3,1999, ,Townhouse or row house,Residential, , 
17827, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17828, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17829, , ,2116,1,0,3,1999, ,Townhouse or row house,Residential, , 
17830, , ,2116,1,0,3,1999, ,Townhouse or row house,Residential, , 
17831, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17832, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17833, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17834, , ,2116,1,0,3,1999, ,Townhouse or row house,Residential, , 
17835, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17836, , ,1102,1,0,2,1953, ,Townhouse or row house,Residential, , 
17837, , ,1206,1,0,2,1953, ,Townhouse or row house,Residential, , 
17838, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17839, , ,2116,1,0,3,1999, ,Townhouse or row house,Residential, , 
17840, , ,1206,1,0,2,1953, ,Townhouse or row house,Residential, , 
17841, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17842, , ,2116,1,0,3,1998, ,Townhouse or row house,Residential, , 
17843, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17844, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17845, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17846, , ,1984,1,0,3,1998, ,Townhouse or row house,Residential, , 
17847, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17848, , ,2430,1,0,3,1998, ,Townhouse or row house,Residential, , 
17849, , ,1102,1,0,2,1953, ,Townhouse or row house,Residential, , 
17850, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17851, , ,2430,1,0,3,1998, ,Townhouse or row house,Residential, , 
17852, , ,1102,2,0,2,1955, ,Townhouse or row house,Residential, , 
17853, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17854, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17855, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17856, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17857, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17858, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17859, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17860, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17861, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17862, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17863, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17864, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17865, , ,1273,1,0,2,1955, ,Townhouse or row house,Residential, , 
17866, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17867, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17868, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17869, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17870, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17871, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17872, , ,3082,1,0,3,1999, ,Townhouse or row house,Residential, , 
17873, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17874, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17875, , ,2961,1,0,3,1999, ,Townhouse or row house,Residential, , 
17876, , ,1102,2,0,2,1955, ,Townhouse or row house,Residential, , 
17877, , ,3082,1,0,3,1999, ,Townhouse or row house,Residential, , 
17878, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17879, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17880, , ,3082,1,0,3,1999, ,Townhouse or row house,Residential, , 
17881, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17882, , ,2594,1,0,3,2001, ,Townhouse or row house,Residential, , 
17883, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17884, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17885, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
17886, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17887, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17888, , ,2594,1,0,3,1999, ,Townhouse or row house,Residential, , 
17889, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17890, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17891, , ,2594,1,0,3,1999, ,Townhouse or row house,Residential, , 
17892, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17893, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17894, , ,2594,1,0,3,1999, ,Townhouse or row house,Residential, , 
17895, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17896, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17897, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17898, , ,2594,1,0,3,1999, ,Townhouse or row house,Residential, , 
17899, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17900, , ,2634,0,0,2,1921, ,Detached structure,Commercial, ,Yes
17901, , ,2200,1,0,2.25,1999, ,Townhouse or row house,Residential, , 
17902, , ,1102,2,0,2,1955, ,Townhouse or row house,Residential, , 
17903, , ,10112,1,0,2,0, ,Detached structure,Residential,Apartment, 
17904, , ,2000,1,0,2,1999, ,Townhouse or row house,Residential, , 
17905, , ,3714,4,0,3,1955, ,Attached structure,Residential,Apartment, 
17906, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17907, , ,1920,1,0,2,1999, ,Townhouse or row house,Residential, , 
17908, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17909, , ,1400,1,0,2,1915, ,Detached structure,Residential, , 
17910, , ,2110,1,0,2.25,1999, ,Townhouse or row house,Residential, , 
17911, , ,1102,1,0,2,1953, ,Townhouse or row house,Residential, , 
17912, , ,1116,1,0,2,1952, ,Townhouse or row house,Residential, , 
17913, , ,2607,1,0,3.5,2002, ,Townhouse or row house,Residential, , 
17914, , ,1102,1,0,2,1953, ,Townhouse or row house,Residential, , 
17915, , ,1620,1,0,2,1952, ,Townhouse or row house,Residential, , 
17916, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17917, , ,2651,1,0,3.5,2002, ,Townhouse or row house,Residential, , 
17918, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17919, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17920, , ,2607,1,0,3.5,2002, ,Duplex,Residential, , 
17921, , ,1892,1,0,3.5,1998, ,Townhouse or row house,Residential, , 
17922, , ,1102,1,0,2,1953, ,Townhouse or row house,Residential, , 
17923, , ,1532,1,0,3,1999, ,Townhouse or row house,Residential, , 
17924, , ,2247,1,0,4,2000, ,Townhouse or row house,Residential, , 
17925, , ,2247,1,0,4,2000, ,Townhouse or row house,Residential, , 
17926, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17927, , ,2247,1,0,4,2000, ,Townhouse or row house,Residential, , 
17928, , ,1892,1,0,3.5,1999, ,Townhouse or row house,Residential, , 
17929, , ,2247,1,0,4,2000, ,Townhouse or row house,Residential, , 
17930, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17931, , ,1892,1,0,3.5,1999, ,Townhouse or row house,Residential, , 
17932, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17933, , ,2296,1,0,4,1999, ,Townhouse or row house,Residential, , 
17934, , ,1892,1,0,3.5,1999, ,Townhouse or row house,Residential, , 
17935, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17936, , ,2296,1,0,4,1999, ,Townhouse or row house,Residential, , 
17937, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17938, , ,1548,1,0,3,1999, ,Townhouse or row house,Residential, , 
17939, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17940, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17941, , ,2260,1,0,3,1980, ,Townhouse or row house,Residential, , 
17942, , ,1584,1,0,2,1989, ,Townhouse or row house,Residential, , 
17943, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17944, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17945, , ,2260,1,0,3,1981, ,Townhouse or row house,Residential, , 
17946, , ,1116,1,0,2,1952, ,Townhouse or row house,Residential, , 
17947, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17948, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17949, , ,2106,1,0,3,1982, ,Townhouse or row house,Residential, , 
17950, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17951, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17952, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17953, , ,2260,1,0,3,1982, ,Townhouse or row house,Residential, , 
17954, , ,1416,1,0,2,1952, ,Townhouse or row house,Residential, , 
17955, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17956, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17957, , ,2260,1,0,3,1981, ,Townhouse or row house,Residential, , 
17958, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17959, , ,1116,1,0,2,1952, ,Townhouse or row house,Residential, , 
17960, , ,2216,1,0,2,2000, ,Townhouse or row house,Residential, , 
17961, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17962, , ,1540,1,0,2,1989, ,Townhouse or row house,Residential, , 
17963, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17964, , ,2224,1,0,2,1999, ,Townhouse or row house,Residential, , 
17965, , ,1900,1,0,3,1998, ,Townhouse or row house,Residential, , 
17966, , ,2216,1,0,2,2000, ,Townhouse or row house,Residential, , 
17967, , ,2216,1,0,2,1999, ,Townhouse or row house,Residential, , 
17968, , ,1546,1,0,3,1998, ,Townhouse or row house,Residential, , 
17969, , ,2216,1,0,2,2000, ,Townhouse or row house,Residential, , 
17970, , ,2236,1,0,2,1998, ,Townhouse or row house,Residential, , 
17971, , ,1908,1,0,3.5,1998, ,Townhouse or row house,Residential, , 
17972, , ,2216,1,0,2,1998, ,Townhouse or row house,Residential, , 
17973, , ,1920,1,0,3,1997, ,Townhouse or row house,Residential, , 
17974, , ,2216,1,0,2,1998, ,Townhouse or row house,Residential, , 
17975, , ,1532,1,0,3,1998, ,Townhouse or row house,Residential, , 
17976, , ,2271,1,0,2,1998, ,Townhouse or row house,Residential, , 
17977, , ,1880,1,0,3,1997, ,Townhouse or row house,Residential, , 
17978, , ,2307,1,0,2,2000, ,Townhouse or row house,Residential, , 
17979, , ,1532,1,0,3,1998, ,Townhouse or row house,Residential, , 
17980, , ,2216,1,0,2,1999, ,Townhouse or row house,Residential, , 
17981, , ,2228,1,0,2,1999, ,Townhouse or row house,Residential, , 
17982, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
17983, , ,2216,1,0,2,1999, ,Townhouse or row house,Residential, , 
17984, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
17985, , ,1796,1,0,3,1985, ,Townhouse or row house,Residential, , 
17986, , ,2178,1,0,3,1980, ,Townhouse or row house,Residential, , 
17987, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17988, , ,2155,2,0,2.25,2001, ,Townhouse or row house,Residential, , 
17989, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17990, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17991, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17992, , ,1860,2,0,3.5,2000, ,Townhouse or row house,Residential, , 
17993, , ,1116,1,0,2,1953, ,Townhouse or row house,Residential, , 
17994, , ,1156,1,0,2,1953, ,Townhouse or row house,Residential, , 
17995, , ,1860,2,0,2.25,2000, ,Townhouse or row house,Residential, , 
17996, , ,1920,1,0,2,1999, ,Townhouse or row house,Residential, , 
17997, , ,2085,1,0,3,1999, ,Townhouse or row house,Residential, , 
17998, , ,2110,1,0,2.25,1999, ,Townhouse or row house,Residential, , 
17999, , ,2110,1,0,2.25,1999, ,Townhouse or row house,Residential, , 
18000, , ,1920,1,0,2,1999, ,Townhouse or row house,Residential, , 
18001, , ,1653,1,0,3,1989, ,Townhouse or row house,Residential, , 
18002, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18003, , ,2132,1,0,3,1989, ,Townhouse or row house,Residential, , 
18004, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18005, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18006, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18007, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18008, , ,1860,1,0,3,1989, ,Townhouse or row house,Residential, , 
18009, , ,1860,1,0,3,1989, ,Townhouse or row house,Residential, , 
18010, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18011, , ,1653,1,0,3,1989, ,Townhouse or row house,Residential, , 
18012, , ,2132,1,0,3,1989, ,Townhouse or row house,Residential, , 
18013, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18014, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18015, , ,2132,1,0,3,1989, ,Townhouse or row house,Residential, , 
18016, , ,2332,1,0,3,1989, ,Townhouse or row house,Residential, , 
18017, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18018, , ,2045,1,0,3,1991, ,Townhouse or row house,Residential, , 
18019, , ,2080,1,0,3,1991, ,Townhouse or row house,Residential, , 
18020, , ,2045,1,0,3,1991, ,Townhouse or row house,Residential, , 
18021, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18022, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18023, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18024, , ,2132,1,0,3,1989, ,Townhouse or row house,Residential, , 
18025, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18026, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18027, , ,1653,1,0,3,1989, ,Townhouse or row house,Residential, , 
18028, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18029, , ,2132,1,0,3,1989, ,Townhouse or row house,Residential, , 
18030, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18031, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18032, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18033, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18034, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18035, , ,1653,1,0,3,1989, ,Townhouse or row house,Residential, , 
18036, , ,1856,1,0,3,2000, ,Townhouse or row house,Residential, , 
18037, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18038, , ,1768,1,0,2,1940, ,Townhouse or row house,Residential, , 
18039, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18040, , ,2332,1,0,3,1989, ,Townhouse or row house,Residential, , 
18041, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18042, , ,1650,1,0,3,2000, ,Townhouse or row house,Residential, , 
18043, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18044, , ,884,1,0,2,1940, ,Townhouse or row house,Residential, , 
18045, , ,2332,1,0,3,1989, ,Townhouse or row house,Residential, , 
18046, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18047, , ,1840,1,0,3,2000, ,Townhouse or row house,Residential, , 
18048, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18049, , ,884,1,0,2,1940, ,Townhouse or row house,Residential, , 
18050, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18051, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18052, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18053, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18054, , ,884,1,0,2,1940, ,Townhouse or row house,Residential, , 
18055, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18056, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18057, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18058, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18059, , ,930,1,0,2,1943, ,Townhouse or row house,Residential, , 
18060, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18061, , ,1208,1,0,2,1940, ,Townhouse or row house,Residential, , 
18062, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18063, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18064, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18065, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18066, , ,1190,1,0,2,1940, ,Townhouse or row house,Residential, , 
18067, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18068, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18069, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18070, , ,1139,1,0,2,1940, ,Townhouse or row house,Residential, , 
18071, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18072, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18073, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18074, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18075, , ,884,1,0,2,1940, ,Townhouse or row house,Residential, , 
18076, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18077, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18078, , ,884,1,0,2,1940, ,Townhouse or row house,Residential, , 
18079, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18080, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18081, , ,930,1,0,2,1943, ,Townhouse or row house,Residential, , 
18082, , ,884,1,0,2,1940, ,Townhouse or row house,Residential, , 
18083, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18084, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18085, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18086, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18087, , ,884,1,0,2,1940, ,Townhouse or row house,Residential, , 
18088, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18089, , ,928,1,0,2,1943, ,Townhouse or row house,Residential, , 
18090, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18091, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18092, , ,884,1,0,2,1940, ,Townhouse or row house,Residential, , 
18093, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18094, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18095, , ,1653,1,0,3,1989, ,Townhouse or row house,Residential, , 
18096, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18097, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18098, , ,884,1,0,2,1940, ,Townhouse or row house,Residential, , 
18099, , ,930,1,0,2,1943, ,Townhouse or row house,Residential, , 
18100, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18101, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18102, , ,1129,1,0,2,1942, ,Townhouse or row house,Residential, , 
18103, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18104, , ,1120,1,0,2,1940, ,Townhouse or row house,Residential, , 
18105, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18106, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18107, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18108, , ,1064,1,0,2,1940, ,Townhouse or row house,Residential, , 
18109, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18110, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18111, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18112, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18113, , ,1120,1,0,2,1942, ,Townhouse or row house,Residential, , 
18114, , ,1653,1,0,3,1989, ,Townhouse or row house,Residential, , 
18115, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18116, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18117, , ,1064,1,0,2,1942, ,Townhouse or row house,Residential, , 
18118, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18119, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18120, , ,2132,1,0,3,1989, ,Townhouse or row house,Residential, , 
18121, , ,1129,1,0,2,1942, ,Townhouse or row house,Residential, , 
18122, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18123, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18124, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18125, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18126, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18127, , ,1120,1,0,2,1942, ,Townhouse or row house,Residential, , 
18128, , ,1040,1,0,2,1943, ,Townhouse or row house,Residential, , 
18129, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18130, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18131, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18132, , ,1064,1,0,2,1942, ,Townhouse or row house,Residential, , 
18133, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18134, , ,930,1,0,2,1943, ,Townhouse or row house,Residential, , 
18135, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18136, , ,1064,1,0,2,1942, ,Townhouse or row house,Residential, , 
18137, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18138, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18139, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18140, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18141, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18142, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18143, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18144, , ,1064,1,0,2,1942, ,Townhouse or row house,Residential, , 
18145, , ,1653,1,0,3,1989, ,Townhouse or row house,Residential, , 
18146, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18147, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18148, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18149, , ,1120,1,0,2,1942, ,Townhouse or row house,Residential, , 
18150, , ,2132,1,0,3,1989, ,Townhouse or row house,Residential, , 
18151, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18152, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18153, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18154, , ,1330,1,0,2,1942, ,Townhouse or row house,Residential, , 
18155, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18156, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18157, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18158, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18159, , ,1129,1,0,2,1942, ,Townhouse or row house,Residential, , 
18160, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18161, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18162, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18163, , ,1129,1,0,2,1942, ,Townhouse or row house,Residential, , 
18164, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18165, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18166, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18167, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18168, , ,1064,1,0,2,1942, ,Townhouse or row house,Residential, , 
18169, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18170, , ,1064,1,0,2,1942, ,Townhouse or row house,Residential, , 
18171, , ,832,1,0,2,1943, ,Townhouse or row house,Residential, , 
18172, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18173, , ,1999,1,0,3,1989, ,Townhouse or row house,Residential, , 
18174, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18175, , ,1129,1,0,2,1942, ,Townhouse or row house,Residential, , 
18176, , ,930,1,0,2,1943, ,Townhouse or row house,Residential, , 
18177, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
18178, , ,2540,1,0,4,1989, ,Townhouse or row house,Residential, , 
18179, , ,1102,1,0,2,1956, ,Townhouse or row house,Residential, , 
18180, , ,1129,1,0,2,1942, ,Townhouse or row house,Residential, , 
18181, , ,1102,1,0,2,1955, ,Townhouse or row house,Residential, , 
