OBJECTID,FCODE,SOURCE,MODIFIED_DATE,SHAPElen
3949,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,256.542492
3950,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,211.863411
3951,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,176.261794
3952,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,80.525429
3953,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,96.594491
3954,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,65.550094
3955,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,212.489382
3956,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,276.663268
3957,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,759.554486
3958,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,405.869144
3959,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,425.477868
3960,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,18.289195
3961,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,288.848975
3962,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,41.992884
3963,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,48.003755
3964,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,179.691585
3965,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,387.277717
3966,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,588.114189
3967,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,84.616632
3968,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,45.08031
3969,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,523.230533
3970,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,337.74531
3971,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,59.738857
3972,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,145.223482
3973,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,346.617414
3974,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,46.972804
3975,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,89.916449
3976,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,729.056549
3977,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,13.885252
3978,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,232.323374
3979,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,195.141816
3980,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,263.433023
3981,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,21.727052
3982,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,39.910403
3983,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,376.952071
3984,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,36.127538
3985,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,116.285979
3986,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,217.851043
3987,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,15.118656
3988,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,4.310275
3989,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,102.917181
3990,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,92.004444
3991,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,62.817
3992,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,310.240661
3993,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,466.250389
3994,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,873.468359
3995,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,285.408769
3996,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,890.95167
3997,Bulkhead,Permit,2009-07-21T11:26:33.000Z,386.609095
3998,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,313.321875
3999,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,48.809509
4000,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,52.797398
5001,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,60.239011
5002,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,22.72944
5003,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,25.990809
5004,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,36.477962
5005,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,40.429494
5006,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,64.755827
5007,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,39.970187
5008,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,45.491967
5009,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,31.633557
5010,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,117.45088
5011,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,23.87966
5012,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,90.940823
5013,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,40.655328
5014,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,91.171727
5015,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,107.505271
5016,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,61.621848
5017,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,66.315757
5018,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,201.293023
5019,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,55.609624
5020,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,47.121509
5021,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,9.611246
5022,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,79.379142
5023,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,56.591316
5024,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,100.723987
5025,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,33.60426
5026,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,23.909307
5027,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,86.646376
5028,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,176.698912
5029,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,77.187033
5030,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,132.750992
5031,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,18.836356
5032,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,11.283724
5033,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,183.043473
5034,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,0.294877
5035,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,161.064515
5036,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,84.867871
5037,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,23.989001
5038,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,52.394623
5039,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,40.523676
5040,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,6.086204
5041,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,36.352014
5042,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,26.192299
5043,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,113.515808
5044,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,16.822004
5045,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,102.272067
5046,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,36.530026
5047,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,25.201721
5048,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,71.224824
5049,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,20.147614
5050,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,48.719364
5051,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,63.399848
5052,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,121.079363
5053,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,92.696453
5054,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,4.939212
5055,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,264.812467
5056,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,129.987558
5057,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,29.456059
5058,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,22.116306
5059,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,244.245321
5060,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,331.971484
5061,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,55.453409
5062,Bulkhead,Permit,2010-06-02T16:34:15.000Z,139.231735
5063,Bulkhead,Aerial 2004,2010-06-02T16:34:15.000Z,67.216342
5064,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,19.42274
5065,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,23.029733
5066,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,148.065173
5067,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,106.459198
5068,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,103.390688
5069,Bulkhead,Permit,2010-07-30T08:53:00.000Z,304.753375
5070,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,25.371433
5071,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,24.898791
5072,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,168.425033
5073,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,42.066435
5074,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,41.780729
5075,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,144.858255
5076,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,100.047595
5077,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,11.337006
5078,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,10.483048
5079,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,14.95803
5080,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,17.963314
5081,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,27.451174
5082,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,40.671434
5083,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,13.881028
5084,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,32.730807
5085,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,8.90654
5086,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,15.669668
5087,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,47.529726
5088,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,5.961942
5089,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,25.983767
