OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3
74,424,HUNTLEY,Fairfax,2014-10-17T08:37:06.648Z,stulad,424,HUNTLEY,Fairfax County,Terry R. McAuliffe (D),1351,Terry R. McAuliffe (D),Terry R. McAuliffe (D),786,0.581791,Robert C. Sarvis (L),Robert C. Sarvis (L),63,0.046632,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",409,0.302739
75,523,POE,Fairfax,2014-10-17T08:37:06.648Z,stulad,523,POE,Fairfax County,Terry R. McAuliffe (D),1196,Terry R. McAuliffe (D),Terry R. McAuliffe (D),651,0.544314,Robert C. Sarvis (L),Robert C. Sarvis (L),52,0.043478,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",381,0.318562
76,707,MANTUA,Fairfax,2014-10-17T08:37:06.648Z,stulad,707,MANTUA,Fairfax County,Terry R. McAuliffe (D),1301,Terry R. McAuliffe (D),Terry R. McAuliffe (D),669,0.51422,Robert C. Sarvis (L),Robert C. Sarvis (L),60,0.046118,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",363,0.279016
77,918,CENTREVILLE,Fairfax,2014-10-17T08:37:06.648Z,stulad,918,CENTREVILLE,Fairfax County,Terry R. McAuliffe (D),1518,Terry R. McAuliffe (D),Terry R. McAuliffe (D),802,0.528327,Robert C. Sarvis (L),Robert C. Sarvis (L),75,0.049407,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",558,0.367589
78,708,MARSHALL,Fairfax,2014-10-17T08:37:06.648Z,stulad,708,MARSHALL,Fairfax County,Terry R. McAuliffe (D),1983,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1162,0.585981,Robert C. Sarvis (L),Robert C. Sarvis (L),104,0.052446,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",492,0.248109
79,216,VIENNA #4,Fairfax,2014-10-17T08:37:06.648Z,stulad,216,VIENNA #4,Fairfax County,Terry R. McAuliffe (D),757,Terry R. McAuliffe (D),Terry R. McAuliffe (D),435,0.574637,Robert C. Sarvis (L),Robert C. Sarvis (L),45,0.059445,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",218,0.287979
80,517,WILLSTON,Fairfax,2014-10-17T08:37:06.648Z,stulad,517,WILLSTON,Fairfax County,Terry R. McAuliffe (D),671,Terry R. McAuliffe (D),Terry R. McAuliffe (D),414,0.61699,Robert C. Sarvis (L),Robert C. Sarvis (L),29,0.043219,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",166,0.247392
81,227,SUNRISE VALLEY,Fairfax,2014-10-17T08:37:06.648Z,stulad,227,SUNRISE VALLEY,Fairfax County,Terry R. McAuliffe (D),1013,Terry R. McAuliffe (D),Terry R. McAuliffe (D),530,0.523198,Robert C. Sarvis (L),Robert C. Sarvis (L),59,0.058243,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",325,0.320829
82,733,KILMER,Fairfax,2014-10-17T08:37:06.648Z,stulad,733,KILMER,Fairfax County,Terry R. McAuliffe (D),1736,Terry R. McAuliffe (D),Terry R. McAuliffe (D),997,0.574309,Robert C. Sarvis (L),Robert C. Sarvis (L),72,0.041475,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",480,0.276498
83,925,OLD MILL,Fairfax,2014-10-17T08:37:06.648Z,stulad,925,OLD MILL,Fairfax County,Terry R. McAuliffe (D),778,Terry R. McAuliffe (D),Terry R. McAuliffe (D),411,0.528278,Robert C. Sarvis (L),Robert C. Sarvis (L),28,0.03599,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",295,0.379177
84,418,LYNBROOK,Fairfax,2014-10-17T08:37:06.648Z,stulad,418,LYNBROOK,Fairfax County,Terry R. McAuliffe (D),722,Terry R. McAuliffe (D),Terry R. McAuliffe (D),399,0.552632,Robert C. Sarvis (L),Robert C. Sarvis (L),37,0.051247,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",241,0.333795
85,713,TIMBER LANE,Fairfax,2014-10-17T08:37:06.648Z,stulad,713,TIMBER LANE,Fairfax County,Terry R. McAuliffe (D),1295,Terry R. McAuliffe (D),Terry R. McAuliffe (D),840,0.648649,Robert C. Sarvis (L),Robert C. Sarvis (L),51,0.039382,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",321,0.247876
86,615,WOODLEY,Fairfax,2014-10-17T08:37:06.648Z,stulad,615,WOODLEY,Fairfax County,Terry R. McAuliffe (D),1303,Terry R. McAuliffe (D),Terry R. McAuliffe (D),657,0.504221,Robert C. Sarvis (L),Robert C. Sarvis (L),64,0.049117,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",485,0.372218
87,824,ORANGE,Fairfax,2014-10-17T08:37:06.648Z,stulad,824,ORANGE,Fairfax County,Terry R. McAuliffe (D),2191,Terry R. McAuliffe (D),Terry R. McAuliffe (D),958,0.437243,Robert C. Sarvis (L),Robert C. Sarvis (L),129,0.058877,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",905,0.413053
88,711,PRICE,Fairfax,2014-10-17T08:37:06.648Z,stulad,711,PRICE,Fairfax County,Terry R. McAuliffe (D),1049,Terry R. McAuliffe (D),Terry R. McAuliffe (D),580,0.552908,Robert C. Sarvis (L),Robert C. Sarvis (L),57,0.054337,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",315,0.300286
89,612,WAYNEWOOD,Fairfax,2014-10-17T08:37:06.648Z,stulad,612,WAYNEWOOD,Fairfax County,Terry R. McAuliffe (D),877,Terry R. McAuliffe (D),Terry R. McAuliffe (D),401,0.457241,Robert C. Sarvis (L),Robert C. Sarvis (L),52,0.059293,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",349,0.397948
90,507,LINCOLNIA,Fairfax,2014-10-17T08:37:06.648Z,stulad,507,LINCOLNIA,Fairfax County,Terry R. McAuliffe (D),1297,Terry R. McAuliffe (D),Terry R. McAuliffe (D),789,0.608327,Robert C. Sarvis (L),Robert C. Sarvis (L),62,0.047803,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",286,0.220509
91,911,NAVY,Fairfax,2014-10-17T08:37:06.648Z,stulad,911,NAVY,Fairfax County,Terry R. McAuliffe (D),1666,Terry R. McAuliffe (D),Terry R. McAuliffe (D),830,0.498199,Robert C. Sarvis (L),Robert C. Sarvis (L),73,0.043818,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",584,0.35054
92,226,WOLFTRAP,Fairfax,2014-10-17T08:37:06.648Z,stulad,226,WOLFTRAP,Fairfax County,Terry R. McAuliffe (D),2017,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1015,0.503223,Robert C. Sarvis (L),Robert C. Sarvis (L),93,0.046108,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",716,0.354983
93,115,RAVENSWORTH,Fairfax,2014-10-17T08:37:06.648Z,stulad,115,RAVENSWORTH,Fairfax County,Terry R. McAuliffe (D),883,Terry R. McAuliffe (D),Terry R. McAuliffe (D),430,0.486976,Robert C. Sarvis (L),Robert C. Sarvis (L),48,0.05436,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",354,0.400906
94,704,FREEDOM HILL,Fairfax,2014-10-17T08:37:06.648Z,stulad,704,FREEDOM HILL,Fairfax County,Terry R. McAuliffe (D),1040,Terry R. McAuliffe (D),Terry R. McAuliffe (D),558,0.536538,Robert C. Sarvis (L),Robert C. Sarvis (L),50,0.048077,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",349,0.335577
95,622,LORTON STATION,Fairfax,2014-10-17T08:37:06.648Z,stulad,622,LORTON STATION,Fairfax County,Terry R. McAuliffe (D),1228,Terry R. McAuliffe (D),Terry R. McAuliffe (D),825,0.671824,Robert C. Sarvis (L),Robert C. Sarvis (L),38,0.030945,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",277,0.22557
96,321,CLEARVIEW,Fairfax,2014-10-17T08:37:06.648Z,stulad,321,CLEARVIEW,Fairfax County,Terry R. McAuliffe (D),2265,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1137,0.501987,Robert C. Sarvis (L),Robert C. Sarvis (L),127,0.056071,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",804,0.354967
97,325,HUTCHISON,Fairfax,2014-10-17T08:37:06.648Z,stulad,325,HUTCHISON,Fairfax County,Terry R. McAuliffe (D),789,Terry R. McAuliffe (D),Terry R. McAuliffe (D),509,0.64512,Robert C. Sarvis (L),Robert C. Sarvis (L),45,0.057034,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",198,0.250951
98,329,SENECA,Fairfax,2014-10-17T08:37:06.648Z,stulad,329,SENECA,Fairfax County,Terry R. McAuliffe (D),1759,Terry R. McAuliffe (D),Terry R. McAuliffe (D),761,0.432632,Robert C. Sarvis (L),Robert C. Sarvis (L),77,0.043775,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",684,0.388857
99,203,FLORIS,Fairfax,2014-10-17T08:37:06.648Z,stulad,203,FLORIS,Fairfax County,Terry R. McAuliffe (D),1945,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1001,0.514653,Robert C. Sarvis (L),Robert C. Sarvis (L),100,0.051414,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",662,0.34036
100,320,HERNDON #2,Fairfax,2014-10-17T08:37:06.648Z,stulad,320,HERNDON #2,Fairfax County,Terry R. McAuliffe (D),1725,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1006,0.583188,Robert C. Sarvis (L),Robert C. Sarvis (L),80,0.046377,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",485,0.281159
101,712,SHREVE,Fairfax,2014-10-17T08:37:06.648Z,stulad,712,SHREVE,Fairfax County,Terry R. McAuliffe (D),839,Terry R. McAuliffe (D),Terry R. McAuliffe (D),506,0.603099,Robert C. Sarvis (L),Robert C. Sarvis (L),36,0.042908,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",230,0.274136
102,608,KIRKSIDE,Fairfax,2014-10-17T08:37:06.648Z,stulad,608,KIRKSIDE,Fairfax County,Terry R. McAuliffe (D),1205,Terry R. McAuliffe (D),Terry R. McAuliffe (D),739,0.613278,Robert C. Sarvis (L),Robert C. Sarvis (L),45,0.037344,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",267,0.221577
103,721,MERRIFIELD,Fairfax,2014-10-17T08:37:06.648Z,stulad,721,MERRIFIELD,Fairfax County,Terry R. McAuliffe (D),1408,Terry R. McAuliffe (D),Terry R. McAuliffe (D),833,0.591619,Robert C. Sarvis (L),Robert C. Sarvis (L),83,0.058949,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",371,0.263494
104,229,FOX MILL,Fairfax,2014-10-17T08:37:06.648Z,stulad,229,FOX MILL,Fairfax County,Terry R. McAuliffe (D),2574,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1271,0.493784,Robert C. Sarvis (L),Robert C. Sarvis (L),146,0.056721,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",915,0.355478
105,225,TERRASET,Fairfax,2014-10-17T08:37:06.648Z,stulad,225,TERRASET,Fairfax County,Terry R. McAuliffe (D),1592,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1016,0.638191,Robert C. Sarvis (L),Robert C. Sarvis (L),74,0.046482,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",362,0.227387
106,235,FRYING PAN,Fairfax,2014-10-17T08:37:06.648Z,stulad,235,FRYING PAN,Fairfax County,Terry R. McAuliffe (D),1161,Terry R. McAuliffe (D),Terry R. McAuliffe (D),719,0.619294,Robert C. Sarvis (L),Robert C. Sarvis (L),68,0.05857,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",294,0.25323
107,327,SUGARLAND,Fairfax,2014-10-17T08:37:06.648Z,stulad,327,SUGARLAND,Fairfax County,Terry R. McAuliffe (D),1614,Terry R. McAuliffe (D),Terry R. McAuliffe (D),792,0.490706,Robert C. Sarvis (L),Robert C. Sarvis (L),99,0.061338,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",588,0.364312
108,719,STENWOOD,Fairfax,2014-10-17T08:37:06.648Z,stulad,719,STENWOOD,Fairfax County,Terry R. McAuliffe (D),584,Terry R. McAuliffe (D),Terry R. McAuliffe (D),317,0.542808,Robert C. Sarvis (L),Robert C. Sarvis (L),31,0.053082,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",182,0.311644
109,604,BUCKNELL,Fairfax,2014-10-17T08:37:06.648Z,stulad,604,BUCKNELL,Fairfax County,Terry R. McAuliffe (D),1396,Terry R. McAuliffe (D),Terry R. McAuliffe (D),899,0.643983,Robert C. Sarvis (L),Robert C. Sarvis (L),48,0.034384,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",316,0.226361
110,902,BROOKFIELD,Fairfax,2014-10-17T08:37:06.648Z,stulad,902,BROOKFIELD,Fairfax County,Terry R. McAuliffe (D),1457,Terry R. McAuliffe (D),Terry R. McAuliffe (D),759,0.520933,Robert C. Sarvis (L),Robert C. Sarvis (L),73,0.050103,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",526,0.361016
111,513,SAINT ALBANS,Fairfax,2014-10-17T08:37:06.648Z,stulad,513,SAINT ALBANS,Fairfax County,Terry R. McAuliffe (D),1587,Terry R. McAuliffe (D),Terry R. McAuliffe (D),746,0.470069,Robert C. Sarvis (L),Robert C. Sarvis (L),58,0.036547,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",367,0.231254
112,110,NORTH SPRINGFIELD,Fairfax,2014-10-17T08:37:06.648Z,stulad,110,NORTH SPRINGFIELD,Fairfax County,Terry R. McAuliffe (D),1818,Terry R. McAuliffe (D),Terry R. McAuliffe (D),944,0.519252,Robert C. Sarvis (L),Robert C. Sarvis (L),96,0.052805,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",652,0.358636
113,609,MARLAN,Fairfax,2014-10-17T08:37:06.648Z,stulad,609,MARLAN,Fairfax County,Terry R. McAuliffe (D),1244,Terry R. McAuliffe (D),Terry R. McAuliffe (D),636,0.511254,Robert C. Sarvis (L),Robert C. Sarvis (L),67,0.053859,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",412,0.33119
114,732,OAK MARR,Fairfax,2014-10-17T08:37:06.648Z,stulad,732,OAK MARR,Fairfax County,Terry R. McAuliffe (D),1832,Terry R. McAuliffe (D),Terry R. McAuliffe (D),836,0.456332,Robert C. Sarvis (L),Robert C. Sarvis (L),100,0.054585,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",651,0.355349
115,701,BLAKE,Fairfax,2014-10-17T08:37:06.648Z,stulad,701,BLAKE,Fairfax County,Terry R. McAuliffe (D),1893,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1059,0.559429,Robert C. Sarvis (L),Robert C. Sarvis (L),103,0.054411,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",580,0.306392
116,727,OAKTON,Fairfax,2014-10-17T08:37:06.648Z,stulad,727,OAKTON,Fairfax County,Terry R. McAuliffe (D),1458,Terry R. McAuliffe (D),Terry R. McAuliffe (D),682,0.467764,Robert C. Sarvis (L),Robert C. Sarvis (L),62,0.042524,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",544,0.373114
117,238,CAMERON GLEN,Fairfax,2014-10-17T08:37:06.648Z,stulad,238,CAMERON GLEN,Fairfax County,Terry R. McAuliffe (D),1345,Terry R. McAuliffe (D),Terry R. McAuliffe (D),640,0.475836,Robert C. Sarvis (L),Robert C. Sarvis (L),61,0.045353,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",421,0.313011
118,319,HERNDON #1,Fairfax,2014-10-17T08:37:06.648Z,stulad,319,HERNDON #1,Fairfax County,Terry R. McAuliffe (D),1843,Terry R. McAuliffe (D),Terry R. McAuliffe (D),943,0.511666,Robert C. Sarvis (L),Robert C. Sarvis (L),100,0.054259,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",617,0.33478
119,236,STUART,Fairfax,2014-10-17T08:37:06.648Z,stulad,236,STUART,Fairfax County,Terry R. McAuliffe (D),696,Terry R. McAuliffe (D),Terry R. McAuliffe (D),375,0.538793,Robert C. Sarvis (L),Robert C. Sarvis (L),44,0.063218,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",212,0.304598
120,324,HERNDON #3,Fairfax,2014-10-17T08:37:06.648Z,stulad,324,HERNDON #3,Fairfax County,Terry R. McAuliffe (D),1460,Terry R. McAuliffe (D),Terry R. McAuliffe (D),830,0.568493,Robert C. Sarvis (L),Robert C. Sarvis (L),95,0.065068,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",403,0.276027
121,233,NORTH POINT,Fairfax,2014-10-17T08:37:06.648Z,stulad,233,NORTH POINT,Fairfax County,Terry R. McAuliffe (D),2287,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1204,0.526454,Robert C. Sarvis (L),Robert C. Sarvis (L),126,0.055094,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",728,0.318321
122,234,ALDRIN,Fairfax,2014-10-17T08:37:06.648Z,stulad,234,ALDRIN,Fairfax County,Terry R. McAuliffe (D),2381,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1296,0.544309,Robert C. Sarvis (L),Robert C. Sarvis (L),107,0.044939,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",723,0.303654
123,222,RESTON #3,Fairfax,2014-10-17T08:37:06.648Z,stulad,222,RESTON #3,Fairfax County,Terry R. McAuliffe (D),1149,Terry R. McAuliffe (D),Terry R. McAuliffe (D),786,0.684073,Robert C. Sarvis (L),Robert C. Sarvis (L),42,0.036554,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",206,0.179286
124,209,RESTON #2,Fairfax,2014-10-17T08:37:06.648Z,stulad,209,RESTON #2,Fairfax County,Terry R. McAuliffe (D),1554,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1018,0.655084,Robert C. Sarvis (L),Robert C. Sarvis (L),67,0.043115,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",324,0.208494
125,208,RESTON #1,Fairfax,2014-10-17T08:37:06.648Z,stulad,208,RESTON #1,Fairfax County,Terry R. McAuliffe (D),1206,Terry R. McAuliffe (D),Terry R. McAuliffe (D),768,0.636816,Robert C. Sarvis (L),Robert C. Sarvis (L),50,0.041459,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",260,0.215589
126,224,SOUTH LAKES,Fairfax,2014-10-17T08:37:06.648Z,stulad,224,SOUTH LAKES,Fairfax County,Terry R. McAuliffe (D),2365,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1486,0.62833,Robert C. Sarvis (L),Robert C. Sarvis (L),115,0.048626,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",519,0.21945
127,220,DOGWOOD,Fairfax,2014-10-17T08:37:06.648Z,stulad,220,DOGWOOD,Fairfax County,Terry R. McAuliffe (D),1686,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1053,0.624555,Robert C. Sarvis (L),Robert C. Sarvis (L),87,0.051601,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",402,0.238434
128,306,GREAT FALLS,Fairfax,2014-10-17T08:37:06.648Z,stulad,306,GREAT FALLS,Fairfax County,Terry R. McAuliffe (D),1171,Terry R. McAuliffe (D),Terry R. McAuliffe (D),516,0.440649,Robert C. Sarvis (L),Robert C. Sarvis (L),44,0.037575,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",471,0.40222
129,328,HICKORY,Fairfax,2014-10-17T08:37:06.648Z,stulad,328,HICKORY,Fairfax County,Terry R. McAuliffe (D),1584,Terry R. McAuliffe (D),Terry R. McAuliffe (D),710,0.448232,Robert C. Sarvis (L),Robert C. Sarvis (L),102,0.064394,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",582,0.367424
130,309,KENMORE,Fairfax,2014-10-17T08:37:06.648Z,stulad,309,KENMORE,Fairfax County,Terry R. McAuliffe (D),1885,Terry R. McAuliffe (D),Terry R. McAuliffe (D),809,0.429178,Robert C. Sarvis (L),Robert C. Sarvis (L),107,0.056764,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",650,0.344828
131,331,SPRING HILL,Fairfax,2014-10-17T08:37:06.648Z,stulad,331,SPRING HILL,Fairfax County,Terry R. McAuliffe (D),1388,Terry R. McAuliffe (D),Terry R. McAuliffe (D),588,0.423631,Robert C. Sarvis (L),Robert C. Sarvis (L),57,0.041066,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",475,0.342219
132,304,COOPER,Fairfax,2014-10-17T08:37:06.648Z,stulad,304,COOPER,Fairfax County,Terry R. McAuliffe (D),1219,Terry R. McAuliffe (D),Terry R. McAuliffe (D),470,0.385562,Robert C. Sarvis (L),Robert C. Sarvis (L),60,0.049221,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",441,0.361772
133,314,MCLEAN,Fairfax,2014-10-17T08:37:06.648Z,stulad,314,MCLEAN,Fairfax County,Terry R. McAuliffe (D),1358,Terry R. McAuliffe (D),Terry R. McAuliffe (D),650,0.478645,Robert C. Sarvis (L),Robert C. Sarvis (L),51,0.037555,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",402,0.296024
134,303,CHURCHILL,Fairfax,2014-10-17T08:37:06.648Z,stulad,303,CHURCHILL,Fairfax County,Terry R. McAuliffe (D),856,Terry R. McAuliffe (D),Terry R. McAuliffe (D),415,0.484813,Robert C. Sarvis (L),Robert C. Sarvis (L),56,0.065421,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",261,0.304907
135,311,LANGLEY,Fairfax,2014-10-17T08:37:06.648Z,stulad,311,LANGLEY,Fairfax County,Terry R. McAuliffe (D),1302,Terry R. McAuliffe (D),Terry R. McAuliffe (D),544,0.417819,Robert C. Sarvis (L),Robert C. Sarvis (L),51,0.039171,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",447,0.343318
136,843,FAIR LAKES,Fairfax,2014-10-17T08:37:06.648Z,stulad,843,FAIR LAKES,Fairfax County,Terry R. McAuliffe (D),1316,Terry R. McAuliffe (D),Terry R. McAuliffe (D),650,0.493921,Robert C. Sarvis (L),Robert C. Sarvis (L),54,0.041033,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",507,0.385258
137,132,MONUMENT,Fairfax,2014-10-17T08:37:06.648Z,stulad,132,MONUMENT,Fairfax County,Terry R. McAuliffe (D),1291,Terry R. McAuliffe (D),Terry R. McAuliffe (D),679,0.525949,Robert C. Sarvis (L),Robert C. Sarvis (L),45,0.034857,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",411,0.318358
138,131,EAGLE VIEW,Fairfax,2014-10-17T08:37:06.648Z,stulad,131,EAGLE VIEW,Fairfax County,Terry R. McAuliffe (D),1474,Terry R. McAuliffe (D),Terry R. McAuliffe (D),731,0.495929,Robert C. Sarvis (L),Robert C. Sarvis (L),75,0.050882,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",515,0.349389
139,121,VILLA,Fairfax,2014-10-17T08:37:06.648Z,stulad,121,VILLA,Fairfax County,Terry R. McAuliffe (D),923,Terry R. McAuliffe (D),Terry R. McAuliffe (D),439,0.475623,Robert C. Sarvis (L),Robert C. Sarvis (L),61,0.066089,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",361,0.391116
140,729,NOTTOWAY,Fairfax,2014-10-17T08:37:06.648Z,stulad,729,NOTTOWAY,Fairfax County,Terry R. McAuliffe (D),1750,Terry R. McAuliffe (D),Terry R. McAuliffe (D),957,0.546857,Robert C. Sarvis (L),Robert C. Sarvis (L),78,0.044571,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",499,0.285143
141,218,VIENNA #6,Fairfax,2014-10-17T08:37:06.648Z,stulad,218,VIENNA #6,Fairfax County,Terry R. McAuliffe (D),1185,Terry R. McAuliffe (D),Terry R. McAuliffe (D),680,0.57384,Robert C. Sarvis (L),Robert C. Sarvis (L),51,0.043038,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",332,0.280169
142,213,VIENNA #1,Fairfax,2014-10-17T08:37:06.648Z,stulad,213,VIENNA #1,Fairfax County,Terry R. McAuliffe (D),2064,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1089,0.527616,Robert C. Sarvis (L),Robert C. Sarvis (L),122,0.059109,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",670,0.324612
143,214,VIENNA #2,Fairfax,2014-10-17T08:37:06.648Z,stulad,214,VIENNA #2,Fairfax County,Terry R. McAuliffe (D),1722,Terry R. McAuliffe (D),Terry R. McAuliffe (D),901,0.523229,Robert C. Sarvis (L),Robert C. Sarvis (L),88,0.051103,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",556,0.32288
144,427,ISLAND CREEK,Fairfax,2014-10-17T08:37:06.648Z,stulad,427,ISLAND CREEK,Fairfax County,Terry R. McAuliffe (D),1157,Terry R. McAuliffe (D),Terry R. McAuliffe (D),686,0.592913,Robert C. Sarvis (L),Robert C. Sarvis (L),56,0.048401,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",329,0.284356
145,619,BELVOIR,Fairfax,2014-10-17T08:37:06.648Z,stulad,619,BELVOIR,Fairfax County,Terry R. McAuliffe (D),1061,Terry R. McAuliffe (D),Terry R. McAuliffe (D),556,0.524034,Robert C. Sarvis (L),Robert C. Sarvis (L),47,0.044298,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",367,0.3459
146,332,COATES,Fairfax,2014-10-17T08:37:06.648Z,stulad,332,COATES,Fairfax County,Terry R. McAuliffe (D),856,Terry R. McAuliffe (D),Terry R. McAuliffe (D),570,0.665888,Robert C. Sarvis (L),Robert C. Sarvis (L),33,0.038551,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",194,0.226636
147,237,MCNAIR,Fairfax,2014-10-17T08:37:06.648Z,stulad,237,MCNAIR,Fairfax County,Terry R. McAuliffe (D),1097,Terry R. McAuliffe (D),Terry R. McAuliffe (D),655,0.597083,Robert C. Sarvis (L),Robert C. Sarvis (L),54,0.049225,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",302,0.275296
