OBJECTID_12,BROOK,BROWN,RAINBOW,NRCS_HUC,UPSTR_QUAD,DNSTR_QUAD,REACHCODE,NAME,STREAMCODE,CLASS,TYPE,USGS_HUC
278,Y, , ,N26,Mechanicsburg,Mechanicsburg,04SDR-01,Standrock Branch,04SDR,IV, ,5050002
279,Y,Y, ,N13,Fancy Gap,Fancy Gap,04SKE-01,Snake Creek,04SKE,III, ,5050001
280,Y, , ,N19,Endicott,Endicott,04SLF-01,Silverleaf Branch,04SLF,III, ,5050001
281,Y, ,Y,N03,Trout Dale,Trout Dale,04SLM-01,Solomon Branch,04SLM,II, ,5050001
282, , , , , , ,04SLM-01T,Solomon Branch,04SLM,II,tributary,5050001
283,Y, , ,N13,Meadows of Dan,Laurel Fork,04SMC-01,Stone Mountain Creek,04SMC,III, ,5050001
284, , , , , , ,04SMC-01T,Stone Mountain Creek,04SMC,III,tributary,5050001
285,Y,Y, ,N28,Interior,Pearisburg,04SNC-01,Stony Creek,04SNC,III, ,5050002
286, , , , , , ,04SNC-01T,Stony Creek,04SNC,III,tributary,5050002
287,Y, , ,N28,Interior,Interior,04SNF-01,"Stony Creek, NF",04SNF,II, ,5050002
288,Y,Y, ,N20,Alum Ridge,Alum Ridge,04SPK-01,Spurlock Creek,04SPK,III, ,5050001
289, , , , , , ,04SPK-01T,Spurlock Creek,04SPK,III,tributary,5050001
290,Y, , ,N13,Laurel Fork,Laurel Fork,04SSB-01,Sulfur Spring Branch,04SSB,II, ,5050001
291,Y, , ,N07,Sylvatus,Austinville,04STN-01,Staunton Branch,04STN,III, ,5050001
292,Y, , ,N13,Laurel Fork,Laurel Fork,04STR-01,Straight Branch,04STR,III, ,5050001
293, , ,Y,N17,Stuart,Stuart,04TCK-01,Tract Fork,04TCK,IV, ,5050001
294, ,Y, ,N05,Speedwell,Elk Creek,04TKY-01,Turkey Fork,04TKY,III, ,5050001
295,Y, , ,N15,Sylvatus,Sylvatus,04TRT-01,Trout Branch,04TRT,II, ,5050001
296,Y, ,Y,N11,Wytheville,Wytheville,04VNK-01,Venrick Run,04VNK,II, ,5050001
297, , , , , , ,04VNK-01T,Venrick Run,04VNK,II,tributary,5050001
298, , ,Y,N25,White Gate,Staffordsville,04WAB-01,Wabash Creek,04WAB,II, ,5050002
299, , ,Y,N30,Garden Mtn.,Bastian,04WFC-01,Wolf Creek,04WFC,III, ,5050002
300, , , , , , ,04WFC-01T,Wolf Creek,04WFC,III,tributary,5050002
301,Y, , ,N28,Interior,Interior,04WIL-01,Wildcat Hollow,04WIL,IV, ,5050002
302,Y, ,Y,N28,Waiteville,Interior,04WIT-01,White Rock Branch,04WIT,II, ,5050002
303, , , , , , ,04WIT-01T,White Rock Branch,04WIT,II,tributary,5050002
304,Y, ,Y,N02,White-top Mtn.,Trout Dale,04WLB-01,Wilburn Branch,04WLB,I, ,5050001
305,Y, , ,N09,Cedar Springs,Cedar Springs,04WRC-01,White Rock Creek,04WRC,IV, ,5050001
306,Y, ,Y,N01,White-top Mtn.,Park,04WTP-01,Whitetop Creek,04WTP,II, ,6010102
307,Y, ,Y,N01,Park,Park,04BYR-01,Byars Creek,04BYR,II,tributary,5050001
308,Y, , ,L42,Meadows of Dan,Meadows of Dan,05BCB-01,Big Cherry Creek,05BCB,II, ,3010103
309,Y, ,Y,L01,Elliston,Elliston,05BLC-01,Big Laurel Creek,05BLC,II, ,3010101
310, , , , , , ,05BLC-01T,Big Laurel Creek,05BLC,II,tributary,3010101
311,Y, , ,L42,Meadows of Dan,Meadows of Dan,05BND-01,Barnard Creek,05BND,II, ,3010103
312,Y, , ,L01,Elliston,Elliston,05BOT-01,Bottom Creek,05BOT,III, ,3010101
313, , , , , , ,05BOT-01T,Bottom Creek,05BOT,III,tributary,3010101
314, ,Y,Y,L51,Endicott,Endicott,05BRA-01,Brogan Branch,05BRA,II, ,3010103
315,Y, , ,L43,Stuart,Stuart,05BRU-01,Brushy Fork,05BRU,III, ,3010103
316,Y,Y, ,L42,Stuart,Stuart,05CBB-01,Camp Branch,05CBB,III, ,3010103
317,Y,Y,Y,L42,Meadows of Dan,Meadows of Dan,05DAN-02,Dan River,05DAN,III, ,3010103
318,Y,Y,Y,L42,Meadows of Dan,Meadows of Dan,05DAN-03,Dan River,05DAN,II, ,3010103
319,Y,Y,Y,L42,Woolwine,Meadows of Dan,05DAN-04,Dan River,05DAN,II, ,3010103
320, , , , , , ,05DAN-04T,Dan River,05DAN,II,tributary,3010103
321,Y, , ,L08,Endicott,Callaway,05DRU-01,Daniels Run,05DRU,III, ,3010101
322, ,Y, ,L08,Callaway,Callaway,05GCR-01,Green Creek,05GCR,II, ,3010101
323, , , , , , ,05GCR-01T,Green Creek,05GCR,II,tributary,3010101
324, ,Y,Y,L05,Stewartsville,Roanoke,05GLA-02,Glade Creek,05GLA,III, ,3010101
325, , ,Y,L42,Meadows of Dan,Claudville,05HOO-01,Hookers Creek,05HOO,III, ,3010103
326, , , , , , ,05HOO-01T,Hookers Creek,05HOO,III,tributary,3010103
327,Y, , ,L42,Meadows of Dan,Meadows of Dan,05HUN-01,Haunted Branch,05HUN,II, ,3010103
328,Y,Y, ,L42,Stuart,Meadows of Dan,05IVV-01,Big Ivy Creek,05IVV,II, ,3010103
329, ,Y, ,L43,Stuart,Stuart,05LCB-01,Lily Cove Branch,05LCB,III, ,3010103
330,Y, ,Y,L42,Meadows of Dan,Claudville,05LDR-01,Little Dan River,05LDR,III, ,3010103
331, , , , , , ,05LDR-01T,Little Dan River,05LDR,III,tributary,3010103
332, ,Y, ,L01,Check,Check,05LKF-01,Lick Fork,05LKF,II, ,3010101
333, , , , , , ,05LKF-01T,Lick Fork,05LKF,II,tributary,3010101
334,Y, ,Y,L50,Woolwine,Woolwine,05LRC-01,Little Rock Castle Creek,05LRC,II, ,3010103
335, ,Y, ,L42,Stuart,Stuart,05LVR-01,Little Ivy Creek,05LVR,III, ,3010103
336,Y, , ,L42,Meadows of Dan,Meadows of Dan,05MAY-01,Mayberry Creek,05MAY,III, ,3010103
337, ,Y, ,L02,Newport,Mcdonalds Mill,05MDA-01,Mill Creek,05MDA,II, ,3010101
338, , , , , , ,05MDA-01T,Mill Creek,05MDA,II,tributary,3010101
339,Y, , ,L42,Meadows of Dan,Meadows of Dan,05MWP-01,Maple Swamp Branch,05MWP,II, ,3010103
340, ,Y, ,L46,Patrick Springs,Patrick Springs,05PBA-01,Polebridge Creek,05PBA,III, ,3010103
341, , , , , , ,05PBA-01T,Polebridge Creek,05PBA,III,tributary,3010103
342, , , ,L14,Endicott,Ferrum,05PGG-01,Pigg River,05PGG,II, ,3010101
343, , , , , , ,05PGG-01T,Pigg River,05PGG,II,tributary,3010101
344,Y, , ,L43,Stuart,Stuart,05POO-01,Poorhouse Creek,05POO,II, ,3010103
345, , , , , , ,05POO-01T,Poorhouse Creek,05POO,II,tributary,3010103
346,Y, , ,L01,Pilot,Pilot,05PUR-01,Purgatory Creek,05PUR,III, ,3010101
347, , , , , , ,05PUR-01T,Purgatory Creek,05PUR,III,tributary,3010101
348,Y, , ,L42,Meadows of Dan,Meadows of Dan,05RAR-01,Roaring Creek,05RAR,II, ,3010103
349, , , , , , ,05RAR-01T,Roaring Creek,05RAR,II,tributary,3010103
350, ,Y,Y,L51,Endicott,Endicott,05RBC-01,Runnett Bag Creek,05RBC,II, ,3010103
351,Y, ,Y,L50,Willis,Woolwine,05RCC-01,Rock Castle Creek,05RCC,I, ,3010103
352, ,Y,Y,L50,Woolwine,Charity,05RCC-02,Rock Castle Creek,05RCC,III, ,3010103
353, , , , , , ,05RCC-02T,Rock Castle Creek,05RCC,III,tributary,3010103
354,Y, , ,L43,Patrick Springs,Patrick Springs,05RCH-01,Rich Creek,05RCH,III, ,3010103
355, , ,Y,L43,Stuart,Stuart,05RHO-01,Rhody Creek,05RHO,II, ,3010103
356,Y,Y,Y,L42,Meadows of Dan,Meadows of Dan,05RMC-01,Round Meadow Creek,05RMC,III, ,3010103
357, ,Y,Y,L51,Endicott,Endicott,05RRI-01,Roaring Run,05RRI,II, ,3010101
358,Y, , ,L08,Callaway,Callaway,05RUN-01,Roaring Run,05RUN,II, ,3010101
359, ,Y, ,L43,Stuart,Stuart,05RYE-01,Rye Cove Creek,05RYE,II, ,3010103
360,Y,Y,Y,L42,Meadows of Dan,Meadows of Dan,05SBR-01,Sawpit Branch,05SBR,II, ,3010103
361,Y, , ,L43,Stuart,Stuart,05SMR-01,South Mayo River,05SMR,III, ,3010103
362, , , , , , ,05SMR-01T,South Mayo River,05SMR,III,tributary,3010103
363,Y, , ,L43,Stuart,Stuart,05SMR-02,South Mayo River,05SMR,II, ,3010103
364,Y,Y,Y,L50,Woolwine,Woolwine,05SNP-01,"Smith River, NP",05SNP,II, ,3010103
365, , ,Y,L51,Endicott,Charity,05SOT-01,Shooting Creek,05SOT,II, ,3010103
366, , ,Y,L01,Ironto,Elliston,05SPN-01,Spring Branch,05SPN,II, ,3010101
367, , , , , , ,05SPN-01T,Spring Branch,05SPN,II,tributary,3010101
368,Y, , ,L42,Meadows of Dan,Meadows of Dan,05SQL-01,Squall Creek,05SQL,II, ,3010103
369, ,Y, ,L52,Philpott Reservoir,Martinsville West,05SRE-01,Smith River,05SRE,II, ,3010103
370,Y,Y,Y,L50,Stuart,Woolwine,05SRE-02,Smith River,05SRE,II, ,3010103
371, , , , , , ,05SRE-02T,Smith River,05SRE,II,tributary,3010103
372, ,Y,Y,L50,Woolwine,Charity,05SRE-03,Smith River,05SRE,III, ,3010103
373, , , , , , ,05SRE-03T,Smith River,05SRE,III,tributary,3010103
374,Y,Y,Y,L50,Stuart,Stuart,05SRE-05,Smith River,05SRE,II, ,3010103
375,Y,Y,Y,L50,Woolwine,Stuart,05SRK-01,"Smith River, NF",05SRK,II, ,3010103
376,Y, , ,L42,Meadows of Dan,Meadows of Dan,05TGG-01,Tuggle Creek,05TGG,II, ,3010103
377,Y,Y,Y,L51,Woolwine,Charity,05WID-01,Widgeon Creek,05WID,II, ,3010103
378, , , , , , ,05WID-01T,Widgeon Creek,05WID,II,tributary,3010103
379,Y, , ,B49,Orkney Springs,Orkney Springs,07AND-01,Anderson Run,07AND,II, ,2070006
380,Y, , ,B49,Orkney Springs,Orkney Springs,07ANR-01,"Anderson Run, RF",07ANR,II, ,2070006
381, , , , , , ,07ANR-01T,"Anderson Run, RF",07ANR,II,tributary,2070006
382,Y, , ,B43,Rawley Springs,Fulks Run,07BBL-01,Bible Run,07BBL,III, ,2070006
383,Y, , ,B04,Ridge,Ridge,07BEG-01,Bear Garden Run,07BEG,II, ,2070004
384,Y, , ,B01,Thornwood,Thornwood,07BEW-01,Bearwallow Run,07BEW,II, ,2070001
385,Y, , ,B11,Elliott Knob,Churchville,07BFP-01,Buffalo Branch,07BFP,IV, ,2070005
386,Y, , ,B33,Mcgaheysville,Mcgaheysville,07BGR-01,Big Run,07BGR,II, ,2070005
387,Y, , ,B36,Fletcher,Elkton East,07BIG-01,Big Creek,07BIG,II, ,2070005
388,Y, , ,B31,Big Levels,Big Levels,07BKE-01,"Back Creek, EF",07BKE,II, ,2070005
389,Y, , ,B31,Big Levels,Big Levels,07BKN-02,"Back Creek, NF",07BKN,II, ,2070005
390,Y, , ,B31,Big Levels,Big Levels,07BKS-01,"Back Creek, SF",07BKS,II, ,2070005
391,Y, , ,B01,Hightown,Hightown,07BLI-01,Blights Run,07BLI,II, ,2070001
392,Y, , ,B20,Brandywine,Rawley Springs,07BLK-01,Black Run,07BLK,II, ,2070005
393, , , , , , ,07BLK-01T,Black Run,07BLK,II,tributary,2070005
394,Y, , ,B42,Cow Knob,Cow Knob,07BLR-01,Beech Lick Run,07BLR,IV, ,2070006
395,Y, , ,B35,Elkton West,Elkton West,07BON-01,Boone Run,07BON,II, ,2070005
396, , , , , , ,07BON-01T,Boone Run,07BON,II,tributary,2070005
397,Y, , ,B16,Reddish Knob,Reddish Knob,07BRN-01,Big Run,07BRN,IV, ,2070005
398,Y, , ,B49,Lost City,Orkney Springs,07BRR-01,Bear Run,07BRR,III, ,2070006
399,Y, , ,B35,Mcgaheysville,Mcgaheysville,07BRW-01,Bearwallow Run,07BRW,I, ,2070005
400,Y, , ,B18,Reddish Knob,Briery Branch,07BRY-02,Briery Branch,07BRY,III, ,2070005
401, , ,Y,A03,Waterford,Waterford,07BSB-01,Big Spring Branch,07BSB,II, ,2070008
402, , , , , , ,07BSB-01T,Big Spring Branch,07BSB,II,tributary,2070008
403,Y, , ,B36,Elkton East,Elkton East,07BUG-01,Big Ugly Run,07BUG,II, ,2070005
404,Y, , ,B49,Orkney Springs,Orkney Springs,07BUL-01,Bull Run,07BUL,III, ,2070006
405,Y, , ,B01,Snowy Mtn.,Snowy Mtn.,07BUR-01,Buck Run,07BUR,II, ,2070001
406,Y, , ,B38,Stanley,Hamburg,07BWR-01,Browns Run,07BWR,III, ,2070005
407,Y, , ,B10,Churchville,Churchville,07CAB-01,Cabin Mill Run,07CAB,II, ,2070005
408,Y, , ,B52,Woodstock,Woodstock,07CDR-02,Cedar Creek,07CDR,III, ,2070006
409,Y, , ,B43,Cow Knob,Cow Knob,07CLH-01,Clay Lick Hollow,07CLH,IV, ,2070006
410,Y, , ,B31,Big Levels,Big Levels,07CLS-01,Coles Run,07CLS,II, ,2070005
411,Y, , ,B32,Crimora,Crimora,07COH-01,Cold Spring Hollow,07COH,II, ,2070005
412,Y, , ,B01,Hightown,Hightown,07COL-01,Collins Run,07COL,II, ,2070001
413,Y, , ,B43,Cow Knob,Cow Knob,07CRH-01,Carr Run,07CRH,IV, ,2070006
414,Y, , ,B30,Big Levels,Vesuvius,07CRN-01,Cold Spring Branch,07CRN,III, ,2070005
415,Y, , ,B42,Cow Knob,Cow Knob,07CRR-01,Camp Rader Run,07CRR,II, ,2070006
416,Y, , ,B37,Elkton West,Tenth Legion,07CUB-01,Cub Run,07CUB,II, ,2070005
417,Y, , ,B52,Mountain Falls,Mountain Falls,07DCK-01,Duck Run,07DCK,II, ,2070006
418, , , , , , ,07DCK-01T,Duck Run,07DCK,II,tributary,2070006
419,Y, , ,B39,Old Rag Mtn,Thornton Gap,07DNF-01,"Dry Run, NF",07DNF,II, ,2070005
420,Y, , ,B20,Brandywine,Brandywine,07DNK-01,Dunkle Hollow,07DNK,IV, ,2070005
421, , , , , , ,07DNK-01T,Dunkle Hollow,07DNK,IV,tributary,2070005
422,Y, , ,B20,Rawley Springs,Rawley Springs,07DNN-01,Dry Run,07DNN,IV, ,2070005
423, , , , , , ,07DNN-01T,Dry Run,07DNN,IV,tributary,2070005
424,Y, , ,B32,Crimora,Crimora,07DOH-01,Dorsey Hanger Hollow,07DOH,II, ,2070005
425,Y, , ,B35,Elkton East,Elkton East,07DRU-01,Dry Run,07DRU,IV, ,2070005
426,Y, , ,B39,Big Meadows,Luray,07DSF-01,"Dry Run, SF",07DSF,II, ,2070005
427,Y, , ,B21,Rawley Springs,Briery Branch,07DUR-01,Dry River,07DUR,IV, ,2070005
428, , , , , , ,07DUR-01T,Dry River,07DUR,IV,tributary,2070005
429,Y, , ,B11,Elliott Knob,Elliott Knob,07EDB-01,East Dry Branch,07EDB,IV, ,2070005
430,Y, , ,B33,Mcgaheysville,Mcgaheysville,07EPP-01,Eppert Hollow,07EPP,II, ,2070005
431,Y, , ,B11,Elliott Knob,Elliott Knob,07FLH-01,Falls Hollow,07FLH,IV, ,2070005
432,Y, , ,B49,Orkney Springs,Conicville,07FTZ-01,Foltz Run,07FTZ,III, ,2070006
433,Y, , ,B37,Stanley,Stanley,07FUL-01,Fultz Run,07FUL,II, ,2070005
434,Y, , ,B42,Cow Knob,Bergton,07GER-01,German River,07GER,IV, ,2070006
435, , , , , , ,07GER-01T,German River,07GER,IV,tributary,2070006
436,Y, , ,B40,Bentonville,Chester Gap,07GNY-01,Gooney Run,07GNY,II, ,2070005
437,Y, , ,B20,Rawley Springs,Rawley Springs,07GUM-01,Gum Run,07GUM,IV, ,2070005
438, , , , , , ,07GUM-01T,Gum Run,07GUM,IV,tributary,2070005
439,Y, , ,B39,Big Meadows,Big Meadows,07HEC-01,E Hawksbill Creek,07HEC,II, ,2070005
440,Y, , ,B20,Rawley Springs,Rawley Springs,07HPH-01,Hopkins Hollow,07HPH,IV, ,2070005
441,Y, , ,B20,Rawley Springs,Rawley Springs,07PCH-01,Peach Run,07PCH,IV,tributary,2070005
442,Y, , ,B18,Reddish Knob,Briery Branch,07HQR-01,Hone Quarry Run,07HQR,III, ,2070005
443,Y, , ,B31,Waynesboro West,Waynesboro West,07INC-01,Inch Branch,07INC,IV, ,2070005
444,Y, , ,B11,West Augusta,Stokesville,07JEN-01,Jennings Branch,07JEN,IV, ,2070005
445,Y, , ,B40,Bentonville,Luray,07JER-01,Jeremys Run,07JER,II, ,2070005
446,Y, , ,B31,Big Levels,Big Levels,07JHN-01,Johns Run,07JHN,II, ,2070005
447,Y, , ,B32,Waynesboro West,Waynesboro West,07JNH-01,Jones Hollow,07JNH,IV, ,2070005
448,Y, , ,B31,Big Levels,Big Levels,07KND-01,Kennedy Creek,07KND,II, ,2070005
449,Y, , ,B20,Rawley Springs,Rawley Springs,07KPT-01,Kephart Run,07KPT,IV, ,2070005
450,Y,Y, ,B01,Hightown,Snowy Mtn.,07LAR-01,Laurel Fork,07LAR,II, ,2070001
451, , , , , , ,07LAR-01T,Laurel Fork,07LAR,II,tributary,2070001
452,Y, , ,B20,Cow Knob,Brandywine,07LAU-01,Laurel Run,07LAU,II, ,2070005
453, , , , , , ,07LAU-01T,Laurel Run,07LAU,II,tributary,2070005
454,Y, , ,B35,Swift Run Gap,Elkton East,07LEE-01,Lee Run,07LEE,IV, ,2070005
455,Y, , ,B32,Crimora,Crimora,07LEP-01,Left Hand Hollow,07LEP,II, ,2070005
456,Y, , ,B39,Big Meadows,Big Meadows,07LHC-01,Little Hawksbill Creek,07LHC,I, ,2070005
457,Y,Y, , ,Willis,Laurel Fork,07LLK-01,Laurel Fork,07LLK,II, ,5050001
458,Y,Y, ,N13,Laurel Fork,Laurel Fork,04RIC-02,Big Reed Island Creek,04RIC,II, ,5050001
459,Y, , ,B20,Cow Knob,Rawley Springs,07LLR-01,Little Laurel Run,07LLR,II, ,2070005
460,Y, , ,B33,Mcgaheysville,Mcgaheysville,07LLW-01,Lower Lewis Run,07LLW,II, ,2070005
461,Y, , ,B40,Chester Gap,Chester Gap,07LND-01,Lands Run,07LND,II, ,2070005
462,Y, , ,B01,Thornwood,Snowy Mtn.,07LOC-01,Locust Spring Run,07LOC,II, ,2070001
463,Y, , ,B01,Thornwood,Thornwood,07LOJ-01,Lost Run,07LOJ,II, ,2070001
464,Y, , ,B44,Rawley Springs,Singers Glen,07LON-01,Long Run,07LON,IV, ,2070006
465,Y, , ,B30,Big Levels,Big Levels,07LOV-01,Loves Run,07LOV,III, ,2070005
466,Y, , ,B54,Strasburg,Strasburg,07LPC-01,Little Passage Creek,07LPC,III, ,2070006
467,Y, , ,B20,Fort Seybert,Brandywine,07LPR-01,Low Place Run,07LPR,II, ,2070005
468,Y, , ,B49,Woodstock,Wolf Gap,07LSC-01,Little Stony Creek,07LSC,II, ,2070006
469,Y, , ,B49,Woodstock,Wolf Gap,07LST-01,Little Stony Trib.,07LST,III, ,2070006
470,Y, , ,B16,Reddish Knob,Reddish Knob,07LTN-01,"Little River, NF",07LTN,IV, ,2070005
471,Y, , ,B16,Reddish Knob,Reddish Knob,07LTS-01,"Little River, SF",07LTS,IV, ,2070005
472,Y, , ,B16,Reddish Knob,Reddish Knob,07LTT-01,Little River,07LTT,IV, ,2070005
473,Y, , ,B16,Reddish Knob,Stokesville,07LTT-02,Little River,07LTT,IV, ,2070005
474, , , , , , ,07LTT-02T,Little River,07LTT,IV,tributary,2070005
475,Y, , ,B02,Monterey,Monterey,07LXR-01,Laurel Run,07LXR,II, ,2070001
476,Y, , ,B49,Wolf Gap,Conicville,07LZR-01,Laurel Run,07LZR,II, ,2070006
477,Y, , ,B49,Wolf Gap,Wolf Gap,07LZR-02,Laurel Run,07LZR,III, ,2070006
478,Y, , ,B33,Browns Cove,Grottoes,07MAD-01,Madison Run,07MAD,II, ,2070005
479,Y, , ,B49,Wolf Gap,Wolf Gap,07MCS-01,Mill Creek,07MCS,III, ,2070006
480,Y, , ,B32,Crimora,Crimora,07MDW-01,Meadow Run,07MDW,II, ,2070005
481,Y, , ,B37,Tenth Legion,Tenth Legion,07MGN-01,Morgan Run,07MGN,II, ,2070005
482,Y, , ,B16,West Augusta,West Augusta,07MIT-01,Mitchell Branch,07MIT,IV, ,2080202
483,Y, , ,B31,Big Levels,Big Levels,07MLS-02,Mills Creek,07MLS,II, ,2070005
484, , , , , , ,07MLS-02T,Mills Creek,07MLS,II,tributary,2070005
485, , ,Y,B54,Toms Brook,Toms Brook,07MNE-01,Mine Run,07MNE,III, ,2070006
486,Y, , ,B18,Reddish Knob,Reddish Knob,07MNS-01,Mines Run,07MNS,IV, ,2070005
487,Y, , ,B43,Fulks Run,Fulks Run,07MSL-01,Marshall Run,07MSL,IV, ,2070006
488,Y, , ,B20,Rawley Springs,Rawley Springs,07MSP-01,Miller Spring Run,07MSP,IV, ,2070005
489,Y, , ,B20,Rawley Springs,Rawley Springs,07MSR-01,Maple Spring Run,07MSR,IV, ,2070005
490,Y, , ,B01,Thornwood,Thornwood,07MUL-01,Mullenax Run,07MUL,II, ,2070001
491,Y, , ,B01,Thornwood,Thornwood,07NEW-01,Newman Run,07NEW,II, ,2070001
492,Y, , ,B36,Fletcher,Elkton East,07NKE-01,"Naked Creek, EB",07NKE,I, ,2070005
493,Y, , ,B36,Elkton East,Elkton East,07NKS-01,"Naked Creek, SB",07NKS,II, ,2070005
494, , , , , , ,07NKS-01T,"Naked Creek, SB",07NKS,II,tributary,2070005
495,Y, , ,B36,Big Meadows,Elkton East,07NKW-01,"Naked Creek, WB",07NKW,II, ,2070005
496,Y, , ,B16,Palo Alto,Stokesville,07NTH-01,North River,07NTH,IV, ,2070005
497, , , , , , ,07NTH-01T,North River,07NTH,IV,tributary,2070005
498,Y, , ,B35,Mcgaheysville,Mcgaheysville,07ONE-01,Onemile Run,07ONE,I, ,2070005
499,Y, , ,B31,Sherando,Sherando,07ORE-01,Orebank Creek,07ORE,II, ,2070005
500,Y, , ,B40,Bentonville,Bentonville,07OVL-01,Overall Run,07OVL,II, ,2070005
501,Y, , ,B32,Crimora,Crimora,07PAN-01,Paine Run,07PAN,II, ,2070005
502,Y, , ,B52,Wardensville,Mountain Falls,07PDY-01,Paddy Run,07PDY,III, ,2070006
503,Y, , ,B42,Cow Knob,Cow Knob,07PLR-01,Paint Lick Run,07PLR,IV, ,2070006
504,Y, , ,B49,Wolf Gap,Wolf Gap,07POP-01,Poplar Run,07POP,II, ,2070006
505, , , , , , ,07POP-01T,Poplar Run,07POP,II,tributary,2070006
506,Y, , ,B37,Tenth Legion,Tenth Legion,07PSR-01,Pitt Spring Run,07PSR,II, ,2070005
507, , ,Y,B39,Luray,Luray,07PSS-01,Pass Run,07PSS,II, ,2070005
508, , , , , , ,07PSS-01T,Pass Run,07PSS,II,tributary,2070005
509,Y, ,Y,B39,Thornton Gap,Luray,07PSS-02,Pass Run,07PSS,II, ,2070005
510,Y, , ,B42,Bergton,Bergton,07RAT-01,Rattlesnake Run,07RAT,IV, ,2070006
511,Y, , ,B20,Rawley Springs,Rawley Springs,07RCK-01,Rocky Run,07RCK,IV, ,2070005
512, , , , , , ,07RCK-01T,Rocky Run,07RCK,IV,tributary,2070005
513, , ,Y,B09,Winchester,Stephenson,07RED-01,Redbud Run,07RED,III, ,2070004
514,Y, , ,B33,Mcgaheysville,Mcgaheysville,07RMR-01,Rocky Mountain Run,07RMR,II, ,2070005
515,Y, , ,B37,Tenth Legion,Tenth Legion,07RNG-01,Roaring Creek,07RNG,II, ,2070005
516,Y, , ,B18,Briery Branch,Briery Branch,07ROB-01,Rocky Run,07ROB,III, ,2070005
517,Y, , ,B31,Sherando,Waynesboro West,07RON-01,Robinson Hollow,07RON,IV, ,2070005
518, , , , , , ,07RON-01T,Robinson Hollow,07RON,IV,tributary,2070005
519,Y, , ,B11,Elliott Knob,Elliott Knob,07ROS-01,Red Oak Spring,07ROS,II, ,2070005
520,Y, , ,B43,Fulks Run,Fulks Run,07RTR-01,Root Run,07RTR,IV, ,2070006
521,Y, , ,B32,Waynesboro East,Waynesboro East,07SAW-01,Sawmill Run,07SAW,IV, ,2070005
522,Y, , ,B43,Cow Knob,Cow Knob,07SBL-01,Seventy Buck Lick Run,07SBL,IV, ,2070006
523,Y, , ,B02,Monterey,Monterey,07SIM-01,Simmons Run,07SIM,II, ,2070001
524,Y, , ,B20,Brandywine,Rawley Springs,07SKD-01,Skidmore Fork,07SKD,IV, ,2070005
525, , , , , , ,07SKD-01T,Skidmore Fork,07SKD,IV,tributary,2070005
526,Y, , ,B01,Thornwood,Snowy Mtn.,07SLA-01,Slabcamp Run,07SLA,II, ,2070001
527,Y, , ,B43,Cow Knob,Cow Knob,07SLR-01,Spruce Lick Run,07SLR,III, ,2070006
528, , , , , , ,07SLR-01T,Spruce Lick Run,07SLR,III,tributary,2070006
529,Y, , ,B20,Rawley Springs,Rawley Springs,07SND-01,Sand Run,07SND,III, ,2070005
530,Y, , ,B42,Bergton,Bergton,07SPC-01,Spruce Run,07SPC,IV, ,2070006
531, , , ,B58,Bluemont,Ashby Gap,07SPT-01,Spout Run,07SPT,III, ,2070007
532,Y, , ,B42,Bergton,Bergton,07SRK-01,Sirks Run,07SRK,IV, ,2070006
533, , , , , , ,07SRK-01T,Sirks Run,07SRK,IV,tributary,2070006
534,Y, , ,B49,Woodstock,Wolf Gap,07SRN-01,Spruce Run,07SRN,III, ,2070006
535,Y, , ,B42,Bergton,Bergton,07SRR-01,Spring Run,07SRR,IV, ,2070006
536,Y, , ,B02,Monterey,Monterey,07STC-01,Strait Creek,07STC,II, ,2070001
537, , , , , , ,07STC-01T,Strait Creek,07STC,II,tributary,2070001
538,Y, , ,B30,Big Levels,Big Levels,07STO-01,Stony Run,07STO,II, ,2070005
539,Y, , ,B42,Cow Knob,Cow Knob,07SUM-01,Sumac Branch,07SUM,IV, ,2070006
540, , , , , , ,07SYR-01,Stony Run,07SYR,III,historic,2070005
541,Y, , ,B31,Sherando,Sherando,07TMS-01,Toms Branch,07TMS,III, ,2070005
542, , , , , , ,07TMS-01T,Toms Branch,07TMS,III,tributary,2070005
543,Y, , ,B35,Mcgaheysville,Mcgaheysville,07TWO-01,Twomile Run,07TWO,I, ,2070005
544,Y, , ,B33,Mcgaheysville,Mcgaheysville,07ULR-01,Upper Lewis Run,07ULR,III, ,2070005
545,Y, , ,B18,Briery Branch,Briery Branch,07USR-01,Union Springs Run,07USR,II, ,2070005
546,Y, , ,B18,Reddish Knob,Briery Branch,07WOF-01,Wolf Run,07WOF,IV, ,2070005
547,Y, , ,B33,Browns Cove,Browns Cove,07WOK-01,Whiteoak Run,07WOK,II, ,2070005
548,Y, , ,B11,West Augusta,Stokesville,07WTD-01,White Oak Draft,07WTD,IV, ,2070005
549,Y, , ,E14,Old Rag Mtn,Old Rag Mtn,08BEH-01,Berry Hollow,08BEH,II, ,2080103
550,Y, , ,E04,Old Rag Mtn,Old Rag Mtn,08BHR-01,Broad Hollow Run,08BHR,II, ,2080103
551,Y, , ,E03,Old Rag Mtn,Old Rag Mtn,08BKK-01,Brokenback Run,08BKK,I, ,2080103
552,Y, , ,E01,Chester Gap,Chester Gap,08BOL-01,Bolton Branch,08BOL,II, ,2080103
553,Y, , ,E11,Fletcher,Fletcher,08BOT-01,Bootens Run,08BOT,II, ,2080103
