Virginia coal quality database (coal sample analyses) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analyses reported:  as-received ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data source:  raw data from USGS coal quality database / non-USGS collectors / Virginia scan and subset created 2006-01-18 (Hostettler),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version:  release copy / data revised 2008-07-09 (Lovett) / format revised 2008-09-09 (Lovett),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
database inventory (all 375 samples accounted for - jal),,U.S. location and geologic setting,,,,"Regional location, coal bed name (in stratigraphic order), geologic formation, and VDMR Id. No. ",,,,,,"USGS Lab. No., location detail, and sample information",,,,,,,,,,,,,,,Proximate Analysis (%),,,,Ultimate Analysis (%),,,,,Heat,,Forms of Sulfur (%),,,,Ash-Fusion Temperature (F),,,,,Major- and Minor-Oxides (%),,,,,,,,,,,,Major- and Minor-Elements (ppm),,,,,,,,,Trace Elements (ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS supplemental data,,,
 Sample inventory [jal],Inventory notes (jal),CPROVINC,CREGION,SYSTEM,SER_EPOC,STATE,CFIELD,CBED,CFORMATN,ESTRANK,POINTID [modified to VDMR Id. No.2] ,LABID,USGS Lab No.,POINTID [modified to VDMR Field Id. No.2],LATITUDE1,NS,LONGITUDE1,EW,Quad Map Name,COUNTY,SAMPTHK,COMMENTS [USGS],SAMP_TYPE [VDMR (jal)]2,SAMPTYPE [USGS],SAMP_COND [VDMR (jal)]2,PART_OF_BED [VDMR (jal)]2,MOISTR,VOLMAT,FIXEDC,STDASH,HYDRGN,CARBON,NITRGN,OXYGEN,SULFUR,BTU/LB,ADLOSS,SLFATE,SLFPYR,SLFORG,FRESWL,ASHDEF,ASHSOF,ASHFLD,HGI [VDMR (jal)]2,COMPL_No [VDMR (jal)]2,GSASH,SIO2,AL2O3,CAO,MGO,MNO,NA2O,K2O,FE2O3,TIO2,P2O5,SO3,SI_E,AL_E,CA_E,MG_E,NA_E,K_E,FE_E,TI_E,S_E,AG_E,AS_E,AU_E,B_E,BA_E,BE_E,BI_E,BR_E,CD_E,CE_E,CL_E,CO_E,CR_E,CS_E,CU_E,DY_E,ER_E,EU_E,F_E,GA_E,GD_E,GE_E,HF_E,HG_E,HO_E,IN_E,IR_E,LA_E,LI_E,LU_E,MN_E,MO_E,NB_E,ND_E,NI_E,OS_E,P_E,PB_E,PD_E,PR_E,PT_E,RB_E,RE_E,RH_E,RU_E,SB_E,SC_E,SE_E,SM_E,SN_E,SR_E,TA_E,TB_E,TE_E,TH_E,TL_E,TM_E,U_E,V_E,W_E,Y_E,YB_E,ZN_E,ZR_E,,POINTID [USGS],COLLECTR,SUBDATE,IDMARPLOT       [end]
9 / 12,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LOWER BANNER,NORTON,BITUMINOUS,R-7593,W,210398,89D-13,37.005993,N,-82.338084,W,NORA (7.5'),DICKENSON,56.40,"UG,CLINCHFIELD,AUSTIN GAP #2",Underground mine,1,fresh / unweathered,Full Thickness,1.6,30,53.1,15.3,4.8,72,1.4,5.6,0.8,"12,852",0.7,0.01,0.22,0.61,7.5,"2,270","2,380","2,470",56,1.25,18.5,51,26,2.1,1.6,0.03,0.27,4.2,8,1.3,0.04,2.2,44000,26000,2800,1800,370,6400,10000,1400,1600,0.024,23,1.3,26,150,1.8,1.3,12,0.11,26,300,5.2,21,3,22,2.8,1.3,0.51,60,6.8,3.7,0.56,1,0.07,0.88,0.88,1.9,17,41,0.18,50,1.1,3.1,4.1,14,2.8,37,8.1,0.13,8.8,0.6,35,1.3,0.28,0.28,2.4,4.9,2.8,2.2,1,170,0.33,0.43,0,4.3,0.6,0.6,1.9,30,0.7,5.7,1.3,20,18,,R7593-89D-13,VADMR-WILKES G P,80/07/08,AAAAAAAAAAAA5849
10 / 12,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LOWER BANNER,NORTON,BITUMINOUS,R-7595,W,210400,89D-16,37.028810,N,-82.270312,W,NORA (7.5'),DICKENSON,38.40,"UG,LAMBERT COAL CO #14",Underground mine,1,fresh / unweathered,Full Thickness,2.4,30.5,60,7.1,5.4,78.8,1.5,6.3,0.8,"14,077",1.3,0.01,0.07,0.72,8.0,"2,100","2,210","2,300", --- ,1.14,7.5,46,25,5.2,1.7,0.09,0.9,1.5,8.4,1.8,0.63,3.1,16000,9900,2800,750,500,960,4400,790,920,0.021,4.8,0.53,19,110,0.69,0.53,6.8,0.083,12,210,2.9,9.8,0.4,12,1.1,0.53,0.23,40,3.2,0.79,0.12,0.6,0.045,0.36,0.36,0.79,8,16,0.08,53,1.2,1.3,2.7,9,1.1,210,4.3,0.053,3.6,0.24,21,0.53,0.12,0.12,0.8,2.1,2.1,1.1,0.54,180,0.25,0.19,0,2.3,0.24,0.24,1,11,0.4,2.9,0.6,7.5,16,,R7595-89D-16,VADMR-WILKES G P,80/07/08,AAAAAAAAAAAA5855
11 / 12,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LOWER BANNER,NORTON,BITUMINOUS,R-7597,W,210402,88C-12,37.026597,N,-82.211071,W,DUTY (7.5'),DICKENSON,43.20,"UG,CAMP BRANCH #1",Underground mine,11,slightly weathered,Full Thickness,3.8,32.2,57.5,6.5,5.9,77.8,1.5,7.6,0.8,"13,924",2.6,0.01,0.09,0.66,6.0,"2,430","2,510","2,600", --- ,1.15,6.4,48,23,4.8,1.7,0.12,0.81,0.69,9.3,1.9,1.4,3.3,14000,7700,2200,640,380,360,4200,720,830,0.01,3.8,0.45,15,120,0.9,0.45,6.5,0.042,11,240,1.5,7.3,0.3,12,0.99,0.45,0.2,10,2.6,3.1,0.24,0.6,0.07,0.3,0.3,0.67,8,9.6,0.08,58,0.83,1.1,1.4,4.7,0.99,380,2.9,0.045,3,0.21,14,0.45,0.099,0.099,1.1,2,1.7,1,0.067,140,0.19,0.24,0,2,0.21,0.21,0.85,9,0.6,2.4,0.6,2.1,12,,R7597-88C-12,VADMR-WILKES G P,80/07/08,AAAAAAAAAAAA5854
12 / 12,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LOWER BANNER,NORTON,BITUMINOUS,R-8557,W,217596,88C-22,37.049523,N,-82.198948,W,DUTY (7.5'),DICKENSON,37.32,"UG,SANDY LANE #2",Underground mine,1,fresh / unweathered,Full Thickness,1.59,31.93,61.8,4.68,5.3,81.94,1.67,5.61,0.8,"14,555",0.93,0.05,0.13,0.62,7.0,"2,370","2,420","2,660", --- ,1.10,5.8,50,23,1.9,1.2,0.02,0.74,0.46,11,2.2,0.14,0,14000,7000,770,410,320,220,4300,750,0,0.016,21,0.28,6.4,45,1,0.41,6,0.032,13,400,1.7,8.6,0.2,7.5,0.89,0.19,0.24,80,2.2,0.61,0.45,0.55,0.16,0.28,0.28,0.61,7,6.4,0.075,12,1.5,2.2,8.7,5.2,0.61,35,2.3,0.041,2.8,0.089,14,0.41,0.089,0.089,0.3,2.2,1.8,0.8,0.19,150,0.23,0.17,0,2.3,0.41,0.19,0.67,10,0.45,4.6,0.6,2.1,16,,R8557-88C-22,VADMR-MILLER B W,82/08/25,AAAAAAAAAAAA5858
 133, 13 (average of 6 + 7),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LOWER BANNER,NORTON,BITUMINOUS,W210391-2,W,AVE 2,W210391-2,37.012624,N,-82.312126,W,NORA (7.5'),DICKENSON,44.40,"UG,LAMBERT COAL CO #44",[Underground mine],1,[fresh / unweathered],[Average of 2 Bench Samples],1.34,38.8,42.98,16.87,4.69,70.62,1.41,5.52,0.84,"12,589",0.44,0.01,0.2,0.61,6.5,"2,198","2,288","2,429", [---] , [---] ,17.96,51,25,3.4,1.2,0.03,0.14,1.8,8.6,1.7,1.1,2.5,43000,24000,4400,1300,190,2800,11000,1800,1800,0.046,14,1.3,24,140,2.2,1.3,12,0.12,30,570,6.4,22,1.8,30,2.8,1.3,0.57,58,5.9,2.6,0.69,1.1,0.082,0.86,0.86,1.9,18,41,0.17,52,2.9,5.6,18,24,2.8,840,9.8,0.13,8.6,0.58,37,1.3,0.28,0.28,0.85,5,2.2,2.3,0.37,430,0.44,0.32,0,4.5,0.58,0.58,1.4,33,0.6,12,1.3,22,47,,W210391-2,VADMR-WILKES G P,80/07/08,AAAAAAAAAAAA5851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 / 243,1 / 24 (see 25 - average of 1 + 2),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-6832,W,191329,59B-1,36.976262,N,-82.477676,W,COEBURN (7.5'),WISE,29.40,"ST,LITTLE B COAL CO",Surface mine,11,weathered,Bench Sample,1.59,34.81,58.98,4.6,5.4,80.78,1.37,7.3,0.53,"14,476",0,0.02,0.03,0.49,8.8,"2,508","2,726","2,761", --- , --- ,4.62,45,33,2.1,1.1,0.01,1,1.9,9.4,0.97,0.04,4.3,9700,8000,690,310,350,730,3000,270,790,0.051,2.4,0.65,18,86,2.5,1.4,2.9,0.042,14,0,4.5,6.1,0.27,12,2.1,0.95,0.23,34,2.8,1.1,0.3,0.47,0.11,0.45,0.45,0.97,6.3,7.5,0.12,5.3,2.2,1.7,12,7,0.65,9.7,5.1,0.097,4.5,0.45,8.9,0.65,0.065,0.21,0.26,1.7,2.5,1.5,1,160,0.19,0.27,0,2.1,0.65,0.3,1.3,11,0.78,8.2,0.69,3.6,13,,W191328-9,VADMR-HENDERSON J A,76/02/20,AAAAAAAAAAAA6028
2 / 243,2 / 24 (see 25 - average of 1 + 2),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-6833,W,191328,59B-2,36.976262,N,-82.477676,W,COEBURN (7.5'),WISE,15.96,"ST,LITTLE B COAL CO",Surface mine,11,weathered,Bench Sample,1.59,34.81,58.98,4.6,5.4,80.78,1.37,7.3,0.53,"14,476",0,0.02,0.03,0.49,8.8,"2,508","2,726","2,761", --- , --- ,4.62,45,33,2.1,1.1,0.01,1,1.9,9.4,0.97,0.04,4.3,9700,8000,690,310,350,730,3000,270,790,0.051,2.4,0.65,18,86,2.5,1.4,2.9,0.042,14,0,4.5,6.1,0.27,12,2.1,0.95,0.23,34,2.8,1.1,0.3,0.47,0.11,0.45,0.45,0.97,6.3,7.5,0.12,5.3,2.2,1.7,12,7,0.65,9.7,5.1,0.097,4.5,0.45,8.9,0.65,0.065,0.21,0.26,1.7,2.5,1.5,1,160,0.19,0.27,0,2.1,0.65,0.3,1.3,11,0.78,8.2,0.69,3.6,13,,W191328-9,VADMR-HENDERSON J A,76/02/20,AAAAAAAAAAAA6028
3 / 243,3 / 24 (see 26 - average of 3 + 4),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-6861,W,200128,89C-1,37.004250,N,-82.430636,W,CANEY RIDGE (7.5'),DICKENSON,51.96,"ST,MONAHAN MINING INC",Surface mine,11,slightly weathered,Bench Sample,2.18,27.35,52.26,18.19,4.66,68.6,1.5,6.44,0.64,"12,176",1.09,0,0.1,0.54,8.2,"2,508","2,632","2,675", --- , --- ,17.14,50,30,1.4,1.3,0.01,0.68,3,4.4,1,0.03,1.8,40000,28000,1800,1400,870,4200,5300,1000,1300,0.026,4.8,1.2,44,190,2.4,1.8,2.6,0.048,27,110,3.8,19,2.2,17,3.2,1.2,0.42,310,10,2.5,0.37,1.4,0.024,1.3,0.82,1.8,15,45,0.2,19,1.2,8.9,16,12,2.6,22,13,0.18,8.2,0.82,37,1.2,0.26,0.38,0.65,4.8,5.5,2.6,0.98,200,0.47,0.28,0,8.1,0.38,0.55,0,36,1.1,14,1.1,10,110,,W200128-9,VADMR-HENDERSON J A,78/08/18,AAAAAAAAAAAA6029
4 / 243,4 / 24 (see 26 - average of 3 + 4),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-6862,W,200129,89C-2,37.004250,N,-82.430636,W,CANEY RIDGE (7.5'),DICKENSON,58.20,"ST,MONAHAN MINING INC",Surface mine,11,slightly weathered,Bench Sample,2.18,27.35,52.26,18.19,4.66,68.6,1.5,6.44,0.64,"12,176",1.09,0,0.1,0.54,8.2,"2,508","2,632","2,675", --- , --- ,17.14,50,30,1.4,1.3,0.01,0.68,3,4.4,1,0.03,1.8,40000,28000,1800,1400,870,4200,5300,1000,1300,0.026,4.8,1.2,44,190,2.4,1.8,2.6,0.048,27,110,3.8,19,2.2,17,3.2,1.2,0.42,310,10,2.5,0.37,1.4,0.024,1.3,0.82,1.8,15,45,0.2,19,1.2,8.9,16,12,2.6,22,13,0.18,8.2,0.82,37,1.2,0.26,0.38,0.65,4.8,5.5,2.6,0.98,200,0.47,0.28,0,8.1,0.38,0.55,0,36,1.1,14,1.1,10,110,,W200128-9,VADMR-HENDERSON J A,78/08/18,AAAAAAAAAAAA6029
5 / 243,5 / 24 (see 27 - average of 5 + 6 + 7),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-6865,W,192700,89C-3,37.037122,N,-82.481437,W,CANEY RIDGE (7.5'),DICKENSON,23.64,"ST,DFH COAL CO",Surface mine,11,slightly weathered,Bench Sample,2.57,27.24,62.94,7.22,5.1,79.03,1.58,6.22,0.9,"14,064",1.83,0,0.23,0.58,8.1,"2,666","2,714","2,752", --- , --- ,6.99,48,30,2,0.67,0.01,0.25,1.7,9,1.3,0.13,2.8,16000,11000,990,280,130,990,4400,540,790,0.035,5.8,0.49,9,49,2.4,1.1,5.4,0.052,16,0,8.7,7.7,0.46,18,1.9,0.95,0.33,39,4.5,1.1,0.58,0.82,0.11,0.43,0.33,0.73,8.4,16,0.17,7.1,2.4,2.6,7.6,9.8,0.49,38,12,0.073,3.3,0.33,13,0.49,0.049,0.16,1.1,2.7,3.2,1.7,1.2,66,0.34,0.32,0,5.2,0.49,0.23,3.6,9.7,0.83,6.6,0.87,5.9,12,,W192698-700,VADMR-HENDERSON J A,76/07/16,AAAAAAAAAAAA6038
6 / 243,6 / 24 (see 27 - average of 5 + 6 + 7),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-6866,W,192699,89C-4,38.037122,N,-81.481437,W,CANEY RIDGE (7.5'),DICKENSON,9.36,"ST,DFH COAL CO",Surface mine,11,slightly weathered,Bench Sample,2.57,27.24,62.94,7.22,5.1,79.03,1.58,6.22,0.9,"14,064",1.83,0,0.23,0.58,8.1,"2,666","2,714","2,752", --- , --- ,6.99,48,30,2,0.67,0.01,0.25,1.7,9,1.3,0.13,2.8,16000,11000,990,280,130,990,4400,540,790,0.035,5.8,0.49,9,49,2.4,1.1,5.4,0.052,16,0,8.7,7.7,0.46,18,1.9,0.95,0.33,39,4.5,1.1,0.58,0.82,0.11,0.43,0.33,0.73,8.4,16,0.17,7.1,2.4,2.6,7.6,9.8,0.49,38,12,0.073,3.3,0.33,13,0.49,0.049,0.16,1.1,2.7,3.2,1.7,1.2,66,0.34,0.32,0,5.2,0.49,0.23,3.6,9.7,0.83,6.6,0.87,5.9,12,,W192698-700,VADMR-HENDERSON J A,76/07/16,AAAAAAAAAAAA6038
7 / 243,7 / 24 (see 27 - average of 5 + 6 + 7),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-6867,W,192698,89C-5,39.037122,N,-80.481437,W,CANEY RIDGE (7.5'),DICKENSON,8.04,"ST,DFH COAL CO",Surface mine,11,slightly weathered,Bench Sample,2.57,27.24,62.94,7.22,5.1,79.03,1.58,6.22,0.9,"14,064",1.83,0,0.23,0.58,8.1,"2,666","2,714","2,752", --- , --- ,6.99,48,30,2,0.67,0.01,0.25,1.7,9,1.3,0.13,2.8,16000,11000,990,280,130,990,4400,540,790,0.035,5.8,0.49,9,49,2.4,1.1,5.4,0.052,16,0,8.7,7.7,0.46,18,1.9,0.95,0.33,39,4.5,1.1,0.58,0.82,0.11,0.43,0.33,0.73,8.4,16,0.17,7.1,2.4,2.6,7.6,9.8,0.49,38,12,0.073,3.3,0.33,13,0.49,0.049,0.16,1.1,2.7,3.2,1.7,1.2,66,0.34,0.32,0,5.2,0.49,0.23,3.6,9.7,0.83,6.6,0.87,5.9,12,,W192698-700,VADMR-HENDERSON J A,76/07/16,AAAAAAAAAAAA6038
8 / 243,8 / 24 (see 28 - average of 8 + 9),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-6887,W,193945,87C-2,37.117889,N,-81.986546,W,HONAKER (7.5'),RUSSELL,47.16,"ST,BIG FORK COAL CO",Surface mine,11,slightly weathered,Bench Sample,2.56,31.96,58.52,6.94,5.3,79.02,1.5,6.48,0.74,"14,080",1.51,0.02,0.19,0.54,8.5,"2,573","2,682","2,786", --- , --- ,7.06,49,24,2.4,1.2,0.02,0.69,0.69,8.4,1.9,0.08,4.1,16000,9000,1200,490,360,410,4200,810,1200,0.028,3.8,0.49,13,79,1.5,1.1,5.2,0.022,15,0,4.9,11,0.24,16,1.6,0.88,0.29,31,2.2,1.1,0.39,0.73,0.038,0.34,0.34,0.74,8.9,12,0.12,11,1.1,2.4,9,6.2,0.49,26,3.1,0.074,3.4,0.34,13,0.49,0.049,0.16,0.33,2.5,2.4,1.4,0.67,120,0.18,0.21,0,2.4,0.49,0.23,1.2,12,0.63,8,0.72,3.2,32,,W193945-6,VADMR-HENDERSON J A,76/11/01,AAAAAAAAAAAA6047
9 / 243,9 / 24 (see 28 - average of 8 + 9),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-6888,W,193946,87C-3,38.117889,N,-80.986546,W,HONAKER (7.5'),RUSSELL,9.00,"ST,BIG FORK COAL CO",Surface mine,11,slightly weathered,Bench Sample,2.56,31.96,58.52,6.94,5.3,79.02,1.5,6.48,0.74,"14,080",1.51,0.02,0.19,0.54,8.5,"2,573","2,682","2,786", --- , --- ,7.06,49,24,2.4,1.2,0.02,0.69,0.69,8.4,1.9,0.08,4.1,16000,9000,1200,490,360,410,4200,810,1200,0.028,3.8,0.49,13,79,1.5,1.1,5.2,0.022,15,0,4.9,11,0.24,16,1.6,0.88,0.29,31,2.2,1.1,0.39,0.73,0.038,0.34,0.34,0.74,8.9,12,0.12,11,1.1,2.4,9,6.2,0.49,26,3.1,0.074,3.4,0.34,13,0.49,0.049,0.16,0.33,2.5,2.4,1.4,0.67,120,0.18,0.21,0,2.4,0.49,0.23,1.2,12,0.63,8,0.72,3.2,32,,W193945-6,VADMR-HENDERSON J A,76/11/01,AAAAAAAAAAAA6047
10 / 24,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-6920,W,195444,89C-6,37.028056,N,-82.471159,W,CANEY RIDGE (7.5'),DICKENSON,17.16,"ST,DFH COAL CO",Surface mine,11,slightly weathered,Full Thickness,4.3,30.4,60.9,4.4,5.6,79.8,1.7,7.5,1,"14,261",3.4,0.01,0.3,0.71,9.0,"2,155","2,255","2,355", --- , --- ,5.1,43,25,2.4,1.4,0.04,0.53,2.4,12,1.1,0.11,4,10000,6700,870,420,200,1000,4400,340,820,0.01,6.4,0.36,2.9,35,0.82,0.54,6.6,0.039,11,0,6.1,8.6,0.4,13,0.79,0.36,0.27,48,1.6,0.61,0.56,0.3,0.13,0.24,0.24,0.54,6,7.1,0.11,16,0.66,0.28,3.4,4.9,0.79,25,2.6,0.054,2.4,0.24,16,0.36,0.079,0.11,0.7,2.2,1.3,1.3,0.054,61,0.36,0.17,0,1.5,0.18,0.16,1.2,6.1,0.4,3,0.7,6.6,4,,R6920-89C-6,VADMR-HENDERSON J A,77/03/31,AAAAAAAAAAAA6035
11 / 24,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-7069,W,198543,89C-7,37.059930,N,-82.457307,W,CANEY RIDGE (7.5'),DICKENSON,23.88,"ST,MINERAL DEVELOPERS INC",Surface mine,11,slightly weathered,Full Thickness,4.1,29.2,59.8,6.9,5.2,78.4,1.5,7.3,0.7,"13,829",3.5,0.02,0.11,0.6,6.5,"2,780","2,910","2,910",72,1.01,27.7,62,25,0.59,0.8,0,0.2,2.9,3.3,2.4,0.22,0.59,80000,37000,1200,1300,420,6700,6400,4000,650,0.036,7,1.9,17,130,3,2.9,33,0.053,49,630,10,45,3.3,28,4.3,1.9,0.61,170,10,3,1.3,3.5,0.02,1.3,1.3,2.9,30,89,0.32,17,0.43,6.4,18,18,4.3,270,18,0.29,13,1.3,70,1.9,0.43,0.62,0.9,8.5,3.7,3.4,2.3,110,0.88,0.5,0,11,0.62,0.89,2.8,36,1.4,12,2,15,42,,R7069-89C-7,VADMR-HENDERSON J A,78/03/30,AAAAAAAAAAAA6043
12 / 24,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-7171,W,200486,59B-5,36.956246,N,-82.441333,W,COEBURN (7.5'),WISE,16.20,"ST,MINERALS DEVELOPMENT INC",Surface mine,11,weathered,Full Thickness,1.3,38.2,56.4,4.1,5.6,81.1,1.7,7.1,0.5,"14,520",0.1,0.02,0.08,0.45,6.5,"2,060","2,110","2,310", --- ,0.69,4.3,31,20,6.3,2,0.03,1.9,1.2,13,1.1,0.08,15,6200,4700,1900,520,600,430,4000,270,2500,0.018,3,0.3,7.3,250,0.69,0.45,2.4,0.038,7,160,12,6.2,0.4,7.3,0.66,0.3,0.12,27,2.6,0.6,3.6,0.25,0.007,0.2,0.2,0.45,3.5,6,0.05,11,0.69,0.56,2.1,7.7,0.66,15,0.77,0.045,2,0.2,42,0.3,0.066,0.096,0.9,1.3,1.3,0.65,0.045,140,0.14,0.15,0,0.75,0.096,0.14,0.24,4.3,0.4,3.2,0.35,3.3,6.9,,R7171-59B-5,VADMR-HENDERSON J A,78/08/15,AAAAAAAAAAAA6027
13 / 24,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-7348,W,203390,89C-8,37.045560,N,-82.482866,W,CANEY RIDGE (7.5'),DICKENSON,30.00,"ST,A & S COAL CO",Surface mine,1,fresh / unweathered,Full Thickness,2.8,28.8,58.1,10.3,5.1,76.1,1.3,6.3,0.9,"13,535",2,0.01,0.29,0.59,8.0,"2,910","2,910","2,910", --- ,1.33,11.8,54,31,0.77,0.88,0.03,0.23,2.7,6.4,1.2,0.05,1.2,30000,19000,650,630,200,2600,5300,850,580,0.012,6.3,0.83,9.4,73,2.2,1.2,4.5,0.091,24,240,4.7,11,1.3,21,1.8,0.83,0.34,56,7,1.2,0.61,1,0.07,0.56,0.56,1.2,13,32,0.17,31,1.8,3.9,12,11,1.8,26,19,0.12,5.6,0.56,17,0.83,0.18,0.26,1.1,3.5,4.2,2.1,1.8,68,0.54,0.26,0,7.9,0.26,0.38,4.1,21,1.1,9.8,0.9,9.4,27,,R7348-89C-8,VADMR-WILKES G P,78/09/12,AAAAAAAAAAAA6042
14 / 24,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,UPPER BANNER,NORTON,BITUMINOUS,R-7357,W,204160,89D-3,37.019049,N,-82.303893,W,NORA (7.5'),DICKENSON,34.80,"ST,MARTIN COAL CO",Surface mine,11,slightly weathered,Lower Split,3.3,32.6,60.5,3.6,5.4,81.8,1.5,7.1,0.6,"14,470",2.5,0.01,0.13,0.45,8.0,"2,160","2,250","2,360", --- ,0.83,4.5,39,25,3.9,1.5,0.02,0.96,2.6,11,1.4,0.11,0.7,8200,6000,1200,410,320,990,3600,380,130,0.012,2.1,0.32,6.3,95,0.95,0.47,4.7,0.044,11,35,6.5,7.4,0.4,14,0.69,0.32,0.22,510,2.2,0.47,0.29,0.4,0.007,0.21,0.21,0.47,6,6.3,0.12,9.9,0.86,0.45,3.3,6.3,0.69,23,2.8,0.047,2.1,0.21,14,0.32,0.069,0.1,0.4,1.9,5.2,0.9,0.047,180,0.08,0.16,0,1.5,0.1,0.14,0.52,8.1,0.56,4.2,0.6,2.8,4.1,,R7357-89D-3,VADMR-WILKES G P,78/11/24,AAAAAAAAAAAA6033
