OBJECTID,GISID,Route_Type,Label,Snow_Priority,Use_Caution,Type_L,Type_R,Diff_L,Diff_R,Shapelen
400,645,Marked Route,,0,0,Lane,Lane,medium,medium,558.710181943647
401,322,Off Street Trail,Mount Vernon Trail,0,0,,,,,917.403782174503
402,658,Off Street Trail,Sidewalk - Columbia Pike,0,0,,,,,750.301229524893
404,220,Off Street Trail,Arlington Cemetery,0,0,,,,,1269.07625025395
403,470,Off Street Trail,Sidewalk - Columbia Pike,0,0,,,,,4493.75320337755
406,828,Off Street Trail,Arlington Cemetery,1,0,,,,,2107.49677776779
405,787,Suggested Route,,0,0,,,easy,easy,2883.49164564027
407,902,Off Street Trail,Iwo Jima,0,0,,,,,750.32056757212
408,810,Off Street Trail,Iwo Jima,0,0,,,,,409.021068987619
409,512,Off Street Trail,Iwo Jima,0,0,,,,,475.754419636687
410,452,Marked Route,,0,0,Lane,Lane,easy,easy,1194.69102484741
411,468,Marked Route,,0,0,Lane,Lane,medium,medium,1870.35283732355
412,841,Off Street Trail,Iwo Jima,0,0,,,,,59.4628397516317
415,573,Marked Route,Rt 50 Trail Sidewalk Ext,0,0,,,,,394.024421160169
413,629,Off Street Trail,Iwo Jima,0,0,,,,,435.68470777215
414,630,Off Street Trail,Rt 50 Trail,0,0,,,,,2583.25158093428
416,953,Marked Route,Rt 50 Trail Sidewalk Ext,0,0,,,,,397.950017700195
417,686,Off Street Trail,Rt 50 Trail,0,0,,,,,1546.01493529989
418,461,Off Street Trail,Four Mile Run Trail,0,0,,,,,1080.21010584382
419,357,Off Street Trail,Rt 50 Trail,0,0,,,,,173.126559786647
420,611,Off Street Trail,Rt 50 Trail,0,0,,,,,151.743548630577
421,456,Off Street Trail,Rt 50 Trail,0,0,,,,,1657.58203139564
423,419,Off Street Trail,TJCC Trail,0,0,,,,,961.22050929631
422,365,Off Street Trail,Rt 50 Trail,0,0,,,,,741.309126749811
424,279,Off Street Trail,Rt 50 Trail,0,0,,,,,1685.27569161162
425,593,Marked Route,,0,0,Lane,None,medium,,1862.89416042932
426,767,Off Street Trail,Neighborhood Trail,0,0,,,,,2125.22542049052
429,172,Off Street Trail,Custis Trail,1,0,,,,,769.533429702409
427,381,Off Street Trail,Custis Trail,1,0,,,,,956.525616034574
428,271,Off Street Trail,Custis Connector,0,0,,,,,182.788182682792
430,129,Off Street Trail,Four Mile Run Connector,0,0,,,,,909.093206339145
431,947,Off Street Trail,Four Mile Run Trail,0,0,,,,,39.537843794055
433,121,Off Street Trail,Lucky Run Park Trail,0,0,,,,,839.864808410031
432,554,Off Street Trail,Four Mile Run Trail,1,0,,,,,1311.00306730037
434,778,Off Street Trail,Mount Vernon Trail,0,0,,,,,30.6060162471765
435,418,Off Street Trail,Mount Vernon Trail,0,0,,,,,206.72473059171
436,765,Off Street Trail,Four Mile Run Trail,1,0,,,,,266.774940138184
438,936,Off Street Trail,Lucky Run Park Trail,0,0,,,,,50.7810888796998
437,141,Off Street Trail,Mount Vernon Trail,0,0,,,,,4002.79655993382
439,352,Off Street Trail,Lucky Run Park Trail,0,0,,,,,829.955022200546
440,972,Off Street Trail,Lucky Run Park Trail,0,0,,,,,108.827006361017
441,380,Off Street Trail,Lucky Run Park Trail,0,0,,,,,1473.27679306631
442,417,Off Street Trail,Four Mile Run Connector,0,0,,,,,315.481448294055
443,328,Off Street Trail,Lucky Run Park Trail,0,0,,,,,17.6775272546437
444,734,Marked Route,,0,0,Lane,Lane,medium,medium,995.818237823573
445,781,Suggested Route,,0,0,,,difficult,difficult,706.831323256524
447,501,Off Street Trail,Glebe Elementary Trail,0,0,,,,,940.332741399277
446,688,Suggested Route,,0,0,,,medium,medium,1378.22518434462
448,649,Suggested Route,,0,0,,,easy,easy,2863.1182522491
449,793,Suggested Route,,0,0,,,easy,easy,390.973238544571
450,887,Suggested Route,,0,0,,,easy,easy,994.549640538576
451,834,Suggested Route,,0,0,,,easy,easy,921.056297440658
452,167,Suggested Route,,0,0,,,easy,easy,554.882345006217
453,203,Suggested Route,,0,0,,,easy,easy,770.704317977551
454,247,Off Street Trail,Four Mile Run Connector,1,0,,,,,237.773231977282
455,225,Sharrow,,0,0,Sharrow,Sharrow,difficult,difficult,1247.74940973179
456,678,Suggested Route,,0,0,,,easy,easy,936.855736655329
457,218,Suggested Route,,0,0,,,medium,medium,1110.32948273675
458,868,Suggested Route,,0,0,,,medium,medium,1470.11967537264
461,367,Suggested Route,,0,0,,,easy,easy,1515.17025170151
459,674,Suggested Route,,0,0,,,easy,easy,1400.89614065436
460,661,Suggested Route,,0,0,,,easy,easy,1351.17147459039
462,446,Suggested Route,,0,0,,,easy,easy,474.590855992483
463,706,Suggested Route,,0,0,,,medium,medium,471.368991456461
466,904,Suggested Route,,0,0,,,medium,medium,874.963555072278
465,840,Suggested Route,,0,0,,,easy,easy,1452.64619669366
464,832,Suggested Route,,0,0,,,easy,easy,1367.49269609612
467,819,Suggested Route,,0,0,,,difficult,difficult,915.399881472166
468,955,Suggested Route,,0,0,,,medium,medium,1833.15302872706
469,118,Marked Route,,0,0,Lane,Lane,medium,medium,2530.8053200583
471,114,Suggested Route,,0,0,,,easy,easy,2419.03431434057
470,511,Suggested Route,,0,0,,,easy,easy,2762.82484587258
472,147,Marked Route,,0,0,Lane,Lane,medium,medium,1302.35853828531
473,397,Marked Route,,0,0,Lane,Lane,medium,medium,332.480706098296
474,618,Marked Route,,0,0,Lane,Lane,medium,medium,463.05877671277
476,703,Marked Route,,0,0,Lane,Lane,medium,medium,560.558756327643
475,549,Marked Route,,0,0,Lane,Lane,medium,medium,421.661235704262
477,587,Marked Route,,0,0,Lane,Lane,difficult,difficult,297.777142254965
478,896,Suggested Route,,0,0,,,easy,easy,294.370506817846
480,162,Suggested Route,,0,0,,,easy,easy,466.555596082342
481,455,Suggested Route,,0,0,,,difficult,difficult,159.172293785844
479,660,Suggested Route,,0,0,,,easy,easy,665.398495827785
482,430,Marked Route,,0,0,Lane,Lane,difficult,difficult,925.012731820469
483,683,Marked Route,,0,0,Lane,Lane,medium,medium,1131.10917341295
484,401,Suggested Route,,0,0,,,medium,medium,244.695464638565
485,355,Suggested Route,,0,0,,,medium,medium,570.645586477961
486,829,Suggested Route,,0,0,,,difficult,difficult,707.69528971597
488,854,Suggested Route,,0,0,,,difficult,difficult,666.328931221981
489,759,Marked Route,,0,0,None,Lane,,difficult,665.41135332172
490,929,Marked Route,,0,0,None,Lane,,difficult,1414.75700891963
491,133,Suggested Route,,0,0,,,difficult,difficult,400.801633505597
492,228,Suggested Route,,0,0,,,difficult,difficult,277.066446784863
487,687,Suggested Route,,0,0,,,difficult,difficult,847.678660413324
493,244,Suggested Route,,0,0,,,medium,medium,430.697558829544
494,239,Suggested Route,,0,0,,,difficult,difficult,1893.70275507561
495,889,Suggested Route,,0,0,,,difficult,difficult,767.07220054996
496,442,Marked Route,,0,0,None,Lane,,difficult,1750.38369047163
497,389,Marked Route,,0,0,Lane,None,medium,,2109.51585013362
500,671,Suggested Route,,0,0,,,easy,easy,991.600621323156
498,745,Suggested Route,,0,0,,,medium,medium,657.877403208462
499,800,Suggested Route,,0,0,,,easy,easy,1519.00826816441
504,691,Marked Route,,0,0,Lane,Lane,medium,medium,574.283427982668
503,664,Marked Route,,0,0,Lane,Lane,easy,easy,1286.6672408855
502,931,Suggested Route,,0,0,,,easy,easy,1931.15430646575
501,472,Suggested Route,,0,0,,,easy,easy,615.098202981075
505,659,Off Street Trail,Arlington Cemetery,0,0,,,,,121.509578178151
506,644,Marked Route,,0,0,Lane,None,medium,,974.135469550083
507,482,Marked Route,,0,0,Lane,Lane,easy,easy,1140.98004258477
508,166,Suggested Route,,0,0,,,,medium,875.51854700123
510,450,Suggested Route,,0,0,,,medium,medium,1161.72536924236
512,104,Suggested Route,,0,0,,,medium,medium,853.3500249883
509,751,Suggested Route,,0,0,,,easy,easy,276.742985963178
511,910,Suggested Route,,0,0,,,,,723.676404881782
513,416,Marked Route,,0,0,Lane,Lane,medium,medium,21.7579014540025
514,180,Suggested Route,,0,0,,,easy,easy,1990.6869349146
515,350,Suggested Route,,0,0,,,easy,easy,677.855678164515
516,608,Suggested Route,,0,0,,,easy,easy,995.675317840218
517,737,Suggested Route,,0,0,,,easy,easy,2006.08461988742
519,637,Suggested Route,,0,0,,,easy,easy,1567.92950491055
518,907,Suggested Route,,0,0,,,easy,easy,1810.96919317502
521,603,Suggested Route,,0,0,,,easy,easy,1349.98977931702
520,612,Suggested Route,,0,0,,,easy,easy,2903.11956035369
522,764,Suggested Route,,0,1,,,difficult,difficult,962.268253947242
523,620,Suggested Route,,0,0,,,easy,easy,526.201271020856
524,332,Suggested Route,,0,0,,,easy,easy,396.965912774244
525,177,Suggested Route,,0,0,,,easy,easy,1145.1673156046
526,719,Suggested Route,,0,0,,,easy,easy,291.805801908704
527,443,Suggested Route,,0,0,,,easy,easy,831.449017530542
528,901,Suggested Route,,0,0,,,easy,easy,1308.07768872397
529,738,Marked Route,,0,0,Lane,Lane,medium,medium,1902.52934608845
530,957,Sharrow,,0,0,Sharrow,Sharrow,medium,medium,502.730038026856
532,796,Marked Route,,0,0,Lane,Lane,medium,medium,300.132327087992
531,822,Sharrow,,0,0,Sharrow,Sharrow,medium,medium,2130.91124031262
533,128,Suggested Route,,0,0,,,easy,easy,518.856698941467
537,106,Suggested Route,,0,0,,,easy,easy,112.894048690609
535,813,Suggested Route,,0,0,,,easy,easy,334.151038351584
536,710,Suggested Route,,0,0,,,medium,medium,466.577264734753
534,467,Suggested Route,,0,0,,,easy,easy,190.992187639055
538,411,Suggested Route,,0,0,,,difficult,difficult,1418.13567173076
539,750,Suggested Route,,0,0,,,easy,easy,609.883737873554
540,175,Suggested Route,,0,0,,,easy,easy,1274.65111925138
541,489,Suggested Route,,0,0,,,easy,easy,2446.76271557672
542,351,Suggested Route,,0,0,,,easy,easy,390.065069971706
543,802,Suggested Route,,0,0,,,easy,easy,1103.88273397898
546,837,Suggested Route,,0,0,,,easy,easy,59.4076136635136
545,843,Suggested Route,,0,0,,,easy,easy,1336.41616869111
547,107,Suggested Route,,0,0,,,difficult,difficult,1209.36860598652
548,621,Marked Route,,0,0,Lane,Lane,medium,medium,1751.43894184525
549,919,Off Street Trail,Rt 50 Trail,0,0,,,,,3231.99680692225
544,945,Suggested Route,,0,0,,,easy,easy,5909.04521491855
551,487,Suggested Route,,0,0,Lane,Lane,medium,medium,645.274044347221
553,421,Suggested Route,,0,0,,,easy,easy,1454.62058670133
552,709,Suggested Route,,0,0,,,easy,easy,2869.45429119355
550,198,Suggested Route,,0,0,,,easy,easy,3054.40605203299
554,527,Marked Route,,0,0,Lane,Lane,easy,easy,1316.54241458015
555,393,Suggested Route,,0,0,,,easy,easy,935.646808762354
556,806,Suggested Route,,0,0,,,easy,easy,1487.67347135094
558,252,Marked Route,,0,0,Lane,Lane,medium,medium,1168.98369989398
557,457,Marked Route,,0,0,Lane,Lane,medium,medium,791.371859987616
559,492,Marked Route,,0,0,Lane,Lane,medium,medium,189.16048728629
560,792,Marked Route,,0,0,Lane,Lane,easy,easy,2300.27174630719
561,705,Suggested Route,,0,0,,,easy,easy,3129.68380925038
563,313,Suggested Route,,0,0,,,easy,easy,1153.45452583618
562,733,Marked Route,,0,0,Lane,Lane,easy,easy,955.674412830758
564,217,Suggested Route,,0,0,,,easy,easy,649.425693157978
566,692,Suggested Route,,0,0,,,easy,easy,105.959435944511
565,270,Suggested Route,,0,0,,,easy,easy,2178.43640036071
568,420,Suggested Route,,0,0,,,easy,easy,749.072542219032
567,383,Suggested Route,,0,0,,,difficult,difficult,179.425190789535
569,255,Suggested Route,,0,0,,,easy,easy,753.961835733135
570,567,Suggested Route,,0,0,,,easy,easy,543.130970395785
571,466,Suggested Route,,0,0,,,medium,medium,1315.80500901793
572,314,Suggested Route,,0,0,,,medium,medium,92.810518972136
574,205,Suggested Route,,0,0,,,easy,easy,347.481221201991
573,877,Suggested Route,,0,0,,,easy,easy,592.580364553354
575,967,Suggested Route,,0,0,,,easy,easy,771.516429739758
576,725,Suggested Route,,0,0,,,easy,easy,285.157954642805
577,406,Suggested Route,,0,0,,,medium,medium,418.865851458152
578,874,Marked Route,,0,0,Lane,Lane,medium,medium,95.5044497646229
581,379,Marked Route,,0,0,Lane,Lane,medium,medium,364.91801560684
579,124,Suggested Route,,0,0,,,difficult,difficult,1441.65309434709
580,575,Marked Route,,0,0,Lane,Lane,easy,easy,1055.94479788336
582,631,Marked Route,,0,0,Lane,Lane,medium,medium,733.115577451867
583,195,Marked Route,,0,0,Lane,Lane,easy,easy,660.005489923598
584,176,Marked Route,,0,0,Lane,Lane,easy,easy,654.788156373502
585,880,Marked Route,,0,0,Lane,Lane,medium,medium,781.205946945347
586,297,Marked Route,,0,0,Lane,Lane,medium,medium,567.080314504007
587,438,Marked Route,,0,0,Lane,Lane,easy,easy,874.054914151243
588,112,Marked Route,,0,0,Lane,Lane,medium,medium,910.913871119934
591,702,Suggested Route,,0,0,,,easy,easy,1609.00155696957
589,347,Marked Route,,0,0,Lane,Lane,medium,medium,1151.59215409097
590,895,Suggested Route,,0,0,,,easy,easy,988.349340572075
592,395,Marked Route,,0,0,Lane,Lane,easy,easy,3453.21449044442
593,391,Suggested Route,,0,0,,,easy,easy,3526.41206453852
594,699,Marked Route,,0,0,Lane,Lane,medium,medium,1767.16709020767
595,500,Sharrow,,0,0,Sharrow,Sharrow,medium,medium,124.291953376783
596,440,Marked Route,,0,1,Lane,Lane,difficult,difficult,1513.27928660636
599,654,Suggested Route,,0,0,,,easy,easy,700.062986714555
598,911,Suggested Route,,0,0,,,medium,medium,261.131872686906
597,504,Suggested Route,,0,0,,,easy,easy,400.910363404955
601,774,Suggested Route,,0,0,,,,,669.844978876831
603,425,Suggested Route,,0,0,,,easy,easy,4248.1947495072
602,304,Suggested Route,,0,0,,,easy,easy,752.224064587413
600,170,Suggested Route,,0,0,,,easy,easy,1412.47970026296
605,526,Suggested Route,,0,0,,,easy,easy,610.0131309714
604,599,Suggested Route,,0,0,,,difficult,difficult,2897.18323381715
606,435,Suggested Route,,0,0,,,easy,easy,332.262224457992
608,412,Marked Route,,0,0,Lane,Lane,easy,easy,660.356023643937
609,340,Suggested Route,,0,0,,,easy,easy,1067.04633985131
607,914,Marked Route,,0,0,Lane,Lane,easy,easy,1339.08429220819
610,627,Suggested Route,,0,0,,,easy,easy,1465.16577889421
611,609,Suggested Route,,0,0,,,easy,easy,1105.40190508403
612,481,Suggested Route,,0,0,,,difficult,difficult,571.546482815394
614,592,Suggested Route,,0,0,,,easy,easy,744.601784600915
615,817,Suggested Route,,0,0,,,difficult,difficult,590.082480114221
616,189,Suggested Route,,0,0,,,medium,medium,2648.26051130978
613,423,Sharrow,,0,0,Sharrow,Sharrow,difficult,difficult,1225.63195478806
617,713,Suggested Route,,0,0,,,easy,easy,1713.13470554772
618,718,Suggested Route,,0,0,,,medium,medium,1472.22965924874
619,581,Suggested Route,,0,0,,,difficult,difficult,2222.5513734806
621,520,Marked Route,,0,0,Lane,Lane,easy,easy,1176.04060887932
620,451,Marked Route,,0,0,Lane,Lane,medium,medium,1025.73970414693
622,783,Marked Route,,0,0,Lane,Lane,medium,medium,590.204752480752
623,883,Suggested Route,,0,0,,,difficult,difficult,159.411412279354
625,607,Marked Route,,0,0,Lane,Lane,difficult,difficult,496.451560600327
624,669,Suggested Route,,0,0,,,difficult,difficult,198.991397390282
626,459,Marked Route,,0,0,Lane,Lane,medium,medium,496.01934821944
627,150,Marked Route,,0,0,Lane,Lane,easy,easy,1064.84098078467
629,377,Suggested Route,,0,0,,,easy,easy,136.001347066432
628,952,Suggested Route,,0,0,,,easy,easy,1222.47303962992
631,566,Off Street Trail,Washington Blvd Trail,0,0,,,,,39.332465830389
630,495,Suggested Route,,0,0,,,easy,easy,287.504458003388
632,648,Off Street Trail,Bluemont Connector,1,0,,,,,1114.1038451656
633,309,Off Street Trail,Four Mile Run Trail,0,0,,,,,240.267672459935
635,963,Off Street Trail,Bluemont Connector,1,0,,,,,21.2416671438496
636,142,Suggested Route,,0,0,,,medium,medium,503.784333163004
634,263,Off Street Trail,Bluemont Connector,1,0,,,,,353.097859461277
637,789,Suggested Route,,0,0,,,medium,medium,230.967685048691
638,473,Suggested Route,,0,0,,,medium,medium,878.277988934899
639,770,Off Street Trail,Bluemont Connector,1,0,,,,,344.253661004681
642,294,Off Street Trail,Rt 50 Trail,0,0,,,,,1238.96999677478
641,363,Off Street Trail,Bluemont Connector,1,0,,,,,325.347066429862
640,293,Suggested Route,,0,0,,,easy,easy,936.130277075571
643,932,Suggested Route,,0,0,,,easy,easy,2909.1824029636
645,277,Off Street Trail,Four Mile Run Trail,1,0,,,,,2336.44930302149
644,625,Off Street Trail,Four Mile Run Trail,1,0,,,,,1684.17185619704
647,600,Off Street Trail,Custis Trail,1,0,,,,,644.815721059199
646,744,Off Street Trail,Custis Trail,1,0,,,,,123.457970583105
648,928,Off Street Trail,Custis Trail,1,0,,,,,493.495117078078
649,505,Off Street Trail,Custis Trail,1,0,,,,,61.4829485239873
651,763,Off Street Trail,Custis Trail,1,0,,,,,666.286127887815
650,372,Off Street Trail,Custis Trail,1,0,,,,,131.291689185144
653,823,Off Street Trail,Custis Connector,0,0,,,,,47.7760284974256
652,563,Off Street Trail,Custis Trail,1,0,,,,,16.4320746461799
655,846,Off Street Trail,Custis Connector,0,0,,,,,52.3892584152192
654,199,Off Street Trail,Custis Trail,1,0,,,,,1018.41734225642
656,799,Off Street Trail,Custis Connector,1,0,,,,,270.49438164255
657,194,Off Street Trail,Four Mile Run,0,0,,,,,777.382383472369
658,258,Off Street Trail,Custis Trail,1,0,,,,,781.882123776913
659,496,Off Street Trail,Custis Connector,0,0,,,,,27.0557713468385
660,517,Off Street Trail,W&OD Trail,0,0,,,,,121.7795626514
661,723,Off Street Trail,W&OD Trail,1,0,,,,,1903.53101007504
664,349,Off Street Trail,W&OD Trail,0,0,,,,,529.844388925051
662,262,Off Street Trail,Custis Trail,1,0,,,,,665.154189663457
663,173,Off Street Trail,Custis Connector,1,0,,,,,118.568135244862
665,348,Off Street Trail,Bluemont Connector,0,0,,,,,1179.43909275699
666,432,Off Street Trail,W&OD Trail,0,0,,,,,73.2121081346683
667,333,Off Street Trail,W&OD Trail,0,0,,,,,391.917233986626
668,908,Off Street Trail,Custis Trail,1,0,,,,,281.325786380044
669,188,Off Street Trail,W&OD Trail,0,0,,,,,63.3812384021097
670,157,Off Street Trail,W&OD Trail,1,0,,,,,1328.20886662235
671,708,Off Street Trail,W&OD Connector,0,0,,,,,794.924554979758
672,935,Off Street Trail,W&OD Connector,0,0,,,,,247.077869717319
673,283,Off Street Trail,W&OD Trail,0,0,,,,,315.91547541788
674,376,Off Street Trail,Custis Trail,1,0,,,,,160.448781524867
675,736,Off Street Trail,Custis Trail,1,0,,,,,899.376314062489
676,831,Off Street Trail,Custis Trail,1,0,,,,,253.441676060686
677,657,Off Street Trail,W&OD Connector,0,0,,,,,337.16214334949
679,278,Off Street Trail,W&OD Connector,0,0,,,,,25.9725571792558
678,681,Off Street Trail,W&OD Connector,0,0,,,,,49.1058565614439
680,265,Off Street Trail,Custis Connector,0,0,,,,,108.410588684147
681,301,Off Street Trail,Custis Trail,1,0,,,,,272.132030766344
682,539,Off Street Trail,W&OD Connector,0,0,,,,,173.248153338685
683,886,Off Street Trail,W&OD Trail,0,0,,,,,260.498011182555
685,597,Off Street Trail,W&OD Connector,0,0,,,,,92.9106421885615
684,890,Off Street Trail,W&OD Connector,0,0,,,,,476.51005641445
686,807,Off Street Trail,Custis Trail,1,0,,,,,396.935977256197
687,138,Off Street Trail,Custis Connector,0,0,,,,,28.2678322051471
688,870,Off Street Trail,Sidewalk,0,0,,,,,1818.3173205395
689,408,Off Street Trail,Rt 50 Trail,0,0,,,,,207.616434259309
690,103,Off Street Trail,Rt 50 Trail,0,0,,,,,613.299182439266
691,859,Off Street Trail,Rt 50 Trail,0,0,,,,,148.34666799405
694,491,Off Street Trail,W&OD Trail,0,0,,,,,1691.84456902523
693,701,Off Street Trail,W&OD Trail,0,0,,,,,519.022089731611
692,362,Off Street Trail,Rt 50 Trail,0,0,,,,,1370.92816746583
695,909,Off Street Trail,Four Mile Run Trail,0,0,,,,,121.252986343966
696,544,Off Street Trail,Four Mile Run Trail,0,0,,,,,118.525402885609
697,961,Off Street Trail,W&OD Trail,0,0,,,,,317.710584916203
698,445,Off Street Trail,W&OD Trail,0,0,,,,,488.252830873089
700,776,Off Street Trail,W&OD Trail,0,0,,,,,703.735631525999
699,479,Off Street Trail,W&OD Trail,0,0,,,,,60.4818715623694
701,579,Off Street Trail,W&OD Trail,0,0,,,,,110.229685124881
702,413,Off Street Trail,Four Mile Run Trail,0,0,,,,,298.441097222385
703,641,Off Street Trail,Four Mile Run Trail,0,0,,,,,164.392350387801
705,519,Suggested Route,,0,0,,,easy,easy,593.062722263061
704,469,Marked Route,,0,0,Lane,Sharrow,medium,medium,723.058045969088
706,965,Suggested Route,,0,0,,,easy,easy,1413.38169318491
707,925,Marked Route,,0,0,Lane,Sharrow,medium,medium,582.22431202819
708,342,Off Street Trail,Four Mile Run Trail,0,0,,,,,1961.86738092616
709,242,Marked Route,,0,0,Lane,Sharrow,medium,medium,103.768180202344
712,602,Off Street Trail,Four Mile Run,0,0,,,,,133.679486024131
710,390,Marked Route,,0,0,Lane,Sharrow,medium,medium,78.8001283133949
711,161,Off Street Trail,Four Mile Run Trail,0,0,,,,,249.788300803429
713,235,Off Street Trail,Four Mile Run,0,0,,,,,523.303138684501
716,596,Off Street Trail,Upton Hill Park Trail,0,0,,,,,476.762913651924
714,636,Off Street Trail,Four Mile Run,0,0,,,,,490.101505865532
715,202,Off Street Trail,Upton Hill Park Trail,0,0,,,,,712.845851684095
717,816,Off Street Trail,Upton Hill Park Trail,0,0,,,,,105.252738062187
719,755,Off Street Trail,W&OD Trail,0,0,,,,,184.773106476424
718,966,Off Street Trail,W&OD Trail,0,0,,,,,1146.91349597344
721,897,Off Street Trail,W&OD Connector,0,0,,,,,215.529639965177
720,522,Off Street Trail,W&OD Trail,1,0,,,,,298.811481809971
722,856,Off Street Trail,W&OD Trail,1,0,,,,,195.666259244416
725,924,Off Street Trail,W&OD Trail,1,0,,,,,148.797451849605
723,117,Off Street Trail,W&OD Connector,0,0,,,,,280.672269287907
724,768,Off Street Trail,W&OD Trail,0,0,,,,,768.069970270043
726,222,Off Street Trail,W&OD Trail,1,0,,,,,261.955781980864
727,790,Off Street Trail,W&OD Trail,0,0,,,,,549.544168932328
728,922,Off Street Trail,W&OD Trail,0,0,,,,,89.4670500868174
729,353,Off Street Trail,W&OD Trail,0,0,,,,,47.9226348887395
730,317,Off Street Trail,W&OD Trail,1,0,,,,,477.351872400217
731,238,Off Street Trail,Custis Trail,1,0,,,,,1497.34499137531
732,777,Off Street Trail,Custis Trail,1,0,,,,,350.662537824258
733,295,Off Street Trail,Custis Trail,1,0,,,,,341.153960683467
734,876,Off Street Trail,Washington Blvd Trail,0,0,,,,,1794.6942244808
736,507,Off Street Trail,W&OD Trail,0,0,,,,,82.4027564420672
735,918,Off Street Trail,W&OD Trail,0,0,,,,,2919.19506593403
737,951,Off Street Trail,W&OD Trail,0,0,,,,,503.793832887807
738,130,Off Street Trail,W&OD Trail,0,0,,,,,204.684302357579
739,975,Off Street Trail,W&OD Trail,0,0,,,,,40.8917679215372
740,976,Off Street Trail,W&OD Trail,0,0,,,,,47.0604580074271
741,884,Off Street Trail,W&OD Trail,1,0,,,,,814.66239544004
742,187,Off Street Trail,Sidewalk,0,0,,,,,496.139614545346
743,727,Off Street Trail,Rt 50 Trail,0,0,,,,,1585.07473029133
744,977,Off Street Trail,Bluemont Connector,1,0,,,,,61.7422197792077
746,845,Sharrow,,0,0,Lane,Sharrow,difficult,difficult,1181.8311981166
745,845,Suggested Route,,0,0,,,difficult,difficult,2655.05717447756
747,385,Suggested Route,,0,0,,,easy,easy,990.917379473069
748,978,Suggested Route,,0,0,,,easy,easy,345.588747109055
749,979,Suggested Route,,0,0,,,medium,medium,1498.25096015403
750,980,Suggested Route,,0,0,,,easy,easy,1874.66826181022
751,981,Suggested Route,,0,0,,,easy,easy,776.666182379254
754,984,Suggested Route,,0,0,,,easy,easy,261.882911241488
752,982,Suggested Route,,0,0,,,easy,easy,858.403333998182
753,983,Suggested Route,,0,0,,,easy,easy,122.155735550737
756,986,Suggested Route,,0,0,,,easy,easy,204.90850225121
755,985,Suggested Route,,0,0,,,easy,easy,597.654085966879
757,987,Suggested Route,,0,0,,,easy,easy,372.98882798153
758,988,Suggested Route,,0,0,,,easy,easy,632.366494886392
759,989,Suggested Route,,0,0,,,medium,medium,308.381687114057
761,991,Off Street Trail,Custis Connector,0,0,,,,,106.656573887242
760,990,Off Street Trail,Neighborhood Trail,0,0,,,,,186.161013097706
762,993,Suggested Route,,0,0,,,easy,easy,626.384140211897
763,995,Suggested Route,,0,0,,,easy,easy,291.663386078624
765,996,Suggested Route,,0,0,,,easy,easy,360.704120174064
764,994,Suggested Route,,0,0,,,easy,easy,239.74225293529
766,997,Suggested Route,,0,0,,,easy,easy,363.377055724954
767,998,Suggested Route,,0,0,,,easy,easy,137.656243159186
768,999,Suggested Route,,0,0,,,easy,easy,141.362284447157
769,1000,Suggested Route,,0,0,,,easy,easy,93.7844147200475
770,1001,Suggested Route,,0,0,,,easy,easy,220.468278854077
771,1002,Suggested Route,,0,0,,,easy,easy,143.036991261616
772,1003,Off Street Trail,Mount Vernon Trail,0,0,,,,,174.78728990121
773,992,Off Street Trail,Boundary Drive Trail,0,0,,,,,1123.02352519952
775,1005,Suggested Route,,0,0,,,medium,medium,438.424918524103
776,1006,Marked Route,,0,0,Lane,Lane,difficult,difficult,284.640074373924
774,1004,Off Street Trail,Boundary Drive Trail,0,0,,,,,102.89724735901
777,1007,Off Street Trail,Zachary Taylor Trail,0,0,,,,,2396.85110571993
779,1009,Marked Route,,0,0,Lane,Lane,medium,medium,2363.61027492491
780,1010,Marked Route,,0,0,Lane,Lane,medium,medium,818.54439821715
778,1008,Off Street Trail,Zachary Taylor Trail,0,0,,,,,2688.74027776962
781,268,Sharrow,,0,0,Sharrow,Sharrow,difficult,difficult,1069.87460730552
784,1014,Suggested Route,,0,0,,,easy,easy,785.671852972592
782,1012,Suggested Route,,0,0,,,easy,easy,4614.42904071376
783,1013,Suggested Route,,0,0,,,easy,easy,1328.41876273567
786,758,Suggested Route,,0,0,,,easy,easy,2130.76123268624
785,1015,Suggested Route,,0,0,,,easy,easy,1418.7418137958
788,1016,Marked Route,,0,0,Lane,Lane,medium,medium,788.129496590683
787,758,Suggested Route,,0,0,,,easy,easy,1192.48649211959
789,1017,Marked Route,,0,0,Lane,Lane,medium,medium,281.657166693262
790,1018,Sharrow,,0,0,Sharrow,Sharrow,difficult,difficult,693.538931011627
791,1019,Suggested Route,,0,0,,,easy,easy,892.756279737688
792,1020,Suggested Route,,0,0,,,easy,easy,308.078400956385
793,1021,Suggested Route,,0,0,,,easy,easy,406.72376787186
794,1022,Suggested Route,,0,0,,,easy,easy,374.035320995647
795,1023,Suggested Route,,0,0,,,easy,easy,666.972940516079
796,1024,Suggested Route,,0,0,,,easy,easy,135.532339707186
798,1026,Suggested Route,,0,0,,,medium,medium,415.014616989298
799,1027,Suggested Route,,0,0,,,medium,medium,370.221859622002
797,1025,Suggested Route,,0,0,,,easy,easy,364.864291137709
800,1028,Suggested Route,,0,0,,,easy,easy,119.901957709006
801,1029,Suggested Route,,0,0,,,medium,medium,469.125199473137
802,1030,Suggested Route,,0,0,,,medium,medium,410.142977020474
803,1031,Suggested Route,,0,0,,,easy,easy,607.407835537817
