OBJECTID,NAME,PAR_GPIN,OWNER,TYPE,PARKTYPE,ACRES,PLANAREA
307,Brighton on the Bay Park,2408665270,City,NP,Neighborhood Parks,2.461,Great Neck
308,Linkhorn Cove Park,2408664695,City,NP,Neighborhood Parks,2.1391,Great Neck
309,Hutton Cir. Canoe Launch,1497758341,City,SUWA,Special Use ? Water Access sites,0.8296,Great Neck
310,Long Creek Bridge Parcel 1,1499467469,City,GOS,General Open Space sites,2.9307,Great Neck
311,Long Creek Bridge Parcel 2,1499467469,City,GOS,General Open Space sites,1.6556,Great Neck
312,Long Creek Bridge Parcel 3,1499467469,City,GOS,General Open Space sites,6.6839,Great Neck
313,Lineberry Park,1486587773,City,NP,Neighborhood Parks,2.3518,Holland
314,Windsor Oaks West Park,1486178759,City,NP,Neighborhood Parks,2.0706,Holland
315,Liberty Ridge Park,1486362577,City,NP,Neighborhood Parks,4.8828,Holland
316,Larkspur Green Park,1476742606,City,NP,Neighborhood Parks,4.1777,Holland
317,Lamplight Manor Park,1496433571,City,NP,Neighborhood Parks,2.2624,Holland
318,Oak Springs Park,1486623284,City,NP,Neighborhood Parks,8.02,Holland
319,Scarbrough Square Sec. 4B Park,1496204531,City,NP,Neighborhood Parks,0.7196,Holland
320,Scarbrough Square Park,1496105148,City,NP,Neighborhood Parks,1.6169,Holland
321,Scarbrough Square Sec. 3 Park,1495292915,City,NP,Neighborhood Parks,3.5959,Holland
322,Sunstream Park,1475938607,City,NP,Neighborhood Parks,4.9271,Holland
323,Sunstream Park South,1475938189,City,GOS,General Open Space sites,0.0949,Holland
324,Champion Oaks Park,1474993019,City,NP,Neighborhood Parks,0.2302,Holland
325,Bellwood Estates Park,1474776107,City,NP,Neighborhood Parks,1.8842,Holland
326,Salem Lakes Park, ,City,NP,Neighborhood Parks,3.1977,Holland
327,Salem Park,1485211273,City,NP,Neighborhood Parks,2.0206,Holland
328,Salem Village Park,1485139289,City,NP,Neighborhood Parks,1.9348,Holland
329,Buckner Farms Park,1485669303,City,NP,Neighborhood Parks,4.5854,Holland
330,Cardinal Estates park,1495387777,City,NP,Neighborhood Parks,1.6986,Holland
331,Lynnhaven Woods Park,1497135255,City,NP,Neighborhood Parks,4.4382,Holland
332,Plaza Methodist Park,1487829471,City,NP,Neighborhood Parks,3.0856,Holland
333,New Castle Park,1484079202,City,NP,Neighborhood Parks,1.8125,Holland
334,Mount Trashmore Park,1476797880,City,SP,Signature Parks,167.8175,Holland
335,Plaza Northgate,1486750007,City,CP,Community Parks,30.1542,Holland
336,Holly Green Park,1486741836,City,NP,Neighborhood Parks,0.444,Holland
337,The Lakes Park,1486749083,City,NP,Neighborhood Parks,2.0026,Holland
338,Oceana Gardens Park,24170551140000, , ,Neighborhood Parks,0, 
339, ,14569847560000, , , ,0, 
