OBJECTID,MAPNO,INS,DC,BLK,LOT,SUBLOT,ACCOUNT,GPIN,CONDO_NAME,NOTES,CHGDATE,ParcelType,SHAPE_Length,SHAPE_Area
39890,47,,A,,73,, 47   A     73,3631-24-3795,,,2004-01-07T00:00:00.000Z,101,1570.538632,114026.575614
39892,30,,6, ,10, , 30   6     10,2661-27-9463, , ,2003-12-11T00:00:00.000Z,101,1505.160065,108908.122769
39893,32,H,1, ,2, , 32H  1      2,2672-81-7509, , ,2003-12-21T00:00:00.000Z,101,612.169975,20587.018883
39894,32,C,5, ,1, , 32C  5      1,2682-31-7414, , ,2003-12-21T00:00:00.000Z,101,1313.574751,48908.448102
39895,21,D,1,,21,, 21D  1     21,2674-00-2793,,,,101,604.468411,20452.346314
39896,21,D,2,,1,, 21D  2      1,2674-00-4753,,,,101,410.067114,10513.091266
39897,23,E,4,,34,, 23E  4     34,2694-50-4763,,,,101,1058.142993,40801.868672
39898,20,H,14,,5,, 20H 14      5,2654-50-5679,,OUTSIDE OF COUNTY,,999,601.429477,20646.423549
39899,21,D,2,,48,, 21D  2     48,2674-00-8705,,,,101,571.460436,20155.05962
39900,20,E,5,5,25,, 20E  5  5  25,2664-10-4743,,,,101,541.645063,6201.755229
39901,22,C,8,,3,B, 22C  8      3B,2684-10-9708,,,,101,413.896818,10538.567187
39902,23,,2,,1,, 23   2      1,2694-20-5644,,,2003-11-20T00:00:00.000Z,101,1036.05018,41652.007426
39903,20,E,9,3,17,, 20E  9  3  17,2664-00-9796,,,,101,481.45745,7726.510687
39904,21,,A,,82,C, 21   A     82C,2664-71-8122,,,,101,840.003026,42948.862084
39905,20,H,3,NQD,130,A, 20H  3NQD 130A,2654-81-9195,,,,101,569.468564,17164.043991
39906,20,H,17,,18,, 20H 17     18,2654-61-7147,,,,101,661.955691,22851.025033
39907,20,H,1,EQD,131,, 20H  1EQD 131,2654-90-7762,,,,101,948.08238,33428.961649
39908,,,,,,, ,2654-50-2804,,OUTSIDE OF COUNTY,,999,861.049701,37705.222811
39909,20,E,9,3,20,A, 20E  9  3  20A,2664-00-8866,,,,101,466.821406,5431.355391
39910,20,D,6,,3,, 20D  6      3,2664-50-7943,,,,101,596.951126,18996.556969
39911,20,H,1,NQD,109,, 20H  1NQD 109,2654-90-0859,,,,101,601.981316,14987.99252
39912,20,H,15,,19,, 20H 15     19,2654-50-4878,,OUTSIDE OF COUNTY,,999,706.460118,29014.032741
39913,29,B,2, ,21, , 29B  2     21,2652-33-5486, , ,2003-12-10T00:00:00.000Z,101,918.738416,49657.234515
39914,32,P,2, ,17, , 32P  2     17,2682-93-0470, , ,2003-12-19T00:00:00.000Z,101,1609.078665,156974.942748
39915,29,B,4, ,10, , 29B  4     10,2652-33-0500, , ,2003-12-10T00:00:00.000Z,101,842.1985,37783.420772
39916,30,A,1, ,4, , 30A  1      4,2652-88-9275, , ,2003-12-10T00:00:00.000Z,101,2011.662107,181646.826559
39917,33,A,1, ,7, , 33A  1      7,2692-58-7507, , ,2003-12-12T00:00:00.000Z,101,475.63582,5022.523859
39918,83,A,34,,20,, 83A 34     20,2556-57-5544,,,2004-01-19T00:00:00.000Z,101,402.877021,8839.426455
39919,68,E,6,1,10,, 68E  6  1  10,2557-17-1146,,,2004-01-15T00:00:00.000Z,101,795.594811,9276.506941
39920,68,E,6,1,18,, 68E  6  1  18,2557-16-1945,,,2004-01-15T00:00:00.000Z,101,775.023026,10389.919524
39921,68,E,6,1,26,, 68E  6  1  26,2557-16-1765,,,2004-01-15T00:00:00.000Z,101,679.601764,8384.62124
39922,43,,A, ,33,D, 43   A     33D,2670-73-8791, , ,2003-12-29T00:00:00.000Z,101,1456.948484,115490.318898
39923,32,D,7, ,13, , 32D  7     13,2681-78-0552, , ,2003-12-17T00:00:00.000Z,101,888.712861,34337.053578
39924,32,D,7, ,7, , 32D  7      7,2681-78-5838, , ,2003-12-17T00:00:00.000Z,101,906.131369,36320.061992
39926,42,,A, ,16, , 42   A     16,2660-54-1296, , ,2003-12-30T00:00:00.000Z,101,1657.391005,171543.270273
39927,39,,A, ,2, , 39   A      2,2630-94-6213, , ,2003-12-15T00:00:00.000Z,101,2768.077902,336727.999497
39928,32,D,7, ,2, , 32D  7      2,2681-79-9128, , ,2003-12-17T00:00:00.000Z,101,903.971467,35665.637443
39929,32,,A, ,59, , 32   A     59,2681-16-7736, ,TAX EXEMPT,,202,1562.021905,153553.306716
39930,32,,A, ,63,A, 32   A     63A,2681-36-4736, , ,,101,1219.465086,65629.696447
39931,32,D,2, ,14, , 32D  2     14,2681-58-4148, , ,2004-01-29T00:00:00.000Z,101,741.516402,30774.587397
39932,,,,,,,,2681-48-3911,,ROW,,102,4885.195593,88007.781013
39933,32,D,1,C,1,A, 32D  1  C   1A,2681-69-0728, , ,2003-12-22T00:00:00.000Z,101,809.850603,29128.460513
39934,,,,,,,,2681-67-7913, ,ROW,2003-12-17T00:00:00.000Z,102,1077.510433,13302.85769
39935,29,B,2, ,23, , 29B  2     23,2652-43-1311, , ,2003-12-10T00:00:00.000Z,101,1964.101476,170491.494986
39936,29,B,4, ,32, , 29B  4     32,2652-23-3581, , ,2003-12-10T00:00:00.000Z,101,994.695508,44872.820642
39937,32,,A, ,119,A, 32   A    119A,2682-63-8611, , ,,101,678.155795,27821.61825
39938,32,D,5, ,12, , 32D  5     12,2681-57-8934, , ,2003-12-17T00:00:00.000Z,101,1035.708897,41664.642125
39939,32,K,1, ,1, , 32K  1      1,2672-88-3583, , ,2003-12-21T00:00:00.000Z,101,654.72826,22413.089203
39940,32,K,1, ,2, , 32K  1      2,2672-88-4660, , ,2003-12-21T00:00:00.000Z,101,636.907109,21910.68001
39941,31,,A, ,28,A, 31   A     28A,2662-88-4642, , ,2003-12-15T00:00:00.000Z,101,817.590483,40660.454655
39942,32,C,3, ,2, , 32C  3      2,2682-51-3502, , ,2003-12-21T00:00:00.000Z,101,1543.985606,92850.87237
39943,68,E,6,1,31,, 68E  6  1  31,2557-16-1672,,,2004-01-15T00:00:00.000Z,101,613.033481,7122.156665
39944,68,E,6,1,30,, 68E  6  1  30,2557-16-1674,,,2004-01-15T00:00:00.000Z,101,626.409735,7466.016109
39945,68,E,6,1,29,, 68E  6  1  29,2557-16-1677,,,2004-01-15T00:00:00.000Z,101,642.620248,8099.534949
39946,68,E,6,1,28,, 68E  6  1  28,2557-16-1750,,,2004-01-15T00:00:00.000Z,101,643.937175,6534.272019
39947,43,,A, ,75,A3, 43   A     75A3,2680-94-2027, , ,2003-12-29T00:00:00.000Z,101,1503.580621,127246.739035
39948,44,B,1, ,4,A, 44B  1      4A,2680-94-6214, ,TAX EXEMPT,2003-12-14T00:00:00.000Z,202,327.391671,6411.981442
39949,43,C,7,2,7, , 43C  7  2   7,2680-14-2292, , ,2003-12-19T00:00:00.000Z,101,731.732456,29628.0268
39950,42,A,1, ,13, , 42A  1     13,2660-64-9124, , ,2003-12-30T00:00:00.000Z,101,2143.594338,246927.955558
39951,42,,A, ,80,C, 42   A     80C,2670-34-9234, , ,2004-01-05T00:00:00.000Z,101,2117.533136,215903.61188
39952,42,A,2, ,1, , 42A  2      1,2660-64-4181, , ,2003-12-30T00:00:00.000Z,101,2509.450868,346036.587921
39953,32,F,2, ,4,B2, 32F  2      4B2,2681-86-8767, , ,2003-12-21T00:00:00.000Z,101,1012.947857,60573.161657
39955,29,B,2, ,20, , 29B  2     20,2652-33-4555, , ,2003-12-10T00:00:00.000Z,101,907.108116,45811.884721
39956,29,,A, ,11,A, 29   A     11A,2652-13-1690, , ,2003-12-10T00:00:00.000Z,101,759.707639,26712.565168
39957,29,B,4, ,9, , 29B  4      9,2652-23-9507, , ,2003-12-10T00:00:00.000Z,101,823.507136,35332.014295
39958,32,D,5, ,14, , 32D  5     14,2681-57-6940, , ,2003-12-17T00:00:00.000Z,101,998.877874,36024.413978
39959,32,D,5, ,13, , 32D  5     13,2681-57-7932, , ,2003-12-17T00:00:00.000Z,101,1038.366199,43169.321801
39960,31,A,1, ,A, , 31A  1      A,2662-68-7642, , ,2003-12-12T00:00:00.000Z,101,664.839956,23228.1282
39961,33,A,1, ,2, , 33A  1      2,2692-58-6616, , ,2003-12-12T00:00:00.000Z,101,433.67711,2248.161578
39962,32,B,5, ,4, , 32B  5      4,2682-88-8516, , ,2003-12-21T00:00:00.000Z,101,730.838743,20800.506909
39963,43,C,7,2,10, , 43C  7  2  10,2680-14-5504, , ,2003-12-19T00:00:00.000Z,101,732.505259,28534.436685
39964,42,A,1, ,3, , 42A  1      3,2660-74-7394, , ,2003-12-30T00:00:00.000Z,101,2705.123682,312784.618829
39965,33,A,1, ,6, , 33A  1      6,2692-58-6599, , ,2003-12-12T00:00:00.000Z,101,442.998866,1544.031563
39966,31,,A, ,28,B, 31   A     28B,2662-88-9410, , ,2003-12-15T00:00:00.000Z,101,2174.21729,244635.04561
39967,30,,1, ,2,A, 30   1      2A,2653-60-4688, , ,,101,891.786237,37484.001293
39968,,,,,,,,2681-67-7913, ,ROW,2003-12-17T00:00:00.000Z,102,2359.125036,27077.303341
39969,32,,A, ,49,E, 32   A     49E,2672-90-3816, , ,,101,1993.096378,225918.736987
39970,43,C,7,2,11, , 43C  7  2  11,2680-14-5663, , ,2003-12-19T00:00:00.000Z,101,742.494026,29093.044045
39971,44,,A, ,14, , 44   A     14,2690-44-5680, ,TAX EXEMPT,2003-12-14T00:00:00.000Z,202,1328.361997,98734.132735
39973,42,A,2, ,2,A2, 42A  2      2A2,2660-64-4877, , ,2003-12-30T00:00:00.000Z,101,891.454029,41946.884553
39974,43,C,2, ,6, , 43C  2      6,2680-14-6983, , ,2003-12-19T00:00:00.000Z,101,652.247747,24255.491129
39975,43,C,4, ,14, , 43C  4     14,2680-04-6776, , ,2003-12-19T00:00:00.000Z,101,2157.53009,94509.819138
39976,43,C,2, ,3, , 43C  2      3,2680-15-8271, , ,2003-12-19T00:00:00.000Z,101,674.546228,23307.179954
39977,42,C,1, ,11, , 42C  1     11,2660-84-6827, , ,2003-12-30T00:00:00.000Z,101,2139.046745,228126.94942
39978,43,C,4, ,18, , 43C  4     18,2680-05-8180, , ,2003-12-19T00:00:00.000Z,101,1828.920397,69664.725511
39979,42,C,1, ,12, , 42C  1     12,2660-84-9889, , ,2003-12-30T00:00:00.000Z,101,2269.059032,271418.234463
39980,43,C,3, ,4, , 43C  3      4,2680-15-4361, , ,2003-12-19T00:00:00.000Z,101,764.117782,29366.302006
39981,43,C,2, ,1, , 43C  2      1,2680-15-9378, , ,2003-12-19T00:00:00.000Z,101,693.046048,25003.288313
39982,43,H,2, ,1,A, 43H  2      1A,2680-05-0265, , ,2003-12-23T00:00:00.000Z,101,1336.095346,58000.356814
39983,43,H,1, ,31, , 43H  1     31,2680-05-2392, , ,2003-12-23T00:00:00.000Z,101,704.155993,25172.192446
39984,40,,A, ,113, , 40   A    113,2640-95-9612, ,TAX EXEMPT,2003-12-18T00:00:00.000Z,202,2452.036361,280877.786836
39985,43,H,1, ,20, , 43H  1     20,2670-95-3940, , ,2003-12-23T00:00:00.000Z,101,677.078925,23612.047247
39987,40,,A, ,114,B, 40   A    114B,2640-95-4862, , ,2003-12-18T00:00:00.000Z,101,805.960571,36539.173187
39988,20,Q,2,,20,, 20Q  2     20,2653-68-2136,,,,101,1403.061202,114051.954304
39990,20,Q,2,,12,, 20Q  2     12,2653-68-7302,,,,101,1185.702769,77130.963811
39991,20,Q,1,,11,, 20Q  1     11,2653-58-8251,,,,101,1409.491976,99991.681693
39992,22,,A,,27,, 22   A     27,2683-38-5102,,,,101,1897.654683,189380.100691
39993,23,L,2,,A,1, 23L  2      A1,2693-28-1442,,,,101,670.858365,26720.951871
39994,22,D,2,,8,, 22D  2      8,2683-38-0500,,,2003-11-19T00:00:00.000Z,101,223.162558,1954.250092
39995,22,,A,,38,A, 22   A     38A,2683-08-7293,,TAX EXEMPT,,202,1965.281773,239675.12314
39996,21,C,1,,5,, 21C  1      5,2663-88-6753,,,,101,592.570747,18913.338139
39997,21,C,9,,2,, 21C  9      2,2663-98-7796,,,,101,637.190538,21595.305082
39998,21,C,9,,3,, 21C  9      3,2663-98-9706,,,,101,662.513404,24131.07986
39999,21,C,9,,5,, 21C  9      5,2673-08-0797,,,,101,636.705151,21438.645256
40000,22,C,8,,11,G, 22C  8     11G,2683-08-9868,,,,101,359.653355,7051.453917
40001,22,D,2,,68,, 22D  2     68,2683-18-7701,,,2003-11-19T00:00:00.000Z,101,2116.429256,258340.396551
40002,21,C,10,,9,, 21C 10      9,2663-88-1968,,,,101,840.630556,36377.879273
40003,21,C,10,,6,, 21C 10      6,2663-88-4988,,,,101,789.037222,29863.620751
40004,21,C,10,,4,, 21C 10      4,2663-89-7070,,,,101,839.790992,37589.597764
40005,21,C,10,,3,, 21C 10      3,2663-89-8090,,,,101,780.885284,29855.948537
40006,21,C,10,,1,, 21C 10      1,2663-99-2030,,,,101,1064.435687,69318.159436
40007,21,D,7,D,2,, 21D  7  D   2,2663-99-4001,,,,101,788.024388,29779.012477
40008,23,,A,,130,, 23   A    130,2693-59-0133,,TAX EXEMPT,2003-11-20T00:00:00.000Z,202,373.320121,8428.915314
40009,20,H,1,WQD,109,A, 20H  1WQD 109A,2653-79-7009,,,,101,523.299046,1518.326987
40010,21,D,8,B,6,, 21D  8  B   6,2673-19-3154,,,,101,742.739945,30789.653029
40011,20,H,1,WQD,12,, 20H  1WQD  12,2653-79-9113,,,2014-04-07T00:00:00.000Z,101,817.635485,37590.44813
40012,22,C,6,4,3,, 22C  6  4   3,2683-19-2288,,,,101,468.172867,5416.556255
40013,22,D,2,,35,, 22D  2     35,2683-29-7159,,,2003-11-19T00:00:00.000Z,101,848.6846,11917.068102
40014,21,D,8,B,5,, 21D  8  B   5,2673-19-2270,,,,101,640.143635,17734.384143
40015,21,D,8,B,4,, 21D  8  B   4,2673-19-1286,,,,101,760.533109,32415.424155
40016,22,D,2,,39,, 22D  2     39,2683-29-7209,,,2003-11-19T00:00:00.000Z,101,852.006408,10822.321063
40017,22,C,6,6,5,, 22C  6  6   5,2683-19-5309,,,2003-11-19T00:00:00.000Z,101,311.446474,3259.351495
40018,22,C,6,7,17,, 22C  6  7  17,2683-19-6374,,,2003-11-19T00:00:00.000Z,101,469.672702,5282.822482
40019,22,C,6,4,8,, 22C  6  4   8,2683-19-3400,,,,101,459.035333,4931.800967
40020,21,D,5,A,13,, 21D  5  A  13,2673-09-4343,,,,101,576.427858,19371.851982
40021,21,D,8,B,3,, 21D  8  B   3,2673-19-1302,,,,101,700.978012,24623.806949
40022,21,,1,,3,, 21   1      3,2663-79-7369,,,,101,1620.917506,128621.97955
40024,22,D,2,,64,B, 22D  2     64B,2683-19-9492,,,2003-11-19T00:00:00.000Z,101,914.973245,47142.591371
40025,20,E,12,,27,A, 20E 12     27A,2663-19-0593,,,,101,604.298081,20535.585409
40026,,,,,,,,3616-94-9451,,ROW,2003-12-01T00:00:00.000Z,102,4257.089417,153698.736865
40027,8,,A,,16,,  8   A     16,3616-84-9635,,,2004-01-21T00:00:00.000Z,105,452.116059,7890.252924
40028,9,D,1,,4,,  9D  1      4,3636-58-7711,,,2003-12-03T00:00:00.000Z,101,866.384676,31959.995979
40029,32,D,5, ,9, , 32D  5      9,2681-68-2009, , ,2003-12-17T00:00:00.000Z,101,1108.301842,38765.062805
40030,32,A,2,3,6, , 32A  2  3   6,2683-70-3686, , ,2003-12-17T00:00:00.000Z,101,752.295684,27753.386232
40031,43,,A, ,25,D, 43   A     25D,2670-76-4851, , ,2003-12-29T00:00:00.000Z,101,823.004921,40973.055291
40032,43,E,1, ,2, , 43E  1      2,2681-85-8844, , ,2003-12-22T00:00:00.000Z,101,1012.950096,46486.292817
40033,32,E,2,3,49, , 32E  2  3  49,2681-15-5835, , ,2003-12-21T00:00:00.000Z,101,469.42427,5361.920446
40034,30,F,5, ,15, , 30F  5     15,2661-05-8878, , ,2003-12-11T00:00:00.000Z,101,936.996839,33493.900364
40035,32,E,2,3,46, , 32E  2  3  46,2681-15-6808, , ,2003-12-21T00:00:00.000Z,101,468.133699,5290.055009
40036,8,,A,,56,,  8   A     56,3626-55-1215,,TAX EXEMPT,2003-12-01T00:00:00.000Z,202,790.803422,39029.815394
40037,32,K,1, ,3, , 32K  1      3,2672-88-5637, , ,2003-12-21T00:00:00.000Z,101,638.062863,21719.358818
40038,43,C,7,2,9, , 43C  7  2   9,2680-14-4456, , ,2003-12-19T00:00:00.000Z,101,688.298326,23431.587882
40039,42,B,1, ,4, , 42B  1      4,2670-34-5398, , ,2003-12-30T00:00:00.000Z,101,1309.832815,91873.878151
40040,32,,1, ,2, , 32   1      2,2682-74-8663, , ,,101,873.489605,37258.400192
40041,42,D,1,A,5, , 42D  1  A   5,2670-07-6184, , ,2003-12-30T00:00:00.000Z,101,1186.35714,80009.813073
40042,20,H,17,,6,, 20H 17      6,2654-61-9167,,,,101,681.428781,27227.552982
40043,20,E,3,,3,, 20E  3      3,2664-21-2199,,,,101,719.154088,25747.221757
40044,20,H,1,NQD,113,, 20H  1NQD 113,2654-80-8747,,,,101,624.548264,13074.73085
40045,20,H,1,NQD,111,A, 20H  1NQD 111A,2654-80-9833,,,,101,594.678006,12309.502292
40046,21,B,6,,21,, 21B  6     21,2664-70-3836,,,,101,564.754057,16496.887778
40047,21,B,6,,22,, 21B  6     22,2664-70-4829,,,,101,618.343309,20522.167274
40048,20,E,9,3,22,, 20E  9  3  22,2664-00-7972,,,,101,543.283097,13863.709608
40049,21,B,5,,13,, 21B  5     13,2664-60-9950,,,,101,601.200703,20275.294066
40050,20,H,18,,6,, 20H 18      6,2654-70-3992,,,,101,616.866089,21896.710113
40051,21,B,4,,21,, 21B  4     21,2664-60-4961,,,,101,798.11802,30285.117529
40052,20,E,6,,38,, 20E  6     38,2664-11-6041,,,,101,688.139174,24106.425306
40053,20,D,3,,11,A, 20D  3     11A,2664-31-0043,,,,101,605.643973,20465.459686
40054,20,H,15,,21,, 20H 15     21,2654-51-3007,,OUTSIDE OF COUNTY,,999,700.644278,26498.097487
40055,23,G,1,,5,, 23G  1      5,2694-01-1159,,,,101,713.489683,27208.546307
40056,20,H,16,,14,, 20H 16     14,2654-51-7235,,OUTSIDE OF COUNTY,,999,601.948913,21924.837965
40057,20,D,6,,17,, 20D  6     17,2664-41-6272,,,,101,620.977566,20936.547765
40058,21,B,6,,18,, 21B  6     18,2664-81-4239,,,,101,514.400636,15508.378017
40059,21,D,2,,8,, 21D  2      8,2674-01-6305,,,,101,580.853326,19101.645291
40060,43,H,1, ,19, , 43H  1     19,2670-95-2965, , ,2003-12-23T00:00:00.000Z,101,669.332325,22759.733876
40061,40,,A, ,114,D, 40   A    114D,2640-95-8929, , ,2003-12-18T00:00:00.000Z,101,2514.29636,177387.35864
40062,40,,A, ,94,A, 40   A     94A,2650-36-2123, , ,2003-12-23T00:00:00.000Z,101,1903.803238,111361.159829
40063,44,B,2, ,1, , 44B  2      1,2680-95-1873, , ,2003-12-14T00:00:00.000Z,101,2381.215161,244732.826388
40064,40,A,2, ,A, , 40A  2      A,2640-96-8428, , ,2003-12-17T00:00:00.000Z,101,1139.003646,50730.939007
40065,40,,A, ,107, , 40   A    107,2650-06-3794, ,TAX EXEMPT,2003-12-18T00:00:00.000Z,202,865.986933,19305.462777
40066,42,D,1,A,7, , 42D  1  A   7,2670-06-6751, , ,2003-12-30T00:00:00.000Z,101,964.001229,35662.036435
40067,42,D,1,A,9, , 42D  1  A   9,2670-06-3617, , ,2003-12-30T00:00:00.000Z,101,1459.017553,138374.727983
40068,42,D,1,B,3, , 42D  1  B   3,2660-97-8958, , ,2003-12-30T00:00:00.000Z,101,1589.70551,141709.45937
40069,42,,A, ,34, , 42   A     34,2660-97-6520, , ,2003-12-31T00:00:00.000Z,101,2489.680658,202950.865885
40070,42,D,1,B,9, , 42D  1  B   9,2670-08-3071, , ,2003-12-30T00:00:00.000Z,101,1516.011888,130434.312545
40071,43,B,2, ,21, , 43B  2     21,2680-28-7188, , ,2003-12-19T00:00:00.000Z,101,450.001229,4354.727483
40072,20,E,9,4,6,, 20E  9  4   6,2664-00-3974,,,,101,424.313708,6429.242895
40073,20,E,9,1,38,, 20E  9  1  38,2664-00-0965,,,,101,539.187466,10231.093029
40074,20,H,1,NQD,108,, 20H  1NQD 108,2654-90-1903,,,,101,618.999177,15734.06578
40075,20,E,9,4,22,, 20E  9  4  22,2664-01-0096,,,,101,609.314052,17948.297655
40076,20,D,3,,14,, 20D  3     14,2664-20-7902,,,,101,1100.045204,26185.67625
40077,20,D,3,,8,, 20D  3      8,2664-30-5608,,,,101,2324.249902,147018.897206
40078,20,E,9,4,14,, 20E  9  4  14,2664-01-5015,,,,101,433.418599,8805.342002
40079,23,E,2,,15,, 23E  2     15,2694-51-7092,,,,101,782.094834,36010.465647
40080,20,D,2,,3,, 20D  2      3,2664-30-7977,,,,101,1062.947281,42829.057003
40081,21,B,4,,24,, 21B  4     24,2664-60-0928,,,,101,937.68714,51277.866595
40082,32,,1, ,1, , 32   1      1,2682-74-9714, , ,,101,842.59769,35339.839954
40083,21,D,2,,22,, 21D  2     22,2674-10-6805,,,,101,747.75129,27155.292005
40084,,,,,,, ,2654-50-1955,,OUTSIDE OF COUNTY,,999,801.713131,30271.117144
40085,20,E,5,5,35,, 20E  5  5  35,2664-10-2951,,,,101,651.00109,6603.251872
40086,20,D,2,,1,, 20D  2      1,2664-30-9855,,,,101,1135.602943,47908.398822
40087,20,E,9,4,10,, 20E  9  4  10,2664-00-7904,,,,101,591.251474,18085.079732
40088,27,A,7,,4,, 27A  7      4,3644-33-6698,,,2003-12-04T00:00:00.000Z,101,578.150851,18834.212271
40089,27,A,7,,5,, 27A  7      5,3644-33-7709,,,2003-12-04T00:00:00.000Z,101,543.095767,17191.083545
40090,20,E,5,5,41,, 20E  5  5  41,2664-11-1041,,,,101,657.478974,7640.590558
40091,20,D,6,,36,, 20D  6     36,2664-41-8071,,,,101,789.127836,27475.707074
40092,20,H,16,,15,, 20H 16     15,2654-51-6214,,OUTSIDE OF COUNTY,,999,599.525845,21830.633559
40093,23,,A,,186,B, 23   A    186B,2694-91-6178,,,,101,923.04746,46929.178741
40094,20,D,6,,41,, 20D  6     41,2664-61-0218,,,,101,619.460653,21538.423413
40095,22,C,1,,8,, 22C  1      8,2684-21-6303,,,,101,812.268219,26026.557378
40097,20,D,6,,16,, 20D  6     16,2664-41-7249,,,,101,622.3442,21052.903285
40098,22,C,3,,15,, 22C  3     15,2684-21-5571,,,,101,623.51164,7017.653772
40099,20,H,1,NQD,145,, 20H  1NQD 145,2654-81-3402,,,,101,795.337104,10437.123183
40100,22,C,3,,39,, 22C  3     39,2684-21-8521,,,,101,477.087023,4371.272534
40101,20,D,2,,28,, 20D  2     28,2664-41-0345,,,,101,1068.216455,43057.155744
40102,20,E,1,,64,, 20E  1     64,2664-21-1515,,,,101,734.412818,25961.723784
40103,21,B,4,,13,, 21B  4     13,2664-71-0537,,,,101,642.710037,24285.502296
40104,22,C,3,,33,, 22C  3     33,2684-21-8677,,,,101,574.2771,6391.445873
40105,20,D,6,,32,, 20D  6     32,2664-51-1269,,,,101,665.457091,23102.479135
40106,20,D,6,,50,, 20D  6     50,2664-51-6388,,,,101,717.472954,25916.784926
40107,20,H,16,,5,, 20H 16      5,2654-61-0455,,OUTSIDE OF COUNTY,,999,576.562449,20755.137134
40108,20,D,2,,26,, 20D  2     26,2664-31-8488,,,,101,1030.99891,40669.989244
40109,20,R,1,,82,, 20R  1     82,2654-91-4555,,,,101,827.262751,39804.682026
40110,23,G,1,,1,, 23G  1      1,2694-01-2522,,,,101,1183.992171,46535.265999
40111,20,H,17,,4,, 20H 17      4,2654-61-8434,,,,101,759.968893,35351.531199
40112,20,H,18,,1,, 20H 18      1,2654-71-0570,,,,101,690.984931,22952.262721
40113,20,D,2,,12,, 20D  2     12,2664-31-0481,,,,101,861.045716,38442.814142
40114,22,C,3,,13,, 22C  3     13,2684-21-5576,,,,101,629.414882,7502.083676
40115,20,D,2,,25,, 20D  2     25,2664-31-7437,,,,101,632.886495,21558.822662
40116,23,E,2,,23,, 23E  2     23,2694-51-2890,,,,101,669.349171,24200.79225
40117,20,E,6,,49,, 20E  6     49,2664-01-8769,,,,101,638.696746,23043.344476
40118,21,B,4,,34,, 21B  4     34,2664-61-7736,,,,101,902.764944,50993.959346
40119,87,E,1,,11,A, 87E  1     11A,2585-96-1837,,,2005-06-17T00:00:00.000Z,101,1776.745013,127971.215862
40120,21,B,1,,177,, 21B  1    177,2664-71-5972,,,,101,359.778785,3929.193559
40121,21,E,2,2,7,, 21E  2  2   7,2674-21-2906,,,,101,542.168769,17241.815406
40122,23,,A,,144,, 23   A    144,2694-51-7990,,,,101,950.498779,55639.531312
40123,21,E,2,3,10,, 21E  2  3  10,2674-11-8976,,,,101,783.799968,28921.045151
40124,20,H,1,WQD,181,A, 20H  1WQD 181A,2654-71-1980,,,,101,1107.954908,76793.334872
40125,21,B,1,,231,, 21B  1    231,2664-72-1004,,,,101,392.989913,4358.909233
40126,23,E,2,,5,, 23E  2      5,2694-52-5045,,,,101,907.496748,37188.336418
40127,21,C,9,,8,A, 21C  9      8A,2673-08-3517,,,,101,817.93678,35060.398472
40129,20,H,16,,13,, 20H 16     13,2654-51-8265,,OUTSIDE OF COUNTY,,999,596.078805,21633.129473
40130,20,D,6,,29,, 20D  6     29,2664-51-2099,,,,101,1517.25142,116013.030806
40131,20,D,6,,33,, 20D  6     33,2664-51-0282,,,,101,666.740736,23620.330767
40132,20,D,2,,6,, 20D  2      6,2664-31-5157,,,,101,1027.531951,41659.314447
40133,20,H,3,NQD,133,, 20H  3NQD 133,2654-91-1330,,,,101,628.390785,20976.919318
40134,20,D,2,,30,, 20D  2     30,2664-41-2203,,,,101,1076.967427,44013.518715
40135,20,D,2,,7,, 20D  2      7,2664-31-4284,,,,101,1013.934529,40985.349626
40136,20,H,16,,4,, 20H 16      4,2654-51-8494,,OUTSIDE OF COUNTY,,999,639.996859,25437.740865
40137,20,E,2,,4,, 20E  2      4,2664-11-5421,,,,101,603.877566,22660.978839
40138,22,C,3,,10,, 22C  3     10,2684-21-5674,,,,101,628.30736,6754.695643
40139,20,E,1,,7,, 20E  1      7,2664-21-6532,,,,101,753.462267,31335.424477
40140,21,B,1,,201,, 21B  1    201,2664-71-7610,,,,101,318.322882,3332.78046
40141,20,R,1,,81,, 20R  1     81,2654-91-6537,,,,101,605.709594,22918.46909
40142,22,C,3,,14,, 22C  3     14,2684-21-5574,,,,101,623.008134,6763.864455
40143,20,D,2,,14,A, 20D  2     14A,2664-31-3418,,,,101,405.946942,10295.509436
40144,20,D,6,,49,, 20D  6     49,2664-51-7471,,,,101,713.13774,23300.928092
40145,21,B,1,,196,, 21B  1    196,2664-71-8535,,,,101,271.028973,2443.773788
40146,22,C,3,,37,, 22C  3     37,2684-21-8597,,,,101,617.866344,7306.264086
40147,21,E,2,3,17,, 21E  2  3  17,2674-11-7499,,,,101,514.577286,16157.21716
40148,21,,A,,82,, 21   A     82,2664-71-8400,,,2003-11-17T00:00:00.000Z,101,1199.149662,74753.442155
40149,21,E,2,3,20,, 21E  2  3  20,2674-11-6821,,,,101,612.198373,19886.680603
40150,22,C,3,,24,, 22C  3     24,2684-21-8859,,,,101,489.693849,5739.195553
40151,21,B,1,,223,, 21B  1    223,2664-71-2962,,,,101,365.517768,3841.042462
40152,20,R,1,,46,, 20R  1     46,2654-91-2899,,,,101,581.425576,20084.949948
40153,20,H,1,NQD,146,, 20H  1NQD 146,2654-81-2572,,,,101,727.533699,23608.470723
40154,20,D,6,,30,, 20D  6     30,2664-51-3433,,,,101,762.804767,32617.502076
