OBJECTID,SUBDIVISIO,HANSENID,SHAPEarea,SHAPElen
453,BRENNEMAN FARM,619,288494.301560418,2882.60790400793
454,TRANTWOOD SHORES,344,649950.595870722,4681.57857967278
455,TANGLEWOOD,329,67174.7778734104,1414.62954861248
456,THOROUGHGOOD HILLS,341,25627.8934983759,641.002059539161
457,COURTHOUSE FOREST NORTH,396,20145.4404548303,615.313025641591
458,MAGNOLIA WAY,401,4804.46523615052,332.298926799746
459,MEADOWRIDGE,377,373751.026327269,3397.94901257136
460,MANSFIELD FARM,704,1884703.75013685,7219.66009548864
461,OCEANA INDUSTRIAL PARK,C1000,108631.647937207,1521.80128493438
462,VILLAS AT LAKE LAWSON,741,38488.0360658525,1164.09760864756
463,RIDGELY MANOR,689,1099763.17736588,7217.23920900348
464,PUNGO FERRY LANDING,686,740607.149394963,3666.81047993068
465,NEWSOME FARMS ESTATES,684,10974.9501863902,447.512614486367
466,PARKVIEW MANOR,687,202271.040477172,2148.6051548896
467,PINTER CT TOWNHOMES,685,11896.7055025959,525.840604538735
468,BEECHWALK LANDING,683,24626.6260147239,647.56140261419
469,BRINKLEY ESTATES,681,41954.5082198499,919.12774481151
470,BAYSIDE PL,679,27821.5088541226,784.758263034722
471,WITCHDUCK SHORES,675,68798.1744950572,1149.33621857081
472,PRINCESS ANNE QUARTER,673,200246.420803432,2136.20960432168
473,KEMPSVILLE CROSSING,671,87279.7255245401,1781.02364361501
474,ENGLYSHE AVALON,667,27946.7570314547,744.130443801829
475,ESTATES ON THE LYNNHAVEN,664,231662.300490279,2096.96980946349
476,BELLWOOD MEADOWS,627,76893.4780725639,1340.79866593689
477,LONDON BRIDGE INDUSTRIAL PARK,C1006,1334320.69956999,7441.33532731047
478,CULVER WOODS,610,25538.5972223601,762.975306611984
479,OCEANA WEST INDUSTRIAL PARK,C1001,701494.58124762,5717.25209861056
480,AIRPORT INDUSTRIAL PARK,C1007,540391.532615789,5877.75694505368
481,LYNNHAVEN INDUSTRIAL PARK,C2003,140727.952033683,1793.63715677479
482,BAYVILLE PINES,626,42342.1782879705,1054.50461124184
483,THALIA COMMONS,641,10465.4511189576,410.575375802553
484,GLENWOOD LINKS,649,127560.597687221,1617.78464608805
485,INDIAN RIVER PLANTATION,604,1248077.73496559,6093.13346287022
486,VILLAGES AT WEST NECK,652,2386336.35055944,10499.0410391418
487,SHIRLEY LANDING,666,244607.125053905,2263.40811771105
488,WHITEHURST LANDING ESTATES,668,29835.0261027024,729.330843814311
489,VAUGHAN TOWN,672,101537.186638272,1351.11458047232
490,BAY HILL,674,188031.457854733,1906.11221463732
491,HIGHCOURT,680,94199.0646264144,1880.46180955949
492,WEBLIN PLACE,549,97584.3443670303,1599.47525769648
493,DIAMOND LAKE ESTATES,105,333979.047592425,2915.12384079158
494,WEBLIN POINTE,761,14251.1280469463,481.445998936953
495,FOX FIRE DOWNS,557,19365.0475292153,570.458328385774
496,PROVIDENCE POINTE,561,37023.5382005164,808.158980340438
497,THALIA WAYSIDE,568,238636.581986708,2317.55937183568
498,WILLIAMS RIDGE ESTATES,541,216439.830888574,1953.41976045206
499,HOLLAND FARMS,543,140851.76233529,1717.54658510741
500,THALIA OAKS,567,15467.5989214716,569.121671743441
501,BROAD MEADOWS,552,240003.510677239,2152.13685085295
502,NAWNEY CREEK NORTH,502,376930.990607931,2581.1491756697
503,BUYRN FARM NORTH,752,212132.416571493,1804.65618703202
504,BUYRN FARM SOUTH,482,59994.4525669873,1300.88657722484
505,SONIC INDUSTRIAL PARK,C2008,322903.374249297,3433.24661099721
506,LITTLE NECK SHORES,754,151792.571722921,1825.4830490591
507,EAGLE NEST POINT,112,88497.8792617197,1152.73811361113
508,PARKVIEW MANOR,687,284477.961843908,2807.90527578123
509,KEELINGWOOD,497,127478.851688539,1533.59022186773
510,HOLLY POINT,600,140751.57524297,1800.9334058215
511,MAYBERRY,751,211534.693819046,2317.92796531949
512,EXPRESSWAY BUSINESS PARK,C1005,115751.955914702,1625.59447120456
513,MALBON ACRES,451,98823.4496046851,1399.24977822231
514,RED MILL FARM,293,2355010.2324515,13366.4492256156
515,SAWYER ESTATES,776,273864.138461272,2536.7391034837
516,RED MILL FOREST,781,53628.6858255,1483.31188102348
517,LINKHORN BAY,438,244213.774970579,2134.87539958877
518,NORTH LINKHORN PARK,246,1366372.16453547,6652.27186955632
519,TIBBETT ACRES,427,34044.4272187845,901.30932512442
520,ROSEMONT FOREST SOUTH,425,775686.194995607,4777.30563156217
521,COVENTRY,397,483388.922119521,3288.56537054411
522,LASKIN VILLAGE,267,177255.742921231,1898.28848457724
523,EAGLES NEST,762,344620.146039813,2769.73214024455
524,PRINCE GEORGE ESTATES,763,308344.765230612,2765.44368047859
525,BRIGADOON MEADOWS,423,60245.0443378279,1453.20089283576
526,STARLING FARM,322,673892.911774279,3504.85399737293
527,INDIAN RIVER VILLAGE,777,118993.730539869,1594.51800581787
528,SALEM LAKES SOUTH,303,166010.198239661,1754.14836123757
529,SALEM LAKES SOUTH EXT,304,214509.982994862,3155.63723046023
530,SUNSTREAM PARK,778,439752.305562732,3726.12786881888
531,SALEM VILLAGES,305,392636.839563846,3841.43277657671
532,SOUTHERN FIRS,779,38573.4244731919,911.149432913695
533,THALIA GARDENS,333,479915.113048562,3291.60286897893
534,THALIA FARMS,780,83693.4350371403,1406.25203420143
535,WINDSOR OAKS,359,162708.205018241,1885.00695106655
536,WOODRIDGE,372,146915.842528801,1544.14180213256
537,SOUTHERN TERRACE,320,70681.1925888173,1368.91458137106
538,WHITE PINES,418,85186.3022413194,1650.34089103764
539,BAY ISLAND QUAY,426,19911.5402982609,565.582572339563
540,BAY ISLAND QUAY SOUTH,769,20004.4573587166,827.011283151968
541,BAY ISLAND SHORES,770,24025.6811991302,633.435447300158
542,BROAD BAY COLONY,058,343504.469690718,2382.46450516011
543,BROAD BAY POINT,771,227816.831165504,2131.90723998151
544,WILDWOOD ESTATES,772,101660.605490602,1646.14856967845
545,LINKHORN LANDING,773,39729.420775072,859.68897628513
546,LINKHORN POINT,774,84205.0685639251,1518.59550682397
547,QUAIL POINT,782,52525.3986335985,1016.72203055042
548,CANNON SHORES,775,99233.1232828168,1378.55912307629
549,YODER ESTATES,625,8484.48495942571,380.393812465718
550,CAROLANNE POINT,419,74536.4273135393,1291.39049201343
551,STRATFORD GREEN,394,57048.4373789193,1131.4720213265
552,KEMPSVILLE PLANTATION,412,129611.326846523,1549.93076940864
553,LOTUS GARDEN,220,734000.702138114,3767.2388251187
554,OCEANA GARDENS WEST,353,167022.369093594,1753.15113703898
555,CHURCH POINT,500,235890.189656307,3155.65779039941
556,BAYVILLE GARDENS,765,78505.3049281857,1284.96743979867
557,BAYVILLE PARK,025,343257.878940795,3020.02430630723
558,JAMESTOWN,477,109537.123351283,1431.00245727048
559,JAMESTOWN,477,77434.1035344345,1441.75368392071
560,COURTHOUSE WOODS,531,260754.646625313,2289.1497628997
561,OCEANA SOUTH INDUSTRIAL PARK,C1002,1021398.32000395,6398.4544805436
562,ROSEMONT COMMERCE PARK,C2001,201538.001588942,3002.6038943368
563,REGENT UNIVERSITY,C1004,1465438.50554836,6042.9019411615
564,CORPORATE LANDING,C2002,2223818.84451419,7956.24537135006
565,EMERALD FOREST,691,17024.0457987419,591.513939640391
566,HIGHLAND PARISH,693,230792.327674691,2423.2927766206
567,LAKE ARCHWAY,696,106878.253936627,1383.17288548284
568,MILL DAM SQUARE,766,12889.6930368299,481.449455300917
569,MALLOY WOODS,694,29515.8103641089,699.513242375373
570,MILL DAM LANDING,631,38815.8236267792,978.074492882498
571,DAM NECK COVE,697,29502.9774498328,918.991197253049
572,BRIGANDS QUAY,757,55850.5404747854,1031.54810865047
573,BELLAMY ESTATES,706,22174.6726319397,699.88499757228
574,PRINCESS ANNE COURT,768,9302.94640094585,396.472050444782
575,GLENWOOD VILLAGE,707,31856.6378018827,776.292121040207
576,ORCHARD AT GLENWOOD,759,69768.5106647791,1386.48626439904
577,GLENWOOD PLACE,708,32194.1381500602,974.346116707323
578,OWLS CREEK COMMERCE CENTER,C1009,145272.473982016,1774.69136837021
579,THE HAMMOCKS AT CHICKS BEACH,746,4349.89967790025,266.548579948193
580,BIRDNECK WOODS,747,28444.0125564489,756.881458133074
581,CORPORATE CENTER,C1010,210328.934843717,2055.23229346064
582,AURORA FARMS,750,416903.510211726,2751.56973552995
583,GOVERNOR SQUARE,753,83514.9754078564,1213.50631743615
584,LAKE SMITH TERRACE,185,1138980.04182561,4713.45146840725
585,VICTORIA PARK,755,416904.332768344,2913.72408602053
586,REFLECTIONS CORPORATE PARK,C1011,120220.422518234,1439.42273978735
587,DOYLETOWN,109,63204.6336332138,1014.41294394214
588,HERITAGE PARK,756,1028880.12622791,4659.70719608702
589,TAYLOR FARM COMMERCE PARK,C2004,270853.599401569,2492.78691828211
590,BERNARD FARMS,709,63259.6460868115,1151.2570725498
591,BACK BAY COMMONS,710,1127729.25421977,4791.41848115608
592,SEABOARD ACRES,711,31632.897283067,707.416311336448
593,HILLCREST LANDING,758,89994.0462014636,1488.28940467256
594,OAK BREEZE,713,53688.6300019033,1087.07541984566
595,OLD DAM NECK ESTATES,767,43287.7871786801,906.096115994262
596,KINGS GRANT COVE,783,21114.0898068686,618.944771712768
597,LE COVE PT,784,64125.5070694443,1228.50433552589
598,WILLSHIRE VILLAGE,785,599259.784145482,3631.41969060998
599,BAYSIDE ACRES,703,81210.2307724658,1219.17784557832
600,GRASSLAND FARMS,792,33433.4010399621,727.147330365219
601,MATHEWS GREEN,788,149137.331398524,1571.56505882857
602,BEAN GARDEN,496,6542.50026493515,342.94075980295
603,BEECHWOOD GARDENS,658,27955.486052512,801.997872111266
604,BONNEY MOOR,799,9280.75505338623,387.676791309038
605,CARROLLTON,791,32044.6352825069,842.213623359555
606,CHESTERFIELD STATION,469,29353.8686196026,743.173103247728
607,DONCASTER POINT,539,65756.5382932739,1136.48588390196
608,FAIR LADY PLACE,714,11539.5567790068,441.396370157528
609,FERRY POINT RIDGE,624,5887.58616710283,399.773722699041
610,INDIAN RIVER MEADOWS,795,94646.732045133,1260.24163491118
611,KINGS COURT EAST,705,25330.8821729684,642.018893626682
612,KLINE FARMS,505,140489.249427037,2096.34798983851
613,LAKE STERLING,258,87287.8785729338,1289.9784719617
614,LAS CORRALES,398,49677.8406381324,1401.19027206364
615,ROSE GLEN MANOR,796,50096.6362663396,924.107052735878
616,SAGINAW ESTATES,764,39969.1523873917,858.615096126338
617,SHERWOOD LAKES,787,1365938.0445915,4941.79532308036
618,TRESSLE VIEW,793,20148.6390469763,661.488275752233
619,VILLAGE BEND,797,208462.965996748,1860.0054647479
620,THE HUNT CLUB,495,69175.1284612639,1073.29283750398
621,THE EVERGREENS,789,102116.058095366,1749.62425890739
622,HOLLY DUNES, ,9404.01770522203,414.682113753991
623,SHADOW LAWN, ,38816.5340086852,870.007297821313
624,SHORE HAVEN ESTATES, ,19758.9342301435,561.745044833204
625,SOUTHERN POINTS NORTH, ,60233.8831256463,1075.64148456238
626,SOLARTOWN, ,35272.7666246958,828.287372363451
627,SANDBRIDGE SHORES, ,490049.059674894,4240.26774837789
628,SHORE ACRES, ,245285.456823274,2529.44928782884
629,SEABOARD, ,41412.8652199579,864.767227969652
630,MUNDEN POINT, ,1026980.94208459,6109.56118152446
631,MUNDEN BEACH, ,331342.451626664,2719.06393469824
632,KINGS TOWNE, ,30031.3309814447,758.778101744294
633,LANDSTOWN COURT, ,57690.3208034836,1169.31493487506
634,LAKES END CONDOS, ,88789.9916476223,1210.37547258157
635,LITTLE NECK ESTATES, ,54383.9555024719,1464.59997654415
636,WOODS AT LONDON BRIDGE,577,210696.682247271,2642.63516835898
637,BELLWOOD PARK, ,57850.9302620232,1535.21053433647
638,BAYLAKE BEACH, ,277983.483041636,2463.07571996804
639,BENTLEY GATE, ,42027.390583802,853.10672513161
640,GLENWOOD SOUTH, ,67370.2436130707,1693.69140125013
641,GREAT NECK TOWNHOMES, ,14812.3782800158,490.478281019893
642,PINEWOOD, ,103363.819527722,1387.36215853939
643,HAMPTON SQUARE, ,67092.8467468627,1214.50986793824
644,HOLLYGRIER, ,30579.3334896553,766.377435317762
645,WEDGEWOOD, ,33683.9694857597,805.364422066156
646,WOODSTOCK FOREST, ,68820.8991413122,1559.62465738951
647,OWL COURT, ,12800.7635818268,514.957027121844
648,FAIRWAYS, ,30692.8994818178,847.054483678884
649,DORCHESTER VILLAGE, ,58682.0419559669,1324.66943681459
650,CHATHAM LANDING, ,51560.1750909633,994.659881811928
651,NORTH SANDBRIDGE, ,774123.317456529,4833.10695412316
652,THE VILLAGES, ,93107.3080351163,1613.30418679221
653,RIVER BREEZE, ,103478.916049375,1333.54088419652
654,RIVERCREST LANDING, ,30361.2383506472,718.068459754907
655,LYNBROOK FOREST, ,23707.7658685418,648.240372164447
656,TOWNHOUSES AT PRINCESS, ,43992.3154616118,1019.78051180576
657,RANIER VILLAGE,803,362325.432039068,2284.07236747966
658,AVALON ON THE ELIZABETH,805,62015.9999352982,1134.65844306732
659,MIRASOL,806,209754.675934049,2135.70043010108
660,THE ESTATES AT MUNDEN FARMS,807,75184.673622753,1308.49427704667
661,OSPREY LANDING,804,20198.0637318962,670.663091466464
662,EAGLE COVE,808,63218.264508765,1057.39218554206
663,RIVERLAKE,802,59446.3120897367,1426.30380733332
664,THE ENCLAVE AT PRINCESS ANNE,809,93683.4579851102,1643.94906745675
