OBJECTID,NAME,PAR_GPIN,OWNER,TYPE,PARKTYPE,ACRES,PLANAREA,SHAPEarea,SHAPElen
99,Seatack Rec. Center, ,City,SURC,Special Use ? Recreation Center sites,8.4402,Oceanfront,53425.1954782845,1419.41597672243
100,Croatan Beach Park,2427308604,City,NP,Neighborhood Parks,17.3464,Oceanfront,109766.864040003,3223.36498424441
101,VA. Beach Park #2,2417894595,City,NP,Neighborhood Parks,1.1399,Oceanfront,7218.63026182223,384.381528071904
102,Seabridge Square Park,2417751024,City,NP,Neighborhood Parks,0.6132,Oceanfront,3881.62828892359,290.523738664631
103,Virginia Marine Science Museum, ,City, ,,24.4209,Oceanfront,154513.964037494,2244.62135182497
104,Owl Creek Boat Ramp,2416987653,City,SUWA,Special Use ? Water Access sites,12.046,Oceanfront,76222.0056788272,1164.82483052149
105,Owl Creek Tennis Center,2416758858,City,SUAC,Special Use ? Athletic Complex sites,10.1502,Oceanfront,64209.3008847304,1107.09248418808
106,Princess Anne Athletic Complex,1484671178,City,SUAC,Special Use ? Athletic Complex sites,106.9214,Courthouse Sandbridge,675553.616500966,4583.88529761428
107,Chelsea Park,1499746497,City,NP,Neighborhood Parks,1.6135,Great Neck,10228.6107261302,491.314125388834
108,Great Neck Park,1499807756,City,MP,Metro Parks,9.945,Great Neck,63029.6447127506,1101.3111714878
109,Virginia Aquarium & Marine Science Center,2416758858,City, , ,15.5592,Oceanfront,98434.3653332082,1356.79883543348
110,Norfolk Ave Trail,2417940472,City,LINK,Linkages,0.9724,Oceanfront,6155.37372573275,451.741074983249
111,31st Street Park,2428027242,City,SURA,Special Use – Recreation Areas,0.2016,Oceanfront,1277.03954223603,158.359774202571
112,Owl Creek Preservation Area Park,2416678078,City,GOS,General Open Space sites,38.608,Oceanfront,244252.31032736,3306.1443517952
113,Norfolk Ave Trail,2417649312,City,LINK,Linkages,7.4088,Oceanfront,46951.6239151822,3828.35208597109
114,Norfolk Ave Trail,2427047327,City,LINK,Linkages,0.5121,Oceanfront,3241.43235536759,332.15172535443
115,Norfolk Ave Trail,2427042306,City,LINK,Linkages,0.7396,Oceanfront,4682.05379481997,439.265730610444
116,Norfolk Ave Trail,2417947471,City,LINK,Linkages,0.2369,Oceanfront,1499.85831209536,342.146183484155
117,Owl Creek Golf Course, ,City/Leasee,SUGC,Special Use ? Golf Courses,75.1477,Oceanfront,475556.437967687,3317.54111068646
118,Rudee Heights Parcel 1, ,City,GOS,General Open Space sites,0.3271,Oceanfront,2070.2960244656,186.80105237528
119,Rudee Heights Parcel 2,2427211262,City,GOS,General Open Space sites,0.0482,Oceanfront,305.156293813494,71.0214038412786
120,Rudee Heights Parcel 3, ,City,GOS,General Open Space sites,0.3549,Oceanfront,2245.92142369176,204.223017745812
121,Red Wing Golf Course,2425095570,City,SUGC,Special Use ? Golf Courses,296.9955,Courthouse Sandbridge,1878105.7505495,6820.54895158569
122,Red Wing Park,2415871160,City,MP,Metro Parks,96.9578,Courthouse Sandbridge,612990.376803789,4518.36374751742
123,Red Wing on the Park,2415464535,City,NP,Neighborhood Parks,7.3591,Courthouse Sandbridge,46524.6031497087,954.172897973027
124,Dunwoody Park,2415340141,City,CP,Community Parks,25.2707,Courthouse Sandbridge,159732.676715926,1642.91284470819
