SITE_EXTERNAL_ID,SITE_NEW_FLAG,SITE_NAME,SITE_ADDRESS,SITE_CITY,SITE_ZIP,COUNTY_CODE,COUNTY,STATE_CODE,STATE,SITE_LAT,SITE_LONG,SITE_CONTACT_NAME,SITE_CONTACT_PHONE,STATUS,SITE_TEMP_RETIRE_FLAG,"# OF BOAT SLIPS","# OF CAR PARKING SPACES","# OF CB USING SITE","# OF HB USING SITE","# OF RAMPS","# OF TRAILER PARKING SPACES",BOAT MAINTENANCE/REPAIR,BOAT STORAGE,CAN WE INTERVIEW,FISH CLEANING STATIONS,FISHING ACTIVITY AFFECTED BY TIDE,FUEL DOCK,HEADBOAT ONLY,IS FEE CHARGED TO THE PUBLIC FOR USE OF SITE,IS SITE SAFE FOR 2 SAMPLERS AT NIGHT,LIGHTING AT NIGHT,LODGING (ONSITE/IMMEDIATE VICINITY),MAJOR TOURNAMENTS,PRIVATE ACCESS,RESTAURANT (ONSITE/IMMEDIATE VICINITY),RETAIL BAIT,SHORE AREA,SHORE MODE,TACKLE SHOPS
0099,,FAIRVIEW BEACH YACHT CLUB,Riverview Rd,FAIRVIEW BEACH,22485,099,KING GEORGE,51,VA,38:	19.886,77:	14.123,CHUCK BOWIE,7037755971,Active,,20,40,0,0,1,40,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,NA,N/A,NO
0973,,WEST POINT LANDING (VAGIF RAMP),Glass Island Rd,WEST POINT,23181,101,KING WILLIAM,51,VA,37:	32.474,76:	47.366,Police Chief,8048433846,Active,,0,10,0,0,1,25,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NA,N/A,NO
0104,,GREENVALE CREEK MARINA,Fairweather Ln,MOLLUSK,22503,103,LANCASTER,51,VA,37:	42.912,76:	32.693,joe groves,8044620646,Active,,54,20,0,0,1,12,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,INLAND,N/A,YES
1481,,GREAT NECK ROAD BRIDGE (SOUTH END),,GREAT NECK,,810,CITY OF VIRGINIA BEACH,51,VA,36:	53.871,76:	4.087,,,Retired,,0,5,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
1832,,SOUTHSIDE MARINA & ROCKS,,RUDEE INLET AREA,,810,CITY OF VIRGINIA BEACH,51,VA,36:	49.713,75:	58.326,,,Retired,,15,20,1,1,0,0,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,NO
3145,,CHICKS BEACH @ CBBT,4700 Ocean View Ave,CHICKS BEACH,,810,CITY OF VIRGINIA BEACH,51,VA,36:	55.117,76:	7.876,,,Active,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,INLAND,BEACH/BANK,NO
0105,,CONRAD''S SEAFOOD INC,,MOLLUSK,,103,LANCASTER,51,VA,37:	42.651,76:	32.666,Ron Edwards,8044627400,Retired,,0,5,0,0,1,5,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,INLAND,N/A,NO
0106,,GREENVALE CREEK COUNTY LANDING,Thomas Landing Rd,MOLLUSK,,103,LANCASTER,51,VA,37:	43.38,76:	32.677,,,Active,,0,5,0,0,1,5,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
0990,,INDIAN FIELD CREEK (BANK & SANDBAR),Colonial Parkway,YORKTOWN,23691,199,YORK,51,VA,37:	16.104,76:	33.369,,,Active,,0,15,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0127,,CHESAPEAKE BOAT BASIN,1686 Waverly Avenue,KILMARNOCK,,103,LANCASTER,51,VA,37:	42,76:	21.118,CLAY HOLCOMB,8044353110,Active,,72,5,0,0,1,5,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,INLAND,N/A,YES
0128,,LANCASTER SHORES PRIVATE RAMP,99 shore view dr,MORATTICO,22503,103,LANCASTER,51,VA,37:	48.402,76:	36.290,,,Active,,0,5,0,0,1,5,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
3120,,BELLE ISLAND STATE PARK,Belle Isle Rd,LITWALTON,22503,103,LANCASTER,51,VA,37:	46.468,76:	35.087,TIM SCHRADER,8044625030,Active,,0,40,0,0,1,40,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,INLAND,N/A,NO
0137,,HAVEN BEACH,Haven Beach Rd,DIGGS,23045,115,MATHEWS,51,VA,37:	25.486,76:	15.138,,,Active,,0,15,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0141,,MATHEWS YACHT CLUB,390 Yacht Club Rd,HUDGINS,23076,115,MATHEWS,51,VA,37:	27.821,76:	18.583,JOANNE ROSE,8047253165,Active,,45,35,0,0,1,5,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,NA,N/A,NO
0143,,WINTER HARBOR HAVEN,167 Dock Ct,PORT HAYWOOD,,115,MATHEWS,51,VA,37:	22.570,76:	15.837,JOHNNY,,Active,,25,30,0,0,1,30,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0144,,NEW POINT CAMPGROUNDS,846 Sand Bank Rd,NEW POINT,,115,MATHEWS,51,VA,37:	20.427,76:	16.486,Brian Cirelli,8047255120,Active,,94,40,0,0,2,40,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,INLAND,BOTH,NO
0248,,HORN HARBOR MARINA,308 Railway Rd,Port Haywood,23138,115,MATHEWS,51,VA,37:	22.193,76:	18.180,Norm Turner,8047253223,Active,,100,40,0,0,1,40,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NA,N/A,NO
0286,,MOBJACK BAY MARINA,454 Marina Rd,NORTH,23128,115,MATHEWS,51,VA,37:	25.617,76:	24.006,J.W. BOONE,8047257559,Active,,100,10,0,0,1,4,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,NA,N/A,YES
0303,,GWYNNS ISLAND (VAGIF RAMP),370 Old Ferry Rd,Hudgins,23076,115,MATHEWS,51,VA,37:	29.561,76:	18.627,,,Active,,0,10,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NA,N/A,NO
0974,,QUEEN''S CREEK MARINA,Walnut Acres Ln,HUDGINS,,115,MATHEWS,51,VA,37:	29.075,76:	20.118,MIKE AND ANITA ULIASZ,8042408670,Active,,50,20,0,0,0,10,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,NO
0975,,TOWN POINT (VAGIF RAMP),600 Town Point Landign Rd,MATTHEWS,23109,115,MATHEWS,51,VA,37:	24.933,76:	20.235,,,Active,,0,20,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
1833,,MORNING STAR MARINA (GWYNN''S ISLAND B,249 Mill Point Rd,Hudgins,23076,115,MATHEWS,51,VA,37:	29.242,76:	18.420,TINA,8047259343,Active,,0,75,0,0,0,0,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,NA,N/A,YES
0043,,NORVIEW MARINA,18691 General Puller Hwy,DELTAVILLE,23043,119,MIDDLESEX,51,VA,37:	33.476,76:	18.850,MR RESPESS,8047766463,Active,,284,75,2,0,1,100,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,INLAND,N/A,YES
0045,,SUNSET POINT MARINA (BURRELLS),792 Burells Marina Rd,URBANNA,23175,119,MIDDLESEX,51,VA,37:	39.233,76:	35.473,Johny Talley,8047585016,Active,,35,25,2,0,1,20,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,INLAND,N/A,YES
0155,,NORTON''S MARINE,97 Marina Dr,DELTAVILLE,23043,119,MIDDLESEX,51,VA,37:	33.571,76:	19.162,Mike Lynch,8047769211,Active,,40,40,0,0,0,10,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,NO
0161,,OAKE''S LANDING (VAGIF RAMP),Oakes Landing Rd.,SALUDA,23149,119,MIDDLESEX,51,VA,37:	37.353,76:	34.904,,,Active,,0,4,0,0,1,4,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0162,,J&M MARINA,161 Dockside Dr,DELTAVILLE,23043,119,MIDDLESEX,51,VA,37:	33.432,76:	19.202,JOHN CROWN,8047769860,Active,,0,6,0,0,1,0,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,YES,NO,NO,INLAND,N/A,NO
0163,,MILLSTONE LANDING (VAGIF RAMP),Millstone Landing Rd,WATERVIEW,,119,MIDDLESEX,51,VA,37:	43.591,76:	37.316,,,Active,,0,10,0,0,1,10,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0169,,BUSH PARK CAMPGROUNDS,724 Bushy Park Rd,Wake,23176,119,MIDDLESEX,51,VA,37:	33.901,76:	23.6,MEL & GAIL NEWCOMB,8047766750,Active,,60,0,0,0,2,40,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,INLAND,BEACH/BANK,YES
0991,,FELGATE''S CREEK (BOTH BANKS),Colonial Parkway,YORKTOWN,23691,199,YORK,51,VA,37:	16.434,76:	35.047,,,Active,,0,15,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0349,,GREAT BRIDGE LOCKS RAMP,Locks Rd.,CHESAPEAKE,,550,CITY OF CHESAPEAKE,51,VA,36:	43.525,76:	14.818,,,Active,,0,25,0,0,1,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0357,,ELIZABETH RIVER BOAT LNDG & PUB. DOC,,CHESAPEAKE,,550,CITY OF CHESAPEAKE,51,VA,36:	48.558,76:	17.125,,,Active,,0,20,0,0,2,25,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0065,,BELL ISLE MARINA,2 Bell Island Dr.,HAMPTON,23664,650,CITY OF HAMPTON,51,VA,37:	5.857,76:	17.650,MARTY BELL,7578500466,Active,,40,20,0,0,0,0,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NA,N/A,NO
0120,,BUCKROE BEACH FISHING PIER,330 South Resort Blvd.,HAMPTON,23664,650,CITY OF HAMPTON,51,VA,37:	2.189,76:	17.680,Dan Mailloy,7277271486,Active,,0,55,0,0,0,0,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,YES,YES,INLAND,MAN-MADE,YES
0216,,DANDY HAVEN MARINA,374 Dandy Haven Rd.,HAMPTON,23664,650,CITY OF HAMPTON,51,VA,37:	5.490,76:	17.798,MRS. GURKIN,7578511573,Active,,73,20,0,0,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NA,N/A,NO
0274,,FORT MONROE FISHING PIERS,130 Fenwick Rd.,HAMPTON,,650,CITY OF HAMPTON,51,VA,36:	00.073,76:	18.447,,,Active,,0,25,0,0,0,0,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0352,,GOSNOLD''S HOPE PARK PUBLIC RAMP,,HAMPTON,,650,CITY OF HAMPTON,51,VA,37:	3.542,76:	19.659,,,Active,,0,20,0,0,2,15,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
0429,,BLUEWATER YACHTING CENTER,,HAMPTON,,650,CITY OF HAMPTON,51,VA,37:	.9615,76:	20.632,Doug Lawson,7577158321,Active,,170,70,0,0,0,0,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NA,N/A,YES
0472,,SUNSET CREEK BOAT RAMP,71 Marina Rd.,HAMPTON,,650,CITY OF HAMPTON,51,VA,37:	.972,76:	20.771,,,Active,,0,15,0,0,2,35,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NA,N/A,NO
0939,,OLD POINT COMFORT MARINA AT FT MONROE,207 McNair Rd.,HAMPTON,23651,650,CITY OF HAMPTON,51,VA,37:	.043,76:	18.701,Jerry B.,7577884308,Active,,314,25,0,0,1,50,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
0940,,FORT MONROE BEACH,,HAMPTON,,650,CITY OF HAMPTON,51,VA,37:	1.168,76:	16.894,,,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0993,,SUNSET BOATING CENTER,800 S. Armistead Ave.,HAMPTON,23669,650,CITY OF HAMPTON,51,VA,37:	1.007,76:	20.780,Tyler Richardson,7577223325,Active,,30,30,2,1,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
0994,,FOX HILL LANDING,365 Dandy Pt. Rd.,HAMPTON,23664,650,CITY OF HAMPTON,51,VA,37:	5.859,76:	17.645,,,Active,,12,5,0,0,4,87,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NA,N/A,YES
1200,,SALT PONDS MARINA,11 Ivory Gull Cres.,HAMPTON,23664,650,CITY OF HAMPTON,51,VA,37:	3.406,76:	17.226,CINDY HAWKINS,7578504300,Active,,254,80,1,0,0,0,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,NA,N/A,NO
1486,,HAMPTON MUNICPAL DOCKS,710 Settlers Landing Rd.,HAMPTON,23669,650,CITY OF HAMPTON,51,VA,37:	1.467,76:	20.558,Kate Lawrence,7577271267,Active,,35,25,0,1,0,0,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NA,N/A,NO
3059,,MARINA COVE BOAT BASIN,600 Harris Creek Rd.,HAMPTON,23661,650,CITY OF HAMPTON,51,VA,37:	5.587,76:	18.808,Erling Engelsen,7578971400,Retired,,60,35,0,0,0,0,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NA,N/A,NO
3144,,AMORY''S SEAFOOD DOCK/ HOGGE''S CHARTER,101 S. King St.,HAMPTON,23665,650,CITY OF HAMPTON,51,VA,37:	1.416,76:	20.603,Meade Amory,7577221915,Active,,0,0,1,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NA,N/A,NO
0245,,DENBIGH BLVD RAMP & PIER,4 Denbigh Blvd.,NEWPORT NEWS,,700,CITY OF NEWPORT NEWS,51,VA,37:	7.415,76:	34.102,,7579261400,Active,,0,12,0,0,1,38,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0271,,NEWPORT NEWS PUBLIC RAMP,Riverpark Rd,NEWPORT NEWS,23607,700,CITY OF NEWPORT NEWS,51,VA,37:	1.008,76:	27.337,,7579261400,Active,,0,40,0,0,4,87,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NA,N/A,NO
0295,,LEEWARD MARINA,7499 River Rd,NEWPORT NEWS,23607,700,CITY OF NEWPORT NEWS,51,VA,37:	.763,76:	27.174,STEVE HENSLEY,7572472359,Active,,194,15,0,0,0,0,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NA,N/A,NO
3978,,Deep Creek Landing Marina,200 Old Marina Lane,Newport News,23602,700,CITY OF NEWPORT NEWS,51,VA,37:	05.890,76:	31.246,Mary Evans,7578779555,Active,,82,45,0,0,0,0,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,NA,N/A,YES
3979,,King-Lincoln Park and Wavescreen Piers,600 Jefferson Avenue,Newport News,,700,CITY OF NEWPORT NEWS,51,VA,36:	57.886,76:	24.647,,,Retired,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
3980,,Anderson Park Pier,"16th Street, Oak Avenue",Newport News,23607,700,CITY OF NEWPORT NEWS,51,VA,36:	58.959,76:	23.775,,,Retired,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
3981,,Peterson's Public Boat Ramp,,Newport News,,700,CITY OF NEWPORT NEWS,51,VA,36:	59.01,76:	23.503,,,Retired,,0,20,0,0,2,30,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
3982,,Top Rack Marina,5532 Bainbridge Blvd.,Chesapeake,,550,CITY OF CHESAPEAKE,51,VA,36:	44.377,76:	17.763,,,Active,,20,20,0,0,0,0,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,YES,NA,N/A,YES
3983,,York River Yacht Haven,8109 Yacht Haven Road,Gloucester Point,23062,073,GLOUCESTER,51,VA,37:	15.430,76:	28.822,Martin Lucas,8046422156,Active,,306,50,0,0,0,0,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,NA,N/A,NO
3984,,Kingsmill Resort Marina,1010 Kingsmill Rd.,Williamsburg,23185,095,JAMES CITY,51,VA,37:	13.394,76:	39.785,David Martin,7572533919,Active,,100,100,0,0,0,0,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,INLAND,MAN-MADE,YES
3985,,Joy's Marina,424 East Queen Street,Hampton,23669,650,CITY OF HAMPTON,51,VA,37:	1.473,76:	20.319,,,Retired,,40,15,0,0,0,0,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,NA,N/A,NO
4095,,Fishing Bay Harbor Marina,519 Deagles Road,Deltaville,23043,119,MIDDLESEX,51,VA,37:	32.476,76:	20.476,Chris Davis,8047766800,Active,,131,100,0,0,0,0,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
